t_s,x_m,y_m,v,heading_deg,mode,sigma_pos,s_m,d_m,v_model,stop
6.500,-0.0046,-0.0023,0.0000,0.3452,GNSS_INS,1.3752,15.358,4.780,0.0000,1
6.600,-0.0046,-0.0023,0.0000,0.3339,GNSS_INS,1.3752,15.358,4.780,0.0000,1
6.700,-0.0046,-0.0023,0.0000,0.3414,GNSS_INS,1.3752,15.358,4.780,0.0000,1
6.800,-0.0046,-0.0023,0.0000,0.3359,GNSS_INS,1.3752,15.358,4.780,0.0000,1
6.900,-0.0046,-0.0023,0.0000,0.3300,GNSS_INS,1.3752,15.358,4.780,0.0000,1
7.000,-0.0046,-0.0023,0.0000,0.3269,GNSS_INS,1.3752,15.358,4.780,0.0000,1
7.100,-0.0046,-0.0023,0.0000,0.3301,GNSS_INS,1.3752,15.358,4.780,0.0000,1
7.200,-0.0046,-0.0023,0.0000,0.3397,GNSS_INS,1.3752,15.358,4.780,0.0000,1
7.300,-0.0045,-0.0021,0.0000,0.3488,GNSS_INS,1.2927,15.358,4.780,0.0000,1
7.400,-0.0045,-0.0021,0.0000,0.3578,GNSS_INS,1.2927,15.358,4.780,0.0000,1
7.500,-0.0045,-0.0021,0.0000,0.3757,GNSS_INS,1.2927,15.358,4.780,0.0000,1
7.600,-0.0045,-0.0021,0.0000,0.3770,GNSS_INS,1.2927,15.358,4.780,0.0000,1
7.700,-0.0045,-0.0021,0.0000,0.3884,GNSS_INS,1.2927,15.358,4.780,0.0000,1
7.800,-0.0045,-0.0021,0.0000,0.3955,GNSS_INS,1.2927,15.358,4.780,0.0000,1
7.900,-0.0045,-0.0021,0.0000,0.3964,GNSS_INS,1.2927,15.358,4.780,0.0000,1
8.000,-0.0045,-0.0021,0.0000,0.3904,GNSS_INS,1.2927,15.358,4.780,0.0000,1
8.100,-0.0045,-0.0021,0.0000,0.3903,GNSS_INS,1.2927,15.358,4.780,0.0000,1
8.200,-0.0045,-0.0021,0.0000,0.3782,GNSS_INS,1.2927,15.358,4.780,0.0000,1
8.300,-0.0045,-0.0019,0.0000,0.3909,GNSS_INS,1.2235,15.358,4.780,0.0000,1
8.400,-0.0045,-0.0019,0.0000,0.3953,GNSS_INS,1.2235,15.358,4.780,0.0000,1
8.500,-0.0045,-0.0019,0.0000,0.4062,GNSS_INS,1.2235,15.358,4.780,0.0000,1
8.600,-0.0045,-0.0019,0.0000,0.4026,GNSS_INS,1.2235,15.358,4.780,0.0000,1
8.700,-0.0045,-0.0019,0.0000,0.4060,GNSS_INS,1.2235,15.358,4.780,0.0000,1
8.800,-0.0045,-0.0019,0.0000,0.4047,GNSS_INS,1.2235,15.358,4.780,0.0000,1
8.900,-0.0045,-0.0019,0.0000,0.4076,GNSS_INS,1.2235,15.358,4.780,0.0000,1
9.000,-0.0045,-0.0019,0.0000,0.4037,GNSS_INS,1.2235,15.358,4.780,0.0000,1
9.100,-0.0045,-0.0019,0.0000,0.4028,GNSS_INS,1.2235,15.358,4.780,0.0000,1
9.200,-0.0045,-0.0019,0.0000,0.3991,GNSS_INS,1.2235,15.358,4.780,0.0000,1
9.300,0.0041,-0.0048,0.0000,0.3920,GNSS_INS,1.1643,15.357,4.789,0.0000,1
9.400,0.0041,-0.0048,0.0000,0.3806,GNSS_INS,1.1643,15.357,4.789,0.0000,1
9.500,0.0041,-0.0048,0.0000,0.3783,GNSS_INS,1.1643,15.357,4.789,0.0000,1
9.600,0.0041,-0.0048,0.0000,0.3849,GNSS_INS,1.1643,15.357,4.789,0.0000,1
9.700,0.0041,-0.0048,0.0000,0.3879,GNSS_INS,1.1643,15.357,4.789,0.0000,1
9.800,0.0041,-0.0048,0.0000,0.3535,GNSS_INS,1.1643,15.357,4.789,0.0000,1
9.900,0.0041,-0.0048,0.0000,0.3453,GNSS_INS,1.1643,15.357,4.789,0.0000,1
10.000,0.0041,-0.0048,0.0000,0.3429,GNSS_INS,1.1643,15.357,4.789,0.0000,1
10.100,0.0041,-0.0048,0.0000,0.3377,GNSS_INS,1.1643,15.357,4.789,0.0000,1
10.200,0.0041,-0.0048,0.0000,0.3389,GNSS_INS,1.1643,15.357,4.789,0.0000,1
10.300,0.0043,-0.0045,0.0000,0.3503,GNSS_INS,1.1130,15.357,4.789,0.0000,1
10.400,0.0043,-0.0045,0.0000,0.3447,GNSS_INS,1.1130,15.357,4.789,0.0000,1
10.500,0.0043,-0.0045,0.0000,0.3403,GNSS_INS,1.1130,15.357,4.789,0.0000,1
10.600,0.0043,-0.0045,0.0000,0.3385,GNSS_INS,1.1130,15.357,4.789,0.0000,1
10.700,0.0043,-0.0045,0.0000,0.3491,GNSS_INS,1.1130,15.357,4.789,0.0000,1
10.800,0.0043,-0.0045,0.0000,0.3503,GNSS_INS,1.1130,15.357,4.789,0.0000,1
10.900,0.0043,-0.0045,0.0000,0.3517,GNSS_INS,1.1130,15.357,4.789,0.0000,1
11.000,0.0043,-0.0045,0.0000,0.3586,GNSS_INS,1.1130,15.357,4.789,0.0000,1
11.100,0.0043,-0.0045,0.0000,0.3759,GNSS_INS,1.1130,15.357,4.789,0.0000,1
11.200,0.0043,-0.0045,0.0000,0.4052,GNSS_INS,1.1130,15.357,4.789,0.0000,1
11.300,0.0009,-0.0019,0.0000,0.4157,GNSS_INS,1.0679,15.356,4.785,0.0000,1
11.400,0.0009,-0.0019,0.0000,0.4171,GNSS_INS,1.0679,15.356,4.785,0.0000,1
11.500,0.0009,-0.0019,0.0000,0.4273,GNSS_INS,1.0679,15.356,4.785,0.0000,1
11.600,0.0009,-0.0019,0.0000,0.4322,GNSS_INS,1.0679,15.356,4.785,0.0000,1
11.700,0.0009,-0.0019,0.0000,0.4376,GNSS_INS,1.0679,15.356,4.785,0.0000,1
11.800,0.0009,-0.0019,0.0000,0.4338,GNSS_INS,1.0679,15.356,4.785,0.0000,1
11.900,0.0009,-0.0019,0.0000,0.4428,GNSS_INS,1.0679,15.356,4.785,0.0000,1
12.000,0.0009,-0.0019,0.0000,0.4391,GNSS_INS,1.0679,15.356,4.785,0.0000,1
12.100,0.0009,-0.0019,0.0000,0.4351,GNSS_INS,1.0679,15.356,4.785,0.0000,1
12.200,0.0009,-0.0019,0.0000,0.4229,GNSS_INS,1.0679,15.356,4.785,0.0000,1
12.300,0.0012,-0.0009,0.0000,0.4282,GNSS_INS,1.0279,15.355,4.785,0.0000,1
12.400,0.0012,-0.0009,0.0000,0.4324,GNSS_INS,1.0279,15.355,4.785,0.0000,1
12.500,0.0012,-0.0009,0.0000,0.4344,GNSS_INS,1.0279,15.355,4.785,0.0000,1
12.600,0.0012,-0.0009,0.0000,0.4360,GNSS_INS,1.0279,15.355,4.785,0.0000,1
12.700,0.0012,-0.0009,0.0000,0.4338,GNSS_INS,1.0279,15.355,4.785,0.0000,1
12.800,0.0012,-0.0009,0.0000,0.4260,GNSS_INS,1.0279,15.355,4.785,0.0000,1
12.900,0.0012,-0.0009,0.0000,0.4300,GNSS_INS,1.0279,15.355,4.785,0.0000,1
13.000,0.0012,-0.0009,0.0000,0.4322,GNSS_INS,1.0279,15.355,4.785,0.0000,1
13.100,0.0012,-0.0009,0.0000,0.4340,GNSS_INS,1.0279,15.355,4.785,0.0000,1
13.200,0.0012,-0.0009,0.0000,0.4396,GNSS_INS,1.0279,15.355,4.785,0.0000,1
13.300,0.0016,-0.0002,0.0000,0.4460,GNSS_INS,0.9920,15.354,4.785,0.0000,1
13.400,0.0016,-0.0002,0.0000,0.4350,GNSS_INS,0.9920,15.354,4.785,0.0000,1
13.500,0.0016,-0.0002,0.0000,0.4409,GNSS_INS,0.9920,15.354,4.785,0.0000,1
13.600,0.0016,-0.0002,0.0000,0.4395,GNSS_INS,0.9920,15.354,4.785,0.0000,1
13.700,0.0016,-0.0002,0.0000,0.4439,GNSS_INS,0.9920,15.354,4.785,0.0000,1
13.800,0.0016,-0.0002,0.0000,0.4486,GNSS_INS,0.9920,15.354,4.785,0.0000,1
13.900,0.0016,-0.0002,0.0000,0.4578,GNSS_INS,0.9920,15.354,4.785,0.0000,1
14.000,0.0016,-0.0002,0.0000,0.4527,GNSS_INS,0.9920,15.354,4.785,0.0000,1
14.100,0.0016,-0.0002,0.0000,0.4633,GNSS_INS,0.9920,15.354,4.785,0.0000,1
14.200,0.0016,-0.0002,0.0000,0.4661,GNSS_INS,0.9920,15.354,4.785,0.0000,1
14.300,0.0139,-0.0048,0.0000,0.4669,GNSS_INS,0.9597,15.353,4.798,0.0000,1
14.400,0.0139,-0.0048,0.0000,0.4815,GNSS_INS,0.9597,15.353,4.798,0.0000,1
14.500,0.0139,-0.0048,0.0000,0.4868,GNSS_INS,0.9597,15.353,4.798,0.0000,1
14.600,0.0139,-0.0048,0.0000,0.4905,GNSS_INS,0.9597,15.353,4.798,0.0000,1
14.700,0.0139,-0.0048,0.0000,0.4921,GNSS_INS,0.9597,15.353,4.798,0.0000,1
14.800,0.0139,-0.0048,0.0000,0.5052,GNSS_INS,0.9597,15.353,4.798,0.0000,1
14.900,0.0139,-0.0048,0.0000,0.5101,GNSS_INS,0.9597,15.353,4.798,0.0000,1
15.000,0.0139,-0.0048,0.0000,0.5094,GNSS_INS,0.9597,15.353,4.798,0.0000,1
15.100,0.0139,-0.0048,0.0000,0.5081,GNSS_INS,0.9597,15.353,4.798,0.0000,1
15.200,0.0139,-0.0048,0.0000,0.5073,GNSS_INS,0.9597,15.353,4.798,0.0000,1
15.300,0.0141,-0.0045,0.0000,0.5041,GNSS_INS,0.9304,15.353,4.798,0.0000,1
15.400,0.0141,-0.0045,0.0000,0.4837,GNSS_INS,0.9304,15.353,4.798,0.0000,1
15.500,0.0141,-0.0045,0.0000,0.5125,GNSS_INS,0.9304,15.353,4.798,0.0000,1
15.600,0.0141,-0.0045,0.0000,0.5221,GNSS_INS,0.9304,15.353,4.798,0.0000,1
15.700,0.0141,-0.0045,0.0000,0.5206,GNSS_INS,0.9304,15.353,4.798,0.0000,1
15.800,0.0141,-0.0045,0.0000,0.5379,GNSS_INS,0.9304,15.353,4.798,0.0000,1
15.900,0.0141,-0.0045,0.0000,0.5935,GNSS_INS,0.9304,15.353,4.798,0.0000,1
16.000,0.0141,-0.0045,0.0000,0.5820,GNSS_INS,0.9304,15.353,4.798,0.0000,1
16.100,0.0141,-0.0045,0.0000,0.5985,GNSS_INS,0.9304,15.353,4.798,0.0000,1
16.200,0.0141,-0.0045,0.0000,0.5439,GNSS_INS,0.9304,15.353,4.798,0.0000,1
16.300,0.0141,-0.0043,0.0000,0.6196,GNSS_INS,0.9035,15.353,4.798,0.0000,1
16.400,0.0141,-0.0043,0.0000,0.5117,GNSS_INS,0.9035,15.353,4.798,0.0000,1
16.500,0.0141,-0.0043,0.0000,0.4079,GNSS_INS,0.9035,15.353,4.798,0.0000,1
16.600,0.0141,-0.0043,0.0000,0.3227,GNSS_INS,0.9035,15.353,4.798,0.0000,1
16.700,0.0141,-0.0043,0.0000,-0.0736,GNSS_INS,0.9035,15.353,4.798,0.0000,1
16.800,0.0141,-0.0043,0.0000,-0.5147,GNSS_INS,0.9035,15.353,4.798,0.0000,1
16.900,0.0141,-0.0043,0.0000,-0.7147,GNSS_INS,0.9035,15.353,4.798,0.0000,1
17.000,0.0141,-0.0043,0.0000,-1.2955,GNSS_INS,0.9035,15.353,4.798,0.0000,1
17.100,0.0141,-0.0043,0.0000,-1.4905,GNSS_INS,0.9035,15.353,4.798,0.0000,1
17.200,0.0141,-0.0043,0.0000,-1.2305,GNSS_INS,0.9035,15.353,4.798,0.0000,1
17.300,0.2292,-0.1355,0.0103,-0.6307,GNSS_INS,0.8789,15.394,5.047,0.0000,1
17.400,0.2292,-0.1355,0.0018,0.4374,GNSS_INS,0.8789,15.394,5.047,0.0000,1
17.500,0.2292,-0.1355,0.0003,1.1572,GNSS_INS,0.8789,15.394,5.047,0.0000,1
17.600,0.2292,-0.1355,0.0003,1.1231,GNSS_INS,0.8789,15.394,5.047,1.6668,0
17.700,0.2292,-0.1355,0.0003,0.5581,GNSS_INS,0.8789,15.394,5.047,1.6421,0
17.800,0.2292,-0.1355,0.0003,0.5631,GNSS_INS,0.8789,15.394,5.047,1.8145,0
17.900,0.2292,-0.1355,0.4681,1.1006,GNSS_INS,0.8789,15.394,5.047,1.7876,0
18.000,0.2292,-0.1355,0.8223,1.8247,GNSS_INS,0.8789,15.394,5.047,1.9010,0
18.100,0.2292,-0.1355,1.1088,2.4844,GNSS_INS,0.8789,15.394,5.047,1.9885,0
18.200,0.2292,-0.1355,1.3336,2.4522,GNSS_INS,0.8789,15.394,5.047,2.0602,0
18.300,0.3740,-0.3223,1.7194,-104.9484,GNSS_INS,0.8562,15.514,5.251,1.9766,0
18.400,0.3740,-0.3223,1.7662,-105.5279,GNSS_INS,0.8562,15.514,5.251,1.9794,0
18.500,0.3740,-0.3223,1.8254,-106.4968,GNSS_INS,0.8562,15.514,5.251,2.0598,0
18.600,0.3740,-0.3223,1.9188,-107.4391,GNSS_INS,0.8562,15.514,5.251,2.1934,0
18.700,0.3740,-0.3223,1.9701,-108.1504,GNSS_INS,0.8562,15.514,5.251,2.1509,0
18.800,0.3740,-0.3223,1.9792,-108.3841,GNSS_INS,0.8562,15.514,5.251,2.0120,0
18.900,0.3740,-0.3223,2.0105,-108.2250,GNSS_INS,0.8562,15.514,5.251,2.1125,0
19.000,0.3740,-0.3223,2.0488,-107.6106,GNSS_INS,0.8562,15.514,5.251,2.1651,0
19.100,0.3740,-0.3223,2.0637,-106.7390,GNSS_INS,0.8562,15.514,5.251,2.1095,0
19.200,0.3740,-0.3223,2.0365,-105.9672,GNSS_INS,0.8562,15.514,5.251,1.9345,0
19.300,0.3480,-0.5081,1.9034,-105.4385,GNSS_INS,0.8351,15.696,5.296,2.1234,0
19.400,0.2763,-0.6866,1.9322,-104.9031,GNSS_INS,0.8353,15.888,5.296,2.0349,0
19.500,0.2018,-0.8720,1.9858,-104.0912,GNSS_INS,0.8356,16.088,5.296,2.1439,0
19.600,0.1293,-1.0526,1.9613,-103.3976,GNSS_INS,0.8360,16.283,5.296,1.8716,0
19.700,0.0569,-1.2327,1.9511,-102.9602,GNSS_INS,0.8365,16.477,5.296,1.9183,0
19.800,-0.0141,-1.4097,1.9312,-102.4561,GNSS_INS,0.8371,16.667,5.296,1.8699,0
19.900,-0.0879,-1.5932,1.9507,-102.0124,GNSS_INS,0.8377,16.865,5.296,2.0070,0
20.000,-0.1564,-1.7637,1.9064,-101.7450,GNSS_INS,0.8385,17.049,5.296,1.7178,0
20.100,-0.2246,-1.9336,1.8784,-101.6107,GNSS_INS,0.8392,17.232,5.296,1.7914,0
20.200,-0.2907,-2.0981,1.8411,-101.5096,GNSS_INS,0.8399,17.409,5.296,1.7224,0
20.300,-0.2000,-2.5048,1.7231,-101.0845,GNSS_INS,0.8204,17.753,5.532,1.7689,0
20.400,-0.2623,-2.6598,1.7034,-101.7873,GNSS_INS,0.8211,17.920,5.532,1.6108,0
20.500,-0.3268,-2.8205,1.7138,-102.9869,GNSS_INS,0.8218,18.093,5.532,1.7562,0
20.600,-0.3921,-2.9830,1.7273,-104.4967,GNSS_INS,0.8225,18.268,5.532,1.7666,0
20.700,-0.4588,-3.1490,1.7490,-105.9672,GNSS_INS,0.8232,18.447,5.532,1.8178,0
20.800,-0.5253,-3.3147,1.7616,-106.6746,GNSS_INS,0.8240,18.626,5.532,1.8042,0
20.900,-0.5952,-3.4885,1.7996,-106.8180,GNSS_INS,0.8247,18.813,5.532,1.9066,0
21.000,-0.6630,-3.6573,1.8062,-106.3615,GNSS_INS,0.8255,18.995,5.532,1.8265,0
21.100,-0.7306,-3.8257,1.8089,-106.1365,GNSS_INS,0.8262,19.176,5.532,1.8179,0
21.200,-0.7979,-3.9930,1.8072,-106.5434,GNSS_INS,0.8271,19.357,5.532,1.8007,0
21.300,-1.0060,-4.2875,1.7976,-107.2457,GNSS_INS,0.8083,19.708,5.448,1.9567,0
21.400,-1.0754,-4.4602,1.8208,-107.2037,GNSS_INS,0.8090,19.894,5.448,1.9115,0
21.500,-1.1477,-4.6402,1.8643,-106.9000,GNSS_INS,0.8096,20.088,5.448,1.9981,0
21.600,-1.2188,-4.8172,1.8803,-106.2272,GNSS_INS,0.8103,20.278,5.448,1.9342,0
21.700,-1.2929,-5.0015,1.9187,-106.2796,GNSS_INS,0.8110,20.477,5.448,2.0218,0
21.800,-1.3643,-5.1793,1.9178,-106.2851,GNSS_INS,0.8117,20.669,5.448,1.9148,0
21.900,-1.4344,-5.3538,1.9042,-105.9947,GNSS_INS,0.8124,20.857,5.448,1.8557,0
22.000,-1.5052,-5.5301,1.9029,-105.6240,GNSS_INS,0.8132,21.047,5.448,1.8983,0
22.100,-1.5769,-5.7086,1.9100,-105.1773,GNSS_INS,0.8140,21.239,5.448,1.9309,0
22.200,-1.6481,-5.8857,1.9096,-105.3522,GNSS_INS,0.8148,21.430,5.448,1.9085,0
22.300,-1.7678,-6.2232,1.9248,-105.7996,GNSS_INS,0.7969,21.788,5.463,1.9235,0
22.400,-1.8399,-6.4025,1.9277,-106.0961,GNSS_INS,0.7975,21.981,5.463,1.9375,0
22.500,-1.9180,-6.5968,1.9899,-106.2609,GNSS_INS,0.7981,22.190,5.463,2.1334,0
22.600,-1.9953,-6.7894,2.0224,-105.9653,GNSS_INS,0.7986,22.398,5.463,2.0995,0
22.700,-2.0745,-6.9866,2.0624,-106.2215,GNSS_INS,0.7991,22.610,5.463,2.1513,0
22.800,-2.1557,-7.1887,2.1083,-106.3468,GNSS_INS,0.7996,22.828,5.463,2.2064,0
22.900,-2.2394,-7.3969,2.1640,-106.5933,GNSS_INS,0.8000,23.053,5.463,2.2654,0
23.000,-2.3231,-7.6053,2.1988,-106.8645,GNSS_INS,0.8005,23.277,5.463,2.2720,0
23.100,-2.4074,-7.8151,2.2260,-106.6299,GNSS_INS,0.8009,23.503,5.463,2.2796,0
23.200,-2.4951,-8.0335,2.2839,-105.8072,GNSS_INS,0.8013,23.739,5.463,2.3825,0
23.300,-2.5825,-8.4144,2.3319,-107.8511,GNSS_INS,0.7842,24.125,5.524,2.4603,0
23.400,-2.7510,-8.8218,2.3758,-106.4063,GNSS_INS,0.7845,24.366,5.524,2.4603,0
23.500,-2.8489,-9.0422,2.3961,-106.0355,GNSS_INS,0.7848,24.607,5.524,2.4341,0
23.600,-2.9484,-9.2661,2.4266,-106.6100,GNSS_INS,0.7851,24.852,5.524,2.4756,0
23.700,-3.0487,-9.4918,2.4510,-107.3791,GNSS_INS,0.7854,25.099,5.524,2.4916,0
23.800,-3.1485,-9.7164,2.4554,-107.3816,GNSS_INS,0.7857,25.345,5.524,2.4631,0
23.900,-3.2444,-9.9322,2.4001,-107.4445,GNSS_INS,0.7860,25.581,5.524,2.2907,0
24.000,-3.3425,-10.1530,2.4091,-107.7943,GNSS_INS,0.7863,25.823,5.524,2.4225,0
24.100,-3.4432,-10.3798,2.4517,-108.1455,GNSS_INS,0.7866,26.071,5.524,2.5163,0
24.200,-3.5444,-10.6073,2.4747,-108.8584,GNSS_INS,0.7868,26.320,5.524,2.5082,0
24.300,-3.5432,-11.0377,2.5114,-110.4986,GNSS_INS,0.7706,26.713,5.700,2.5476,0
24.400,-3.6476,-11.2728,2.5547,-110.8868,GNSS_INS,0.7708,26.970,5.700,2.6158,0
24.500,-3.7536,-11.5113,2.5949,-111.4839,GNSS_INS,0.7710,27.231,5.700,2.6457,0
24.600,-3.8604,-11.7517,2.6210,-111.8376,GNSS_INS,0.7712,27.494,5.700,2.6545,0
24.700,-3.9648,-11.9865,2.5822,-112.5237,GNSS_INS,0.7714,27.751,5.700,2.5284,0
24.800,-4.0704,-12.2241,2.5960,-113.1589,GNSS_INS,0.7716,28.011,5.700,2.6133,0
24.900,-4.1760,-12.4618,2.5994,-113.4726,GNSS_INS,0.7718,28.271,5.700,2.6042,0
25.000,-4.2813,-12.6989,2.5962,-114.1347,GNSS_INS,0.7720,28.530,5.700,2.5915,0
25.100,-4.3859,-12.9342,2.5803,-114.5326,GNSS_INS,0.7722,28.788,5.700,2.5587,0
25.200,-4.4898,-13.1681,2.5649,-114.6751,GNSS_INS,0.7724,29.044,5.700,2.5419,0
25.300,-4.5199,-13.5701,2.5504,-114.3117,GNSS_INS,0.7571,29.423,5.836,2.5855,0
25.400,-4.6243,-13.8050,2.5666,-114.6300,GNSS_INS,0.7573,29.681,5.836,2.5892,0
25.500,-4.7268,-14.0355,2.5319,-114.8568,GNSS_INS,0.7575,29.933,5.836,2.4813,0
25.600,-4.8288,-14.2652,2.5174,-115.2793,GNSS_INS,0.7577,30.184,5.836,2.4957,0
25.700,-4.9299,-14.4926,2.4963,-116.0780,GNSS_INS,0.7579,30.433,5.836,2.4643,0
25.800,-5.0301,-14.7182,2.4763,-117.2985,GNSS_INS,0.7581,30.680,5.836,2.4458,0
