t_ns,gx,gy,gz,bx,by,bz
15885186439497,-0.010995566,0.043982264,0.03176497,-0.0120037,8.72664E-5,0.0070713
15885188818663,-0.012217295,0.042760536,0.039095346,-0.0120037,8.72664E-5,0.0070713
15885191197830,-0.050090913,0.03176497,0.047647454,-0.0120037,8.72664E-5,0.0070713
15885193576997,-0.067195125,0.032986697,0.041538805,-0.0120037,8.72664E-5,0.0070713
15885195956163,-0.041538805,0.0036651888,0.05131264,-0.0120037,8.72664E-5,0.0070713
15885198335330,-0.015882485,0.02687805,0.047647454,-0.0120037,8.72664E-5,0.0070713
15885200714497,-0.02687805,0.014660755,0.05253437,-0.0120037,8.72664E-5,0.0070713
15885203093663,-0.021991132,0.018325943,0.046425723,-0.0120037,8.72664E-5,0.0070713
15885205472830,-0.05131264,0.023212861,0.05253437,-0.0120037,8.72664E-5,0.0070713
15885207851997,-0.07574723,0.015882485,0.056199558,-0.0120037,8.72664E-5,0.0070713
15885210231111,-0.07086031,0.019547673,0.04886918,-0.0120037,8.72664E-5,0.0070713
15885212610278,-0.07208204,0.036651887,0.042760536,-0.0120037,8.72664E-5,0.0070713
15885214989445,-0.06352994,0.042760536,0.037873615,-0.0120037,8.72664E-5,0.0070713
15885217368611,-0.02932151,0.0537561,0.02932151,-0.0120037,8.72664E-5,0.0070713
15885219747778,-0.06108648,0.06597339,0.02565632,-0.0120037,8.72664E-5,0.0070713
15885222126945,-0.10873393,0.08918626,0.013439025,-0.0120037,8.72664E-5,0.0070713
15885224506111,-0.10140356,0.08307761,0.013439025,-0.0120037,8.72664E-5,0.0070713
15885226885278,-0.062308207,0.09040799,0.010995566,-0.0120037,8.72664E-5,0.0070713
15885229264445,-0.073303774,0.080634154,0.017104214,-0.0120037,8.72664E-5,0.0070713
15885231643611,-0.040317077,0.07696896,0.015882485,-0.0120037,8.72664E-5,0.0070713
15885234022778,-0.091629714,0.05986475,0.020769402,-0.0120037,8.72664E-5,0.0070713
15885236401945,-0.092851445,0.056199558,0.018325943,-0.0120037,8.72664E-5,0.0070713
15885238781111,-0.10140356,0.032986697,0.02932151,-0.0120037,8.72664E-5,0.0070713
15885241160278,-0.06963859,0.035430156,0.028099779,-0.0120037,8.72664E-5,0.0070713
15885243539445,-0.07696896,0.017104214,0.036651887,-0.0120037,8.72664E-5,0.0070713
15885245918611,-0.06597339,0.02687805,0.028099779,-0.0120037,8.72664E-5,0.0070713
15885248297778,-0.11362085,0.012217295,0.036651887,-0.0120037,8.72664E-5,0.0070713
15885250676945,-0.068416856,0.013439025,0.032986697,-0.0120037,8.72664E-5,0.0070713
15885253056111,-0.07941242,0.015882485,0.02565632,-0.0120037,8.72664E-5,0.0070713
15885255435278,-0.08307761,0.03176497,0.013439025,-0.0120037,8.72664E-5,0.0070713
15885257814393,-0.12828161,0.056199558,-0.0024434591,-0.0120037,8.72664E-5,0.0070713
15885260193559,-0.09773836,0.07086031,-0.019547673,-0.0120037,8.72664E-5,0.0070713
15885262572726,-0.14294235,0.08429934,-0.02687805,-0.0120037,8.72664E-5,0.0070713
15885264951893,-0.091629714,0.10384701,-0.032986697,-0.0120037,8.72664E-5,0.0070713
15885267331059,-0.08552107,0.11117739,-0.039095346,-0.0120037,8.72664E-5,0.0070713
15885269710226,-0.12095123,0.098960094,-0.035430156,-0.0120037,8.72664E-5,0.0070713
15885272089393,-0.106290475,0.106290475,-0.034208428,-0.0120037,8.72664E-5,0.0070713
15885274468559,-0.11117739,0.074525505,-0.021991132,-0.0120037,8.72664E-5,0.0070713
15885276847726,-0.12705988,0.05131264,-0.010995566,-0.0120037,8.72664E-5,0.0070713
15885279226893,-0.08918626,0.037873615,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15885281606059,-0.07086031,0.03176497,0.0048869182,-0.0120037,8.72664E-5,0.0070713
15885283985226,-0.040317077,0.012217295,0.0073303776,-0.0120037,8.72664E-5,0.0070713
15885286364393,-0.012217295,0.013439025,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15885288743507,-0.013439025,0.021991132,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15885291122726,-0.039095346,0.015882485,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15885293501893,-0.037873615,0.017104214,0.014660755,-0.0120037,8.72664E-5,0.0070713
15885295881059,-0.06108648,0.02443459,0.019547673,-0.0120037,8.72664E-5,0.0070713
15885298260174,-0.039095346,0.02932151,0.018325943,-0.0120037,8.72664E-5,0.0070713
15885300639393,0.0036651888,0.05253437,0.0097738365,-0.0120037,8.72664E-5,0.0070713
15885303018507,-0.0036651888,0.09040799,-0.0061086477,-0.0120037,8.72664E-5,0.0070713
15885305397674,-0.010995566,0.11728604,-0.019547673,-0.0120037,8.72664E-5,0.0070713
15885307776840,-0.042760536,0.13439025,-0.02687805,-0.0120037,8.72664E-5,0.0070713
15885310156007,-0.07086031,0.13439025,-0.021991132,-0.0120037,8.72664E-5,0.0070713
15885312535174,-0.07086031,0.13561198,-0.010995566,-0.0120037,8.72664E-5,0.0070713
15885314914340,-0.035430156,0.14172062,-0.010995566,-0.0120037,8.72664E-5,0.0070713
15885317293507,0.014660755,0.124616414,0.0,-0.0120037,8.72664E-5,0.0070713
15885319672674,0.018325943,0.16126831,-0.0073303776,-0.0120037,8.72664E-5,0.0070713
