t_ns,ax,ay,az
15936018453328,-1.2702712,-0.82765675,-2.8885548
15936023211661,-1.3272619,-1.50066,2.1939473
15936027969943,-1.2593334,-1.2846594,1.0276258
15936032728276,-0.74097955,-0.12396431,-3.041625
15936037486609,0.002005279,-0.58087826,1.3795776
15936042244891,0.57360864,-0.7051439,3.564185
15936047003224,0.99165416,0.6111517,-0.9975319
15936051761557,0.95205426,0.16252995,-0.39981198
15936056519838,0.69615734,-0.59623814,2.8435612
15936061278172,0.28614444,1.2102394,0.6674378
15936066036505,-0.12794168,0.922349,-1.4471159
15936070794786,-0.6664581,-0.25521088,1.1633339
15936075553120,-0.97621775,0.56339645,1.4448555
15936080311453,-0.9856342,-0.5275011,-1.7582295
15936085069734,-0.9127995,-0.7969065,-1.1464076
15936089828068,-0.61709464,0.21137333,1.2815325
15936094586401,0.034389347,0.20499897,-0.50897694
15936099344630,0.68773526,-0.14908504,-2.0565286
15936104103016,0.8577243,0.2854395,0.1412723
15936108861349,0.47448775,0.13800526,0.77967787
15936113619630,-0.044509083,-0.3648405,-0.5530927
15936118377963,-0.5374272,0.1319952,-0.06810784
15936123136297,-0.9167955,0.58028126,0.64853525
15936127894578,-0.95370066,0.84626293,0.6764517
15936132652911,-0.5774684,1.3505507,0.8987632
15936137411245,-0.09525725,1.9475298,0.7977865
15936142169526,0.08181089,0.08126354,0.68721557
15936146927859,0.042271495,-0.044909477,-0.86998534
15936151686141,-0.075549126,0.71940136,-1.55373
15936156444474,-0.16858354,-1.060792,0.12871003
15936161202807,-0.52860546,-1.008749,-0.4312117
15936165961141,-0.7689326,0.2138977,-2.7422807
15936170719422,-1.0868306,-0.6850128,0.05252981
15936175477755,-1.0931903,-2.000924,1.6067934
15936180236088,-0.7090565,-0.13458157,-2.5695572
15936184994370,-0.23244825,-0.88354015,-1.8451467
15936189752703,0.24650362,-1.3424664,3.226576
15936194511036,0.8033499,-0.5605879,0.44382548
15936199269318,0.98930633,-1.1512008,-3.1139073
15936204027651,0.7540037,0.10294342,1.7829607
15936208785984,0.14134642,-1.0528307,1.9748409
15936213544266,-0.42883825,-0.68938065,-2.5524893
15936218302599,-0.62706304,-0.0038013458,0.2843454
15936223060932,-0.5755789,-1.4379005,1.9740567
15936227819213,-0.3532195,-0.682395,0.036072254
15936232577547,0.10495618,-0.3913126,0.7313955
15936237335880,0.5969821,-0.916378,1.6739774
15936242094161,0.9557152,0.18248177,1.074877
15936246852495,1.1387175,-0.27684307,1.5590887
15936251610828,1.0754784,0.040535927,0.5072193
15936256369109,0.50927794,2.0080671,-0.7455139
15936261127443,-0.27499092,0.33267403,1.6568713
15936265885776,-0.78354955,0.41158676,2.5148044
15936270644057,-0.73914856,0.7383709,-2.0789728
15936275402391,-0.4321469,-0.2820568,-1.0558171
15936280160724,-0.103026435,-1.6532049,3.1255617
15936284919005,0.11208539,-0.04005909,-0.5801861
15936289677338,0.023723096,0.75707054,-3.6344717
15936294435672,0.033728868,0.15530205,2.537998
15936299193953,0.071042985,0.35277748,2.1667728
15936303952286,-0.094255045,0.8686609,-4.0476637
15936308710620,-0.45169318,-0.25998974,-1.0207102
15936313468901,-0.7304078,-1.5362258,2.5863283
15936318227234,-0.40327626,0.51333046,-2.699673
15936322985568,0.10523814,0.32084846,-2.1125228
15936327743849,0.43924093,-1.2778153,3.3697207
15936332502182,0.717107,0.41963863,-0.9818258
15936337260516,0.6804902,-0.2342434,-3.3884277
