t_ns,qx,qy,qz,qw,heading_acc_rad
15916804319705,0.2129072,-0.51590437,-0.76777893,0.3146883,-1.0
15916809078038,0.21252775,-0.51611245,-0.7678569,0.31441316,-1.0
15916813836372,0.21218152,-0.5162938,-0.76792926,0.31417248,-1.0
15916818594705,0.21187873,-0.516582,-0.7679236,0.3139168,-1.0
15916823353038,0.21157485,-0.51684934,-0.76793706,0.31364864,-1.0
15916828111372,0.21123384,-0.5170298,-0.76799333,0.31344327,-1.0
15916832869705,0.2108398,-0.51722234,-0.76804054,0.31327516,-1.0
15916837628038,0.21055166,-0.5174347,-0.76803803,0.31312445,-1.0
15916842386372,0.21035194,-0.5175234,-0.7680812,0.31300616,-1.0
15916847144705,0.21016856,-0.5174771,-0.768189,0.31294125,-1.0
15916851903038,0.21011181,-0.51743716,-0.76825076,0.3128939,-1.0
15916856661372,0.21012877,-0.5174193,-0.76830196,0.31278637,-1.0
15916861419705,0.21008012,-0.5173615,-0.7684074,0.31265545,-1.0
15916866177986,0.20983848,-0.517395,-0.768512,0.31250522,-1.0
15916870936372,0.20947956,-0.51758116,-0.76856476,0.31230786,-1.0
15916875694705,0.20905781,-0.5178058,-0.7686208,0.3120802,-1.0
15916880453038,0.20865884,-0.51788133,-0.76874614,0.31191307,-1.0
15916885211372,0.20833656,-0.5179394,-0.7688476,0.31178215,-1.0
15916889969705,0.20816933,-0.51812345,-0.7688412,0.31160372,-1.0
15916894728038,0.20805931,-0.518145,-0.7689273,0.3114287,-1.0
15916899486372,0.20791757,-0.5179993,-0.7691036,0.31133053,-1.0
15916904244705,0.2078213,-0.51797867,-0.7691825,0.31123415,-1.0
15916909003038,0.20770735,-0.518023,-0.76924366,0.31108513,-1.0
15916913761372,0.20758845,-0.5179124,-0.76939297,0.31097946,-1.0
15916918519705,0.20746751,-0.5177573,-0.7695529,0.3109227,-1.0
15916923278090,0.20728482,-0.5177099,-0.76966894,0.3108363,-1.0
15916928036372,0.20692633,-0.517688,-0.76981676,0.31074554,-1.0
15916932794705,0.20645449,-0.51759,-0.7700126,0.31073743,-1.0
15916937553090,0.2060011,-0.5175026,-0.77017653,0.31077754,-1.0
15916942311424,0.20577702,-0.51752836,-0.77020735,0.31080684,-1.0
15916947069757,0.20571624,-0.5176004,-0.7701827,0.310788,-1.0
15916951828090,0.2057275,-0.51759267,-0.7701997,0.31075135,-1.0
15916956586424,0.20579779,-0.51759875,-0.77020335,0.31068566,-1.0
15916961344757,0.2058641,-0.5176984,-0.770167,0.31056583,-1.0
15916966103090,0.20574753,-0.5178599,-0.77015257,0.31040967,-1.0
15916970861424,0.20552126,-0.5180738,-0.7701225,0.31027707,-1.0
15916975619757,0.2053152,-0.51831824,-0.7700582,0.31016484,-1.0
15916980378090,0.20519894,-0.51851636,-0.7699931,0.3100722,-1.0
15916985136424,0.20515044,-0.5186294,-0.76995975,0.30999824,-1.0
15916989894757,0.20514107,-0.51858526,-0.77000415,0.30996785,-1.0
15916994653090,0.20521964,-0.5184961,-0.77004385,0.3099663,-1.0
15916999411424,0.20533848,-0.51844794,-0.77006364,0.3099191,-1.0
15917004169757,0.20545927,-0.5184033,-0.77009094,0.30984595,-1.0
15917008928090,0.20557787,-0.51847166,-0.7700535,0.30974585,-1.0
15917013686424,0.20557274,-0.5186089,-0.77001894,0.30960533,-1.0
15917018444757,0.20542707,-0.5188075,-0.7699828,0.3094593,-1.0
15917023203090,0.20521575,-0.5191069,-0.7699034,0.3092947,-1.0
15917027961424,0.20492327,-0.51944906,-0.76982164,0.30911767,-1.0
15917032719757,0.20466979,-0.51979584,-0.76971203,0.30897564,-1.0
15917037478090,0.20452477,-0.52000505,-0.7696431,0.3088913,-1.0
15917042236424,0.20447794,-0.5200703,-0.7696246,0.30885866,-1.0
15917046994757,0.20459975,-0.5201732,-0.7695371,0.3088226,-1.0
15917051753090,0.2048223,-0.52028084,-0.76943994,0.3087359,-1.0
15917056511424,0.20498915,-0.5202098,-0.76947117,0.30866715,-1.0
15917061269757,0.20508566,-0.5200929,-0.7695401,0.30862808,-1.0
15917066028038,0.20511304,-0.52006036,-0.7695781,0.3085699,-1.0
15917070786424,0.20504598,-0.52002144,-0.7696449,0.30851343,-1.0
15917075544757,0.20494094,-0.51993877,-0.7697327,0.30850354,-1.0
15917080303090,0.20485845,-0.519893,-0.76979035,0.30849174,-1.0
15917085061424,0.20490117,-0.51995313,-0.76976776,0.30841827,-1.0
15917089819757,0.20494968,-0.5198375,-0.76986176,0.30834636,-1.0
15917094578090,0.20492266,-0.51952094,-0.77007645,0.30836165,-1.0
15917099336424,0.20488073,-0.5191579,-0.7703072,0.30842477,-1.0
15917104094757,0.20487009,-0.51880765,-0.7705306,0.3084631,-1.0
15917108853090,0.204817,-0.5185228,-0.77073604,0.308464,-1.0
15917113611424,0.20473948,-0.5183799,-0.77086264,0.30843925,-1.0
15917118369757,0.20464437,-0.5183223,-0.77094257,0.3083994,-1.0
15917123128090,0.2046078,-0.5183207,-0.7709685,0.3083616,-1.0
15917127886424,0.20468216,-0.51836973,-0.7709315,0.30832237,-1.0
15917132644757,0.20479865,-0.5184353,-0.77087516,0.3082757,-1.0
15917137403090,0.20500669,-0.5185246,-0.7707796,0.3082261,-1.0
15917142161424,0.20522615,-0.5186205,-0.77067906,0.30817008,-1.0
15917146919757,0.20533806,-0.5185548,-0.77069783,0.30815908,-1.0
15917151678143,0.20540597,-0.51848394,-0.7707161,0.30818748,-1.0
15917156436424,0.20545627,-0.51850545,-0.77068627,0.30819237,-1.0
15917161194757,0.20548432,-0.51840746,-0.77072704,0.30823654,-1.0
15917165953143,0.2055249,-0.51815575,-0.77083343,0.30836663,-1.0
15917170711476,0.2055585,-0.5179948,-0.77087563,0.30850917,-1.0
15917175469809,0.20555313,-0.5180331,-0.77082187,0.30858278,-1.0
15917180228143,0.20543672,-0.518036,-0.7708228,0.30865288,-1.0
15917184986476,0.20534866,-0.5179718,-0.77082974,0.30880195,-1.0
15917189744757,0.20534112,-0.51811385,-0.77068776,0.30892304,-1.0
15917194503143,0.20529926,-0.51828176,-0.7705563,0.30899718,-1.0
15917199261476,0.20527843,-0.51804405,-0.77063984,0.30920124,-1.0
15917204019809,0.20544589,-0.51772135,-0.7707117,0.30945128,-1.0
15917208778143,0.20573764,-0.5176378,-0.77065045,0.30954972,-1.0
15917213536476,0.20588943,-0.51752055,-0.77068883,0.30954933,-1.0
15917218294809,0.20594293,-0.51733947,-0.770786,0.30957443,-1.0
15917223053143,0.2060347,-0.51735693,-0.7707578,0.30955443,-1.0
15917227811476,0.20605369,-0.51750594,-0.77070785,0.30941698,-1.0
15917232569809,0.20590195,-0.51750374,-0.7707871,0.3093242,-1.0
15917237328143,0.20569243,-0.51755136,-0.77082807,0.3092819,-1.0
15917242086476,0.20545901,-0.51774025,-0.7708009,0.3091886,-1.0
15917246844809,0.2052356,-0.51774687,-0.77087635,0.30913785,-1.0
15917251603143,0.20515311,-0.5176049,-0.77098143,0.30916825,-1.0
15917256361476,0.20521109,-0.5175304,-0.77101004,0.3091831,-1.0
15917261119809,0.20522802,-0.51743865,-0.7710797,0.30915168,-1.0
15917265878143,0.20526524,-0.5172853,-0.77117866,0.30913693,-1.0
15917270636476,0.20536396,-0.51720345,-0.7712261,0.30908987,-1.0
15917275394809,0.20540586,-0.5171299,-0.7713044,0.30898952,-1.0
15917280153143,0.2053293,-0.516966,-0.7714673,0.30890805,-1.0
15917284911476,0.20512399,-0.5168874,-0.77160263,0.30883804,-1.0
15917289669809,0.20478,-0.51696116,-0.77169806,0.3087045,-1.0
15917294428090,0.20427106,-0.51684344,-0.7719426,0.3086273,-1.0
15917299186476,0.20382923,-0.51659316,-0.77220976,0.3086701,-1.0
15917303944809,0.20360962,-0.5165226,-0.772311,0.30867988,-1.0
15917308703143,0.20342991,-0.5163227,-0.7724994,0.30866134,-1.0
15917313461476,0.20329681,-0.51592666,-0.7727758,0.3087194,-1.0
15917318219809,0.20325159,-0.51573926,-0.7729154,0.30871275,-1.0
15917322978143,0.20311129,-0.515763,-0.77299595,0.3085638,-1.0
15917327736476,0.20279048,-0.5157674,-0.773141,0.30840388,-1.0
15917332494809,0.20242883,-0.5158076,-0.77325356,0.30829212,-1.0
15917337253143,0.2021185,-0.5159744,-0.7732797,0.30815095,-1.0
15917342011528,0.20186825,-0.5161552,-0.7732917,0.30798203,-1.0
15917346769861,0.2016844,-0.5161689,-0.77338064,0.30785617,-1.0
15917351528195,0.20164144,-0.5160859,-0.77347606,0.30778366,-1.0
15917356286528,0.20170888,-0.51601154,-0.77355176,0.30767393,-1.0
15917361044861,0.20177406,-0.51593685,-0.7736502,0.30750892,-1.0
15917365803195,0.20178084,-0.5159268,-0.7737395,0.30729663,-1.0
15917370561528,0.20178024,-0.5160381,-0.77376145,0.30705473,-1.0
15917375319861,0.20168735,-0.5161668,-0.77380425,0.30679154,-1.0
15917380078195,0.20152725,-0.5163723,-0.773813,0.3065286,-1.0
15917384836528,0.20127754,-0.5165984,-0.7738391,0.30624568,-1.0
15917389594861,0.2008958,-0.51675886,-0.7739284,0.30599993,-1.0
15917394353195,0.20054843,-0.51698244,-0.7739478,0.3058011,-1.0
15917399111528,0.20027053,-0.51723367,-0.7739305,0.305602,-1.0
15917403869861,0.2000482,-0.5173105,-0.7739957,0.30545256,-1.0
15917408628195,0.20000252,-0.51735437,-0.7740244,0.30533528,-1.0
15917413386528,0.20007962,-0.51737845,-0.77405405,0.30516884,-1.0
15917418144861,0.20010471,-0.51724005,-0.7742095,0.30499265,-1.0
15917422903195,0.2001118,-0.5171246,-0.7743567,0.30480993,-1.0
15917427661424,0.20001817,-0.5171382,-0.7744705,0.30455917,-1.0
15917432419861,0.1997498,-0.51717985,-0.7746188,0.3042872,-1.0
15917437178195,0.19936663,-0.51727307,-0.7747536,0.30403697,-1.0
15917441936528,0.1989319,-0.51748365,-0.77481985,0.30379432,-1.0
15917446694861,0.1984794,-0.5177166,-0.774865,0.30357823,-1.0
15917451453195,0.1980403,-0.517857,-0.7749436,0.30342478,-1.0
15917456211528,0.19776954,-0.5181309,-0.7748776,0.30330235,-1.0
15917460969861,0.19765265,-0.5185375,-0.77469903,0.30313972,-1.0
15917465728195,0.1975829,-0.5189098,-0.7745378,0.30296016,-1.0
15917470486528,0.19759218,-0.5192145,-0.77438587,0.30282038,-1.0
15917475244861,0.19758524,-0.5196425,-0.7741697,0.30264348,-1.0
15917480003195,0.19740567,-0.52005076,-0.77402014,0.30244184,-1.0
15917484761476,0.19701575,-0.52035517,-0.7739644,0.302315,-1.0
15917489519913,0.19652183,-0.52083427,-0.77381384,0.3021969,-1.0
15917494278247,0.19595133,-0.5213246,-0.7736778,0.3020702,-1.0
15917499036580,0.19539545,-0.52169466,-0.7735886,0.30201975,-1.0
15917503794913,0.19507225,-0.5221406,-0.77338487,0.3019798,-1.0
15917508553247,0.19484453,-0.5225882,-0.7731714,0.30189925,-1.0
15917513311580,0.19467187,-0.5229829,-0.7729692,0.30184504,-1.0
15917518069913,0.19452783,-0.52343,-0.7727283,0.3017796,-1.0
15917522828247,0.19439848,-0.52389234,-0.77248645,0.30167994,-1.0
15917527586580,0.19426265,-0.52426225,-0.7723044,0.3015908,-1.0
15917532344913,0.19413918,-0.524619,-0.7721271,0.30150396,-1.0
15917537103247,0.19404511,-0.5249442,-0.77197653,0.3013839,-1.0
15917541861580,0.19393994,-0.5252262,-0.7718707,0.3012314,-1.0
15917546619913,0.19372047,-0.5254953,-0.77181065,0.30105716,-1.0
15917551378247,0.1932975,-0.52577657,-0.77179897,0.30086786,-1.0
15917556136580,0.1926876,-0.5260505,-0.7718342,0.3006897,-1.0
15917560894913,0.19195093,-0.5262755,-0.7719119,0.3005677,-1.0
15917565653247,0.19131583,-0.52646524,-0.7719623,0.300511,-1.0
15917570411580,0.19091395,-0.52670544,-0.7719241,0.30044386,-1.0
15917575169913,0.19066994,-0.52684504,-0.7719206,0.30036286,-1.0
15917579928247,0.19052489,-0.5269165,-0.77192944,0.3003068,-1.0
15917584686580,0.19035238,-0.5270884,-0.77188635,0.3002253,-1.0
15917589444913,0.19003022,-0.52722114,-0.771901,0.30015862,-1.0
15917594203247,0.18958806,-0.5273204,-0.771959,0.30011466,-1.0
15917598961580,0.18916564,-0.5274699,-0.77198255,0.30005813,-1.0
15917603719913,0.18872197,-0.5274919,-0.7720929,0.30001467,-1.0
15917608478247,0.18833849,-0.52739394,-0.77224946,0.300025,-1.0
15917613236580,0.18811038,-0.52734137,-0.772334,0.30004302,-1.0
15917617994965,0.18799387,-0.52730227,-0.77239364,0.30003116,-1.0
15917622753299,0.1877847,-0.5271493,-0.7725465,0.3000373,-1.0
15917627511632,0.18753804,-0.52709395,-0.77263194,0.30006886,-1.0
15917632269913,0.1873232,-0.52737325,-0.77252525,0.29998696,-1.0
15917637028299,0.18700239,-0.52776074,-0.7724043,0.29981703,-1.0
15917641786632,0.1864806,-0.5279151,-0.7724544,0.2997412,-1.0
15917646544965,0.18587327,-0.5281787,-0.77241606,0.299753,-1.0
15917651303299,0.18524872,-0.5285846,-0.77229124,0.29974574,-1.0
15917656061632,0.18466921,-0.528746,-0.77229804,0.29980114,-1.0
15917660819965,0.1842378,-0.5285931,-0.7724265,0.30000514,-1.0
15917665578299,0.18399245,-0.52850217,-0.77246755,0.3002102,-1.0
15917670336632,0.18385021,-0.5284876,-0.77247095,0.30031413,-1.0
15917675094965,0.18359458,-0.5283714,-0.77258325,0.30038622,-1.0
15917679853299,0.18320896,-0.5283031,-0.77268654,0.300476,-1.0
15917684611632,0.18269415,-0.5284884,-0.7726701,0.3005059,-1.0
15917689369965,0.181993,-0.5287216,-0.7726779,0.3005011,-1.0
15917694128299,0.1812071,-0.52886295,-0.77274317,0.3005594,-1.0
15917698886632,0.18046479,-0.52919036,-0.7726678,0.30062345,-1.0
15917703644965,0.17977789,-0.5295392,-0.77257264,0.30066535,-1.0
15917708403299,0.17920178,-0.529687,-0.7725548,0.30079472,-1.0
15917713161632,0.17878313,-0.52980095,-0.7725037,0.3009745,-1.0
15917717919965,0.17857487,-0.52991503,-0.77241564,0.30112314,-1.0
15917722678299,0.17857544,-0.52999043,-0.7723181,0.30124027,-1.0
15917727436632,0.17860818,-0.52993065,-0.7723081,0.30135158,-1.0
15917732194965,0.17854565,-0.5298589,-0.77233326,0.3014504,-1.0
15917736953299,0.17824683,-0.5299161,-0.77234846,0.30148762,-1.0
15917741711632,0.17774889,-0.5299754,-0.77241,0.3015199,-1.0
15917746470018,0.17714013,-0.5300034,-0.7724988,0.30160135,-1.0
15917751228351,0.17653728,-0.53003335,-0.77257323,0.30171162,-1.0
15917755986684,0.17607032,-0.52996624,-0.7726666,0.30186322,-1.0
15917760745018,0.17577848,-0.5298214,-0.7727608,0.3020463,-1.0
15917765503351,0.17562456,-0.529704,-0.7728132,0.3022077,-1.0
15917770261684,0.17547862,-0.52953744,-0.7729053,0.30234864,-1.0
15917775020018,0.1752629,-0.52935606,-0.7730203,0.3024974,-1.0
15917779778351,0.17500125,-0.52930826,-0.77306104,0.30262852,-1.0
15917784536684,0.17467175,-0.5292446,-0.77313167,0.30274957,-1.0
15917789295018,0.17435007,-0.5291624,-0.77319306,0.30292186,-1.0
15917794053351,0.17407405,-0.52920026,-0.7731546,0.3031126,-1.0
15917798811684,0.17371838,-0.5293202,-0.7730772,0.30330467,-1.0
15917803570018,0.17333706,-0.5295023,-0.7729501,0.30352876,-1.0
15917808328351,0.17297964,-0.5297266,-0.7727693,0.3038017,-1.0
15917813086684,0.17280635,-0.5299044,-0.7725546,0.30413598,-1.0
15917817845018,0.17295136,-0.5300424,-0.77228796,0.3044901,-1.0
15917822603351,0.17331234,-0.5300287,-0.77208775,0.30481622,-1.0
15917827361684,0.17367215,-0.5298875,-0.7719779,0.30513495,-1.0
15917832120018,0.17388818,-0.52989346,-0.7718171,0.3054082,-1.0
15917836878351,0.17383176,-0.5300005,-0.7716716,0.3056222,-1.0
15917841636684,0.17350113,-0.5299402,-0.7716769,0.30590117,-1.0
15917846395018,0.17311959,-0.5298217,-0.7716926,0.3062828,-1.0
15917851153351,0.17280748,-0.52983254,-0.77161586,0.30663326,-1.0
15917855911684,0.17254898,-0.5297896,-0.77157605,0.30695316,-1.0
15917860670018,0.17236343,-0.5295437,-0.7716124,0.30738991,-1.0
15917865428403,0.17243373,-0.5294401,-0.77147835,0.3078651,-1.0
15917870186736,0.17261018,-0.52934784,-0.77134305,0.30826372,-1.0
15917874945070,0.17284818,-0.5291365,-0.7712734,0.30866727,-1.0
15917879703403,0.17313533,-0.52896065,-0.77117753,0.30904698,-1.0
15917884461736,0.1734007,-0.5289102,-0.77104026,0.3093269,-1.0
15917889220070,0.17358957,-0.5288246,-0.77096474,0.30955538,-1.0
15917893978403,0.1736499,-0.52873605,-0.7709102,0.30980852,-1.0
15917898736736,0.17366745,-0.52891153,-0.7706974,0.31002858,-1.0
15917903495070,0.17367357,-0.52924734,-0.7704128,0.3101595,-1.0
15917908253403,0.17368683,-0.5294323,-0.770207,0.31034753,-1.0
15917913011736,0.17389567,-0.529594,-0.7699313,0.31063852,-1.0
15917917770070,0.17422368,-0.5297924,-0.7696042,0.31092674,-1.0
15917922528403,0.17461634,-0.5298055,-0.7693726,0.31125736,-1.0
15917927286736,0.17504673,-0.52963215,-0.76922727,0.31166953,-1.0
15917932045070,0.17544498,-0.52947944,-0.76907146,0.3120892,-1.0
15917936803403,0.17576557,-0.52939075,-0.768906,0.3124668,-1.0
15917941561736,0.17589112,-0.52931213,-0.768793,0.31280717,-1.0
15917946320070,0.17581956,-0.5292539,-0.768705,0.31316197,-1.0
15917951078403,0.17569447,-0.5293312,-0.76854384,0.3134968,-1.0
15917955836736,0.17550305,-0.5294517,-0.76838285,0.31379506,-1.0
15917960595070,0.17537533,-0.5294415,-0.76827914,0.31413755,-1.0
15917965353403,0.17538342,-0.52946705,-0.7681082,0.31450775,-1.0
15917970111788,0.17553926,-0.52960813,-0.7678514,0.3148101,-1.0
15917974870122,0.17578487,-0.5296892,-0.7676395,0.3150533,-1.0
15917979628455,0.17605987,-0.529729,-0.7674437,0.31530982,-1.0
15917984386788,0.17632349,-0.5299446,-0.7671501,0.31551462,-1.0
15917989145122,0.17650937,-0.5302788,-0.7668257,0.31563774,-1.0
15917993903455,0.17659871,-0.5304631,-0.7666169,0.31578532,-1.0
15917998661788,0.17677626,-0.530475,-0.7664712,0.31601945,-1.0
15918003420122,0.17715003,-0.5306935,-0.7661551,0.31620973,-1.0
15918008178455,0.17764239,-0.5310705,-0.76575416,0.31627193,-1.0
15918012936788,0.17801669,-0.53124106,-0.7655218,0.31633735,-1.0
15918017695122,0.1783937,-0.5314484,-0.76523507,0.31647053,-1.0
15918022453455,0.17873353,-0.5319035,-0.7648191,0.3165198,-1.0
15918027211788,0.17888641,-0.53220457,-0.76455384,0.3165682,-1.0
15918031970122,0.17904204,-0.5320384,-0.76453537,0.31680393,-1.0
15918036728455,0.17929162,-0.5318183,-0.7644968,0.31712535,-1.0
15918041486788,0.17964432,-0.5318371,-0.76431316,0.31733683,-1.0
15918046245122,0.17991233,-0.531743,-0.76424813,0.31749925,-1.0
15918051003455,0.1800354,-0.53128314,-0.76440513,0.31782106,-1.0
