t_ns,ax,ay,az,bx,by,bz
15946607421088,0.19621146,9.547362,3.3690944,0.0,0.0,0.0
15946609800203,0.047856454,9.561719,3.5557344,0.0,0.0,0.0
15946612179370,-0.09571291,9.513863,3.6610186,0.0,0.0,0.0
15946614558536,-0.2440679,9.489935,3.6993039,0.0,0.0,0.0
15946616937651,-0.4354937,9.504292,3.7088752,0.0,0.0,0.0
15946619316818,-0.60777694,9.403793,3.7136607,0.0,0.0,0.0
15946621695984,-0.75613195,9.332008,3.7615173,0.0,0.0,0.0
15946624075151,-0.83748794,9.298509,3.8141594,0.0,0.0,0.0
15946626454266,-0.9379865,9.250652,3.8955152,0.0,0.0,0.0
15946628833432,-0.9379865,9.2075815,3.9098723,0.0,0.0,0.0
15946631212599,-0.98584294,9.221938,3.885944,0.0,0.0,0.0
15946633591766,-0.8757731,9.23151,3.8141594,0.0,0.0,0.0
15946635970880,-0.7896315,9.241081,3.7663028,0.0,0.0,0.0
15946638350047,-0.60777694,9.284152,3.7280176,0.0,0.0,0.0
15946640729213,-0.4546363,9.30808,3.7567315,0.0,0.0,0.0
15946643108380,-0.2536392,9.30808,3.7854455,0.0,0.0,0.0
15946645487547,-0.062213387,9.317652,3.8333018,0.0,0.0,0.0
15946647866661,0.062213387,9.298509,3.8572302,0.0,0.0,0.0
15946650245828,0.15314065,9.269794,3.842873,0.0,0.0,0.0
15946652624995,0.15792629,9.245867,3.8524444,0.0,0.0,0.0
15946655004109,0.11006984,9.217153,3.9098723,0.0,0.0,0.0
15946657383276,-0.019142581,9.140582,3.9816568,0.0,0.0,0.0
15946659762443,-0.18185452,9.073584,4.048656,0.0,0.0,0.0
15946662141609,-0.37806597,9.01137,4.1204405,0.0,0.0,0.0
15946664520724,-0.5599205,8.997013,4.139583,0.0,0.0,0.0
15946666899891,-0.7082755,8.9348,4.1491547,0.0,0.0,0.0
15946669278953,-0.8135597,8.906086,4.130012,0.0,0.0,0.0
15946671658224,-0.91405827,8.886943,4.115655,0.0,0.0,0.0
15946674037338,-0.9619147,8.882157,4.125226,0.0,0.0,0.0
15946676416505,-0.95712906,8.891729,4.125226,0.0,0.0,0.0
15946678795672,-0.9284152,8.872586,4.115655,0.0,0.0,0.0
15946681174838,-0.8422736,8.853444,4.106084,0.0,0.0,0.0
15946683553953,-0.72263247,8.848659,4.0534415,0.0,0.0,0.0
15946685933120,-0.6029913,8.872586,4.034299,0.0,0.0,0.0
15946688312286,-0.44027936,8.848659,4.0103707,0.0,0.0,0.0
15946690691453,-0.33020952,8.848659,4.0103707,0.0,0.0,0.0
15946693070568,-0.17706887,8.867801,4.034299,0.0,0.0,0.0
15946695449734,-0.12921242,8.843872,4.034299,0.0,0.0,0.0
15946697828901,-0.08135597,8.834301,4.019942,0.0,0.0,0.0
15946700208068,-0.10049855,8.834301,4.0103707,0.0,0.0,0.0
15946702587182,-0.13878371,8.805588,3.9960139,0.0,0.0,0.0
15946704966349,-0.2105684,8.796016,4.019942,0.0,0.0,0.0
15946707345516,-0.31585258,8.79123,4.0534415,0.0,0.0,0.0
15946709724682,-0.43070808,8.786445,4.0534415,0.0,0.0,0.0
15946712103797,-0.5599205,8.786445,4.019942,0.0,0.0,0.0
15946714482963,-0.66041905,8.819944,3.9816568,0.0,0.0,0.0
15946716862130,-0.72741807,8.819944,3.9625144,0.0,0.0,0.0
15946719241297,-0.7848458,8.843872,3.9720855,0.0,0.0,0.0
15946721620411,-0.79920274,8.843872,3.9433718,0.0,0.0,0.0
15946723999526,-0.80877405,8.925228,3.9338005,0.0,0.0,0.0
15946726378745,-0.7896315,8.953942,3.8907297,0.0,0.0,0.0
15946728757911,-0.7609176,8.992228,3.8572302,0.0,0.0,0.0
15946731137026,-0.71306115,9.01137,3.804588,0.0,0.0,0.0
15946733516193,-0.63170516,9.044869,3.7854455,0.0,0.0,0.0
15946735895359,-0.57427746,9.068798,3.7806597,0.0,0.0,0.0
15946738274526,-0.51206404,9.040084,3.7806597,0.0,0.0,0.0
15946740653641,-0.4833502,9.035298,3.7758741,0.0,0.0,0.0
15946743032807,-0.44027936,9.111869,3.8333018,0.0,0.0,0.0
15946745411974,-0.44985065,9.116654,3.8285162,0.0,0.0,0.0
15946747791141,-0.47377887,9.145369,3.7998023,0.0,0.0,0.0
15946750170255,-0.47377887,9.183653,3.737589,0.0,0.0,0.0
15946752549422,-0.4881358,9.221938,3.6993039,0.0,0.0,0.0
15946754928588,-0.5455636,9.202796,3.7184465,0.0,0.0,0.0
15946757307755,-0.55513483,9.2075815,3.7854455,0.0,0.0,0.0
15946759686870,-0.57427746,9.217153,3.8380876,0.0,0.0,0.0
15946762066036,-0.59342,9.188439,3.842873,0.0,0.0,0.0
15946764445203,-0.5694918,9.193225,3.8093736,0.0,0.0,0.0
15946766824370,-0.5886344,9.202796,3.7615173,0.0,0.0,0.0
15946769203484,-0.5455636,9.178867,3.7471602,0.0,0.0,0.0
15946771582651,-0.52163535,9.159725,3.790231,0.0,0.0,0.0
15946773961818,-0.5168497,9.169296,3.8093736,0.0,0.0,0.0
15946776340984,-0.4833502,9.15494,3.8285162,0.0,0.0,0.0
15946778720099,-0.42592242,9.135797,3.8141594,0.0,0.0,0.0
15946781099266,-0.37328035,9.126225,3.804588,0.0,0.0,0.0
15946783478432,-0.33020952,9.116654,3.751946,0.0,0.0,0.0
15946785857599,-0.31106696,9.08794,3.7280176,0.0,0.0,0.0
15946788236713,-0.31106696,9.08794,3.7567315,0.0,0.0,0.0
15946790615880,-0.3589234,9.102298,3.842873,0.0,0.0,0.0
15946792995047,-0.4211368,9.068798,3.9194436,0.0,0.0,0.0
15946795374213,-0.49292147,9.078369,3.9433718,0.0,0.0,0.0
15946797753328,-0.60777694,9.092726,3.8955152,0.0,0.0,0.0
15946800132495,-0.6939186,9.092726,3.8524444,0.0,0.0,0.0
15946802511661,-0.76570326,9.083155,3.885944,0.0,0.0,0.0
15946804890828,-0.8470592,9.08794,3.9338005,0.0,0.0,0.0
15946807269943,-0.89491564,9.078369,3.9864426,0.0,0.0,0.0
15946809649109,-0.9092726,9.059227,4.0151563,0.0,0.0,0.0
15946812028276,-0.9092726,9.040084,4.034299,0.0,0.0,0.0
15946814407443,-0.90448695,9.025727,4.0007997,0.0,0.0,0.0
15946816786557,-0.85184485,9.01137,3.9816568,0.0,0.0,0.0
15946819165724,-0.7848458,8.973084,4.005585,0.0,0.0,0.0
15946821544891,-0.72741807,8.963513,4.034299,0.0,0.0,0.0
15946823924005,-0.6795616,8.939586,4.063013,0.0,0.0,0.0
15946826303172,-0.6269195,8.9108715,4.0773697,0.0,0.0,0.0
15946828682338,-0.57906306,8.906086,4.0677986,0.0,0.0,0.0
15946831061505,-0.526421,8.877372,4.0438704,0.0,0.0,0.0
15946833440672,-0.4881358,8.867801,4.0103707,0.0,0.0,0.0
15946835819786,-0.46899325,8.872586,4.0151563,0.0,0.0,0.0
15946838198953,-0.45942193,8.882157,4.024728,0.0,0.0,0.0
15946840578120,-0.4833502,8.877372,4.0534415,0.0,0.0,0.0
15946842957286,-0.51206404,8.9013,4.063013,0.0,0.0,0.0
15946845336401,-0.57906306,8.906086,4.063013,0.0,0.0,0.0
15946847715568,-0.6556334,8.920443,4.0295134,0.0,0.0,0.0
15946850094734,-0.7513463,8.930014,4.0007997,0.0,0.0,0.0
15946852473901,-0.83748794,8.9348,4.024728,0.0,0.0,0.0
15946854853016,-0.9092726,8.968299,4.082155,0.0,0.0,0.0
15946857232182,-0.9667004,8.963513,4.101298,0.0,0.0,0.0
15946859611349,-1.0001999,8.963513,4.115655,0.0,0.0,0.0
15946861990516,-1.0193424,8.963513,4.091727,0.0,0.0,0.0
15946864369630,-0.9954142,8.992228,4.063013,0.0,0.0,0.0
15946866748797,-0.971486,8.987442,4.0295134,0.0,0.0,0.0
15946869127963,-0.8997013,8.997013,4.019942,0.0,0.0,0.0
15946871507130,-0.8662018,9.006584,4.0151563,0.0,0.0,0.0
15946873886245,-0.7896315,9.001799,4.0295134,0.0,0.0,0.0
15946876265411,-0.70348984,8.987442,4.034299,0.0,0.0,0.0
15946878644526,-0.6364908,9.006584,4.0103707,0.0,0.0,0.0
15946881023745,-0.5982057,9.001799,3.9768713,0.0,0.0,0.0
15946883402859,-0.56470615,8.997013,3.938586,0.0,0.0,0.0
15946885782026,-0.5312066,8.992228,3.9194436,0.0,0.0,0.0
15946888161193,-0.55513483,9.030513,3.938586,0.0,0.0,0.0
15946890540307,-0.55513483,9.049655,3.952943,0.0,0.0,0.0
15946892919474,-0.61734825,9.059227,3.9625144,0.0,0.0,0.0
15946895298641,-0.63170516,9.073584,3.9433718,0.0,0.0,0.0
15946897677807,-0.67477596,9.111869,3.9146578,0.0,0.0,0.0
15946900056974,-0.6987042,9.107083,3.8763726,0.0,0.0,0.0
15946902436088,-0.7322037,9.126225,3.8955152,0.0,0.0,0.0
15946904815255,-0.7322037,9.12144,3.9098723,0.0,0.0,0.0
15946907194422,-0.7609176,9.116654,3.9098723,0.0,0.0,0.0
15946909573588,-0.7322037,9.12144,3.9290147,0.0,0.0,0.0
15946911952703,-0.7178468,9.131011,3.9146578,0.0,0.0,0.0
15946914331870,-0.6795616,9.126225,3.885944,0.0,0.0,0.0
15946916711036,-0.6125626,9.135797,3.8763726,0.0,0.0,0.0
15946919090151,-0.55034924,9.126225,3.8476589,0.0,0.0,0.0
15946921469318,-0.47377887,9.116654,3.8380876,0.0,0.0,0.0
15946923848484,-0.41635114,9.145369,3.8380876,0.0,0.0,0.0
15946926227651,-0.33499518,9.159725,3.8285162,0.0,0.0,0.0
15946928606818,-0.27756742,9.126225,3.8093736,0.0,0.0,0.0
15946930985932,-0.25842485,9.126225,3.7758741,0.0,0.0,0.0
15946933365099,-0.2536392,9.126225,3.7710886,0.0,0.0,0.0
15946935744266,-0.2632105,9.12144,3.7471602,0.0,0.0,0.0
15946938123432,-0.28235307,9.116654,3.751946,0.0,0.0,0.0
15946940502547,-0.3493521,9.111869,3.7710886,0.0,0.0,0.0
15946942881713,-0.41156548,9.135797,3.7806597,0.0,0.0,0.0
15946945260880,-0.47377887,9.140582,3.7950168,0.0,0.0,0.0
15946947640047,-0.57427746,9.12144,3.7806597,0.0,0.0,0.0
15946950019161,-0.61734825,9.116654,3.7615173,0.0,0.0,0.0
15946952398328,-0.67477596,9.092726,3.7710886,0.0,0.0,0.0
15946954777495,-0.6987042,9.08794,3.7663028,0.0,0.0,0.0
15946957156661,-0.74177504,9.078369,3.7854455,0.0,0.0,0.0
15946959535776,-0.7513463,9.059227,3.790231,0.0,0.0,0.0
15946961914943,-0.72741807,9.083155,3.7710886,0.0,0.0,0.0
15946964294109,-0.6843473,9.083155,3.751946,0.0,0.0,0.0
15946966673276,-0.6364908,9.092726,3.737589,0.0,0.0,0.0
15946969052391,-0.5599205,9.107083,3.7040894,0.0,0.0,0.0
15946971431557,-0.4977071,9.083155,3.723232,0.0,0.0,0.0
15946973810724,-0.46899325,9.059227,3.723232,0.0,0.0,0.0
15946976189891,-0.41635114,9.078369,3.723232,0.0,0.0,0.0
15946978569005,-0.37328035,9.092726,3.7184465,0.0,0.0,0.0
15946980948172,-0.3493521,9.064013,3.7088752,0.0,0.0,0.0
15946983327338,-0.3493521,9.064013,3.7136607,0.0,0.0,0.0
15946985706505,-0.38285163,9.049655,3.6897326,0.0,0.0,0.0
15946988085620,-0.41635114,9.083155,3.6993039,0.0,0.0,0.0
15946990464786,-0.46899325,9.0544405,3.7040894,0.0,0.0,0.0
15946992843953,-0.53599226,9.040084,3.7088752,0.0,0.0,0.0
15946995223120,-0.5886344,9.044869,3.7184465,0.0,0.0,0.0
15946997602234,-0.65084773,9.064013,3.7040894,0.0,0.0,0.0
15946999981401,-0.70348984,9.059227,3.6897326,0.0,0.0,0.0
15947002360568,-0.7513463,9.059227,3.67059,0.0,0.0,0.0
15947004739734,-0.8039884,9.0544405,3.6658044,0.0,0.0,0.0
15947007118849,-0.8327023,9.097511,3.6658044,0.0,0.0,0.0
15947009498016,-0.8709874,9.116654,3.6753755,0.0,0.0,0.0
15947011877182,-0.8709874,9.135797,3.656233,0.0,0.0,0.0
15947014256349,-0.8566305,9.12144,3.641876,0.0,0.0,0.0
15947016635463,-0.81834537,9.135797,3.641876,0.0,0.0,0.0
15947019014630,-0.79920274,9.131011,3.6610186,0.0,0.0,0.0
15947021393797,-0.7752745,9.135797,3.67059,0.0,0.0,0.0
15947023772911,-0.74177504,9.12144,3.694518,0.0,0.0,0.0
15947026152078,-0.72741807,9.150154,3.694518,0.0,0.0,0.0
15947028531245,-0.6987042,9.131011,3.6897326,0.0,0.0,0.0
15947030910411,-0.6652047,9.12144,3.6753755,0.0,0.0,0.0
15947033289578,-0.6364908,9.116654,3.6801612,0.0,0.0,0.0
15947035668693,-0.6125626,9.131011,3.6849468,0.0,0.0,0.0
15947038047859,-0.60777694,9.12144,3.6993039,0.0,0.0,0.0
15947040427026,-0.5982057,9.150154,3.7040894,0.0,0.0,0.0
15947042806193,-0.59342,9.135797,3.7184465,0.0,0.0,0.0
15947045185307,-0.61734825,9.150154,3.7136607,0.0,0.0,0.0
15947047564474,-0.63170516,9.169296,3.723232,0.0,0.0,0.0
15947049943641,-0.67477596,9.140582,3.723232,0.0,0.0,0.0
15947052322807,-0.6795616,9.140582,3.737589,0.0,0.0,0.0
15947054701922,-0.6843473,9.15494,3.7710886,0.0,0.0,0.0
15947057081088,-0.7082755,9.135797,3.7806597,0.0,0.0,0.0
15947059460255,-0.6939186,9.15494,3.7758741,0.0,0.0,0.0
15947061839422,-0.6843473,9.159725,3.7854455,0.0,0.0,0.0
15947064218536,-0.6891329,9.140582,3.7806597,0.0,0.0,0.0
15947066597703,-0.66999036,9.145369,3.8093736,0.0,0.0,0.0
15947068976870,-0.6556334,9.116654,3.7998023,0.0,0.0,0.0
15947071356036,-0.6556334,9.083155,3.804588,0.0,0.0,0.0
15947073735151,-0.6125626,9.097511,3.8093736,0.0,0.0,0.0
15947076114318,-0.6029913,9.092726,3.8285162,0.0,0.0,0.0
15947078493484,-0.56470615,9.078369,3.8476589,0.0,0.0,0.0
