t_ns,qx,qy,qz,qw
15856311605353,0.37203902,0.3965028,0.58575773,0.60104936
15856316363738,0.37200105,0.39655238,0.5857309,0.6010663
15856321122124,0.37195298,0.39660442,0.5856959,0.60109586
15856325880457,0.37190917,0.396654,0.5856626,0.6011227
15856330638842,0.3718678,0.3966818,0.58564335,0.6011487
15856335397228,0.3718391,0.3967004,0.58563036,0.60116684
15856340155613,0.37182578,0.39671153,0.5856227,0.6011752
15856344913999,0.3717952,0.39671588,0.5856264,0.6011876
15856349672332,0.37175754,0.39671472,0.5856373,0.6012011
15856354430717,0.37170777,0.39671385,0.5856476,0.6012224
15856359189103,0.3716552,0.3967213,0.5856493,0.6012484
15856363947488,0.37160322,0.39672077,0.58564794,0.6012821
15856368705821,0.37155855,0.39671576,0.585642,0.60131884
15856373464259,0.37153572,0.39671502,0.58563185,0.60134333
15856378222592,0.37153175,0.3967089,0.58562523,0.60135627
15856382980978,0.3715206,0.3966998,0.5856211,0.6013732
15856387739363,0.3715014,0.39670062,0.5856138,0.6013916
15856392497749,0.37149063,0.39672574,0.58559364,0.60140127
15856397256134,0.3714716,0.3967777,0.5855573,0.6014142
15856402014467,0.37144294,0.39683932,0.585516,0.6014314
15856406772853,0.3714247,0.39690518,0.5854694,0.60144454
15856411531238,0.3714101,0.39698032,0.58542097,0.6014511
15856416289624,0.37139758,0.39704698,0.58537805,0.60145664
15856421048009,0.3713848,0.39710617,0.5853399,0.60146266
15856425806342,0.37136838,0.39715615,0.5853073,0.6014715
15856430564728,0.37134302,0.3971885,0.58528864,0.6014839
15856435323113,0.3713171,0.39720023,0.5852802,0.6015004
15856440081499,0.37129396,0.39719015,0.58528566,0.601516
15856444839884,0.37129024,0.3971659,0.5853009,0.6015194
15856449598217,0.3712887,0.39713487,0.58532065,0.6015217
15856454356603,0.37128845,0.39710754,0.5853419,0.6015192
15856459114988,0.3713016,0.39707646,0.585364,0.6015101
15856463873374,0.37130693,0.3970571,0.58538103,0.6015031
15856468631759,0.37130105,0.39704138,0.5853967,0.60150176
15856473390092,0.3712925,0.397038,0.58540297,0.6015032
15856478148478,0.37126935,0.39703798,0.5854033,0.6015171
15856482906863,0.3712363,0.39704922,0.5853941,0.6015392
15856487665249,0.3712196,0.39707923,0.5853703,0.60155267
15856492423634,0.37121361,0.3971324,0.58533144,0.60155916
15856497181915,0.3712095,0.39718452,0.58529335,0.6015643
15856501940353,0.37120298,0.39724132,0.58525014,0.601573
15856506698686,0.37120548,0.39730617,0.585205,0.60157245
15856511457124,0.3712212,0.39737543,0.5851594,0.6015613
15856516215509,0.37124372,0.39743686,0.5851238,0.6015415
15856520973842,0.37126264,0.39748913,0.5850944,0.60152394
15856525732228,0.3712758,0.3975259,0.5850732,0.6015121
15856530490613,0.37129807,0.39754048,0.58506835,0.6014935
15856535248999,0.37131706,0.39753938,0.58507353,0.60147744
15856540007384,0.3713248,0.39751804,0.58508956,0.6014711
15856544765717,0.371331,0.39748663,0.58511376,0.60146445
15856549524103,0.3713294,0.3974614,0.5851385,0.6014581
15856554282488,0.3713095,0.39743656,0.58516425,0.6014617
15856559040874,0.37125206,0.39740762,0.5851893,0.6014919
15856563799207,0.37116978,0.397395,0.5852008,0.60153997
15856568557592,0.37108216,0.39741105,0.5851935,0.6015904
15856573315978,0.37099847,0.3974418,0.58517265,0.601642
15856578074363,0.3709106,0.3974816,0.5851415,0.6017002
15856582832749,0.370836,0.39754224,0.5850948,0.6017515
15856587591082,0.37078142,0.39761645,0.5850407,0.60178876
15856592349467,0.37071782,0.39770353,0.58498025,0.60182905
15856597107801,0.37064016,0.3977993,0.5849177,0.6018744
15856601866238,0.37057418,0.39789718,0.58484817,0.6019179
15856606624624,0.3705085,0.39799199,0.5847783,0.6019637
15856611382957,0.37043104,0.39806297,0.5847149,0.6020259
15856616141342,0.37035468,0.3981054,0.5846659,0.6020925
15856620899728,0.37026605,0.39813405,0.5846316,0.6021612
15856625658113,0.37015504,0.39817354,0.584603,0.6022312
15856630416446,0.37004566,0.39825323,0.5845486,0.60229844
15856635174832,0.3699436,0.3983588,0.5844801,0.6023578
15856639933217,0.3698333,0.39846393,0.5844124,0.60242176
15856644691603,0.3697477,0.39857477,0.5843435,0.60246783
15856649449988,0.3696731,0.39869156,0.5842657,0.6025117
15856654208321,0.369573,0.39877263,0.58420974,0.6025738
15856658966707,0.36949039,0.39884084,0.58416265,0.60262495
15856663725092,0.36944848,0.39890817,0.5841178,0.6026495
15856668483478,0.3694161,0.39895025,0.58408964,0.6026689
15856673241863,0.36938462,0.39897943,0.58406967,0.60268825
15856678000196,0.36935872,0.39900604,0.58405143,0.60270405
15856682758582,0.36931795,0.3990242,0.58403814,0.60273
15856687516967,0.369264,0.39903036,0.58403176,0.602765
15856692275353,0.36920512,0.39903244,0.584028,0.60280347
15856697033686,0.3691633,0.39902884,0.5840285,0.602831
15856701792071,0.36914763,0.39902148,0.5840325,0.6028416
15856706550457,0.36912256,0.39900112,0.58404434,0.6028589
15856711308790,0.36909842,0.39900884,0.5840384,0.60287434
15856716067228,0.36905137,0.39909732,0.5840038,0.6028781
15856720825561,0.36893454,0.39923504,0.58394015,0.6029201
15856725583946,0.3687709,0.3994009,0.58385026,0.6029974
15856730342332,0.36861056,0.39960757,0.58371115,0.6030932
15856735100717,0.36846396,0.3997999,0.5835687,0.60319304
15856739859051,0.36833686,0.39994633,0.5834362,0.6033019
15856744617436,0.36828384,0.40004793,0.5833218,0.6033774
15856749375821,0.36831713,0.40006822,0.5832532,0.60341007
15856754134207,0.3684117,0.40000528,0.5832444,0.60340244
15856758892592,0.36855063,0.3998912,0.5832894,0.60334975
15856763650926,0.36872584,0.39976197,0.58337593,0.60324466
15856768409311,0.3688909,0.39963198,0.58349335,0.6031163
15856773167696,0.36900097,0.39950967,0.5836261,0.6030016
15856777926082,0.36907703,0.3994388,0.5837327,0.6028988
15856782684415,0.36913478,0.3993997,0.58381134,0.6028132
15856787442801,0.36917475,0.39934897,0.583882,0.6027539
15856792201186,0.36923084,0.3992948,0.583943,0.6026963
15856796959571,0.36931673,0.3992161,0.5840065,0.6026343
15856801717905,0.36942542,0.39910316,0.5840807,0.6025705
15856806476290,0.36953327,0.39897498,0.5841631,0.6025094
15856811234676,0.36965582,0.3988322,0.5842541,0.60244054
15856815993061,0.36983466,0.3987559,0.5843046,0.60233235
15856820751446,0.36995056,0.3986351,0.5843809,0.6022671
15856825509780,0.3699966,0.39848712,0.58448005,0.6022405
15856830268165,0.37009555,0.3984696,0.5844954,0.6021764
15856835026551,0.37019053,0.39852017,0.5844669,0.60211223
15856839784936,0.37018365,0.39852148,0.5844658,0.60211664
15856844543269,0.37017354,0.39854187,0.58445495,0.60212
15856849301655,0.37022966,0.39859813,0.58442146,0.60208064
15856854060040,0.37025523,0.39858988,0.5844283,0.60206366
15856858818426,0.37027612,0.3985375,0.58446777,0.60204726
15856863576759,0.3703377,0.39851326,0.5844998,0.60199434
15856868335144,0.3704286,0.39850882,0.58452755,0.6019144
15856873093530,0.37046254,0.39845335,0.58459306,0.6018666
15856877851915,0.37048107,0.3983757,0.58467466,0.6018273
15856882610249,0.37052488,0.39835957,0.5847204,0.60176665
15856887368634,0.37051427,0.3983171,0.5847736,0.6017495
15856892127019,0.37046903,0.3982194,0.58483434,0.6017831
15856896885405,0.37045503,0.39814836,0.5848758,0.6017983
15856901643790,0.37047815,0.39807197,0.5849132,0.6017983
15856906402124,0.37049296,0.39795265,0.58497214,0.6018109
15856911160509,0.37055004,0.39786196,0.58502346,0.6017858
15856915918894,0.37062413,0.3978281,0.585048,0.6017387
15856920677280,0.370662,0.39783886,0.58505946,0.601697
15856925435613,0.3706646,0.39789805,0.58504695,0.6016685
15856930193999,0.37065825,0.39802545,0.58499986,0.60163397
15856934952384,0.3705658,0.39812598,0.5849695,0.6016538
15856939710769,0.3703841,0.39814964,0.58497643,0.60174334
15856944469155,0.3702135,0.39817485,0.58497655,0.60183156
15856949227488,0.3700996,0.3982111,0.58497196,0.601882
15856953985874,0.36995202,0.3981464,0.58502406,0.60196495
15856958744259,0.3697765,0.39797336,0.58513594,0.6020785
15856963502592,0.36968127,0.39780432,0.58525425,0.6021337
15856968260978,0.369624,0.39765534,0.5853795,0.6021455
15856973019363,0.3694908,0.3974579,0.5855443,0.6021974
15856977777749,0.36934438,0.39730397,0.58568573,0.6022513
15856982536082,0.36921412,0.3971976,0.58579725,0.60229284
15856987294467,0.3690495,0.39705595,0.5859177,0.60236996
15856992052853,0.368908,0.39690647,0.58602685,0.60244894
15856996811238,0.36885715,0.39678863,0.586108,0.6024787
15857001569571,0.3688249,0.3966306,0.58621836,0.6024952
15857006327957,0.36881286,0.3964643,0.58633167,0.6025017
15857011086342,0.36884493,0.3963604,0.5864131,0.6024712
15857015844728,0.368894,0.39629272,0.58647776,0.6024228
15857020603061,0.3688892,0.39619565,0.58655894,0.60241044
15857025361446,0.36886606,0.3960912,0.5866306,0.6024236
15857030119832,0.36894605,0.39609197,0.586638,0.60236686
15857034878217,0.36903715,0.3960916,0.58664644,0.602303
15857039636603,0.36906916,0.3959943,0.5867033,0.602292
15857044394936,0.36917982,0.3959244,0.58673286,0.60224146
15857049153321,0.36941335,0.39594847,0.5867104,0.60210425
15857053911707,0.36960652,0.39588687,0.5867466,0.60199094
15857058670040,0.36976635,0.39574558,0.58683014,0.6019042
15857063428426,0.37005007,0.39574578,0.58684134,0.6017188
15857068186811,0.37029025,0.39572147,0.5868661,0.6015629
15857072945196,0.37046182,0.39567494,0.58690214,0.60145265
