t_ns,qx,qy,qz,qw,heading_acc_rad
20775835061007,0.5355913,-0.008604177,-0.08138891,0.8405021,-1.0
20775839818976,0.5355564,-0.00866085,-0.08140121,0.8405226,-1.0
20775844576892,0.53553516,-0.008692454,-0.08140341,0.8405355,-1.0
20775849334861,0.5355294,-0.008689464,-0.08139796,0.8405398,-1.0
20775854092830,0.5355463,-0.008640994,-0.08138492,0.84053075,-1.0
20775858850747,0.53557575,-0.008514876,-0.081363894,0.8405153,-1.0
20775863608715,0.53562033,-0.008321335,-0.081336185,0.84049153,-1.0
20775868366684,0.53566706,-0.008084483,-0.08129972,0.8404676,-1.0
20775873124653,0.535704,-0.007836545,-0.0812595,0.8404503,-1.0
20775877882570,0.53572565,-0.0076296474,-0.08121732,0.8404425,-1.0
20775882640538,0.53573287,-0.0075058118,-0.08117505,0.8404431,-1.0
20775887398507,0.53574735,-0.00747854,-0.08113516,0.84043795,-1.0
20775892156424,0.5357796,-0.0075574666,-0.081104085,0.84041965,-1.0
20775896914392,0.5358081,-0.0076819146,-0.08107744,0.84040296,-1.0
20775901672361,0.5358389,-0.007824123,-0.08104961,0.84038466,-1.0
20775906430278,0.5358698,-0.007939505,-0.08102508,0.8403663,-1.0
20775911188247,0.5358894,-0.008020354,-0.08099555,0.8403558,-1.0
20775915946215,0.5358955,-0.008065654,-0.08096611,0.8403543,-1.0
20775920704184,0.53588617,-0.00810612,-0.080938354,0.8403626,-1.0
20775925462049,0.5358484,-0.008182209,-0.08091804,0.8403879,-1.0
20775930220070,0.53579265,-0.008322362,-0.08090562,0.8404233,-1.0
20775934978038,0.5357281,-0.008509816,-0.08089506,0.8404636,-1.0
20775939735955,0.5356833,-0.008731786,-0.080886565,0.84049064,-1.0
20775944493924,0.5356628,-0.008959331,-0.08087373,0.84050256,-1.0
20775949251892,0.53566223,-0.009155446,-0.08085332,0.8405028,-1.0
20775954009809,0.53568006,-0.009257385,-0.08082539,0.84049296,-1.0
20775958767778,0.53570837,-0.009232993,-0.080780305,0.8404795,-1.0
20775963525747,0.5357599,-0.009075921,-0.08072282,0.8404539,-1.0
20775968283663,0.53582615,-0.008839149,-0.080658466,0.84042037,-1.0
20775973041632,0.5358881,-0.008579906,-0.08058892,0.84039026,-1.0
20775977799601,0.53593934,-0.008349975,-0.08052519,0.840366,-1.0
20775982557517,0.5359904,-0.0082199015,-0.08046782,0.8403402,-1.0
20775987315486,0.53603786,-0.0082054045,-0.080420904,0.84031457,-1.0
20775992073455,0.53608614,-0.008308598,-0.0803851,0.84028614,-1.0
20775996831424,0.53613925,-0.008499754,-0.08036214,0.8402526,-1.0
20776001589340,0.5362023,-0.008692103,-0.080336645,0.84021276,-1.0
20776006347309,0.5362521,-0.0088383565,-0.080310635,0.840182,-1.0
20776011105278,0.5363033,-0.008887839,-0.0802754,0.84015214,-1.0
20776015863195,0.5363626,-0.008832336,-0.080228776,0.84011936,-1.0
20776020621163,0.5364194,-0.00868607,-0.08017177,0.84009004,-1.0
20776025379132,0.53645164,-0.008481089,-0.08010544,0.8400779,-1.0
20776030137049,0.5364685,-0.008286232,-0.080039196,0.8400754,-1.0
20776034895017,0.53647596,-0.008158205,-0.079978116,0.8400777,-1.0
20776039652986,0.5364628,-0.008157081,-0.079927236,0.84009093,-1.0
20776044410903,0.53643465,-0.0082821585,-0.07988315,0.84011185,-1.0
20776049168872,0.5364126,-0.008517652,-0.07984661,0.84012705,-1.0
20776053926840,0.53640336,-0.00880849,-0.079813875,0.8401331,-1.0
20776058684809,0.53641355,-0.009102717,-0.07977915,0.84012675,-1.0
20776063442726,0.5364326,-0.009325737,-0.07973151,0.8401166,-1.0
20776068200695,0.2477866,-0.47592366,-0.77624345,0.33097526,-1.0
20776072958663,0.24788496,-0.4759508,-0.77614564,0.33109185,-1.0
20776077716580,0.24807315,-0.475923,-0.77604717,0.33122167,-1.0
20776082474549,0.24828309,-0.4758629,-0.7759665,0.33133966,-1.0
20776087232517,0.24844198,-0.47581166,-0.7759023,0.33144456,-1.0
20776091990434,0.24848418,-0.47580203,-0.77585834,0.33152962,-1.0
20776096748403,0.24835038,-0.4758447,-0.77585906,0.33156696,-1.0
20776101506372,0.24802895,-0.47596398,-0.7758913,0.3315609,-1.0
20776106264288,0.2475715,-0.47614276,-0.77594507,0.33152026,-1.0
20776111022257,0.24702428,-0.47635648,-0.776018,0.33145067,-1.0
20776115780226,0.24646984,-0.4765691,-0.7761003,0.33136514,-1.0
20776120538195,0.2459906,-0.47676927,-0.7761613,0.33129042,-1.0
20776125296111,0.24567343,-0.47690797,-0.77619755,0.33124116,-1.0
20776130054080,0.24551502,-0.47696343,-0.7762263,0.33121136,-1.0
