t_s,type,text
175.010,ALIGN,"psi=88.79 (sway) pitch=1.04 roll=67.14 blocks=15 moved_at=NaN sway_ratio=11.0"
181.340,ALIGN,"psi=89.13 (sway) pitch=1.04 roll=67.14 blocks=15 moved_at=NaN sway_ratio=10.3"
185.010,ALIGN,"psi=89.13 (sway) pitch=1.04 roll=67.19 blocks=16 moved_at=NaN sway_ratio=10.3"
188.347,REVEAL,"off_by_m=18.2 distance_m=574 duration_s=122 max_err_m=19.5 sim=true armed=true"
188.400,MODE,"INERTIAL->RECOVERING"
188.400,BAND_EXIT,""
191.340,ALIGN,"psi=89.25 (sway) pitch=1.04 roll=67.19 blocks=16 moved_at=NaN sway_ratio=10.4"
191.400,MODE,"RECOVERING->GNSS_INS"
193.400,ARMED,""
195.010,ALIGN,"psi=89.25 (sway) pitch=1.04 roll=67.20 blocks=17 moved_at=NaN sway_ratio=10.4"
201.340,ALIGN,"psi=89.35 (sway) pitch=1.04 roll=67.20 blocks=17 moved_at=NaN sway_ratio=10.0"
205.010,ALIGN,"psi=89.35 (sway) pitch=1.11 roll=67.18 blocks=18 moved_at=NaN sway_ratio=10.0"
211.340,ALIGN,"psi=89.26 (sway) pitch=1.11 roll=67.18 blocks=18 moved_at=NaN sway_ratio=9.9"
215.010,ALIGN,"psi=89.26 (sway) pitch=1.05 roll=67.10 blocks=19 moved_at=NaN sway_ratio=9.9"
221.340,ALIGN,"psi=89.23 (sway) pitch=1.05 roll=67.10 blocks=19 moved_at=NaN sway_ratio=9.8"
225.010,ALIGN,"psi=89.23 (sway) pitch=1.04 roll=66.88 blocks=20 moved_at=NaN sway_ratio=9.8"
227.550,PHASE,"STOP_STAND"
242.550,PHASE,"DONE"
