t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed_raw,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
5.9900,CALIB,0.0836,-0.0141,0.0000,116.5001,287.0010,170.5009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0836,-0.0141,0.0000,0.0836,-0.0141,0.0000,0.0836,-0.0141,0.0000,0.0000
6.0900,CALIB,0.0816,-0.0124,0.0000,116.5001,287.0081,170.5080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0816,-0.0124,0.0000,0.0816,-0.0124,0.0000,0.0816,-0.0124,0.0000,0.0000
6.1900,CALIB,0.0796,-0.0108,0.0000,116.5001,287.0085,170.5084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0796,-0.0108,0.0000,0.0796,-0.0108,0.0000,0.0796,-0.0108,0.0000,0.0000
6.2900,CALIB,0.0776,-0.0090,0.0000,116.5001,287.0077,170.5076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0776,-0.0090,0.0000,0.0776,-0.0090,0.0000,0.0776,-0.0090,0.0000,0.0000
6.3900,CALIB,0.0756,-0.0072,0.0000,116.5001,287.0052,170.5052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0756,-0.0072,0.0000,0.0756,-0.0072,0.0000,0.0756,-0.0072,0.0000,0.0000
6.4900,CALIB,0.0735,-0.0054,0.0000,116.5001,287.0026,170.5026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0735,-0.0054,0.0000,0.0735,-0.0054,0.0000,0.0735,-0.0054,0.0000,0.0000
6.5900,CALIB,0.0714,-0.0035,0.0000,116.5001,286.9981,170.4980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0714,-0.0035,0.0000,0.0714,-0.0035,0.0000,0.0714,-0.0035,0.0000,0.0000
6.6900,CALIB,0.0693,-0.0016,0.0000,116.5001,287.0004,170.5003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0693,-0.0016,0.0000,0.0693,-0.0016,0.0000,0.0693,-0.0016,0.0000,0.0000
6.7900,CALIB,0.0672,0.0006,0.0000,116.5001,287.0025,170.5024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0672,0.0006,0.0000,0.0672,0.0006,0.0000,0.0672,0.0006,0.0000,0.0000
6.8900,CALIB,0.0651,0.0031,0.0000,116.5001,287.0032,170.5031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0651,0.0031,0.0000,0.0651,0.0031,0.0000,0.0651,0.0031,0.0000,0.0000
6.9900,CALIB,0.0631,0.0056,0.0000,116.5001,287.0022,170.5021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0631,0.0056,0.0000,0.0631,0.0056,0.0000,0.0631,0.0056,0.0000,0.0000
