t_ns,qx,qy,qz,qw,heading_acc_rad
28041545034123,0.19967291,-0.20801583,-0.8184985,0.49691078,-1.0
28041549792143,0.19951406,-0.20821333,-0.81844074,0.49698704,-1.0
28041554550164,0.19887772,-0.20888007,-0.81954235,0.49514353,-1.0
28041559308185,0.19873388,-0.20908421,-0.8194771,0.49522316,-1.0
28041564066206,0.19816147,-0.20969264,-0.8204086,0.4936505,-1.0
28041568824175,0.19802146,-0.20991053,-0.8203404,0.49372733,-1.0
28041573582300,0.19736952,-0.21063946,-0.8214951,0.4917541,-1.0
28041578340321,0.19726638,-0.21087933,-0.82141054,0.49183393,-1.0
28041583098341,0.19719747,-0.21113975,-0.8213049,0.4919262,-1.0
28041587856362,0.19714707,-0.2114138,-0.82118505,0.4920288,-1.0
28041592614383,0.19713683,-0.21169628,-0.82104254,0.4921493,-1.0
28041597372404,0.19714175,-0.2120024,-0.82088107,0.4922849,-1.0
28041602130425,0.19715057,-0.21231517,-0.8207118,0.49242875,-1.0
28041606888446,0.19714612,-0.2126426,-0.8205367,0.49258107,-1.0
28041611646466,0.19715267,-0.21296673,-0.8203526,0.49274495,-1.0
28041616404487,0.19717588,-0.21329273,-0.8201511,0.4929301,-1.0
28041621162508,0.19720335,-0.21360046,-0.8199498,0.49312067,-1.0
28041625920529,0.19724794,-0.21388899,-0.81974256,0.4933223,-1.0
28041630678550,0.19729833,-0.21416223,-0.8195327,0.4935322,-1.0
28041635436571,0.19736385,-0.21439704,-0.81932616,0.493747,-1.0
28041640194591,0.19743705,-0.21461286,-0.819122,0.4939626,-1.0
28041644952612,0.19750588,-0.21480294,-0.81893694,0.49415934,-1.0
28041649710633,0.19756147,-0.21497466,-0.81876874,0.4943411,-1.0
28041654468654,0.19763613,-0.21511737,-0.8186105,0.4945112,-1.0
28041659226675,0.19770344,-0.21525462,-0.8184621,0.49467027,-1.0
28041663984696,0.19776465,-0.21538681,-0.8183237,0.4948172,-1.0
