t_ns,mx,my,mz,accuracy
28043421423862,-30.675001,-27.956251,-31.29375,3
28043431423862,-29.98125,-27.225,-29.868752,3
28043441423862,-28.95,-27.975,-31.35,3
28043451423862,-29.831251,-28.087502,-28.781252,3
28043461423862,-29.531252,-29.79375,-27.843752,3
28043471423862,-30.018751,-29.23125,-29.04375,3
28043481423862,-29.718752,-29.456251,-30.150002,3
28043491423862,-30.150002,-30.018751,-29.00625,3
28043501423862,-27.112501,-28.987501,-31.087502,3
28043511423862,-27.73125,-29.56875,-29.60625,3
28043521423862,-26.718752,-30.300001,-30.618752,3
28043531423862,-26.38125,-30.768751,-28.968752,3
28043541423862,-26.625002,-32.30625,-29.6625,3
28043551423862,-25.931252,-30.206251,-30.73125,3
28043561423862,-26.7,-29.925001,-29.718752,3
28043571423862,-26.062502,-30.712502,-29.306252,3
28043581423862,-27.862501,-30.45,-29.868752,3
28043591423862,-28.556252,-31.800001,-29.906252,3
28043601423862,-27.300001,-32.775,-30.018751,3
28043611423862,-27.675001,-29.306252,-29.925001,3
28043621423862,-28.687502,-32.456253,-29.1,3
28043631423862,-29.268751,-30.018751,-27.2625,3
28043641423862,-28.518751,-31.800001,-30.975,3
28043651423862,-27.69375,-30.806252,-27.581251,3
28043661423862,-28.575,-30.806252,-29.00625,3
28043671423862,-26.98125,-30.712502,-29.812502,3
28043681423862,-29.60625,-32.0625,-27.468752,3
28043691423862,-28.368752,-30.656252,-29.962502,3
28043701423862,-28.5375,-32.30625,-27.900002,3
28043711423862,-30.243752,-32.025,-26.775002,3
28043721423862,-31.462502,-32.8125,-27.075,3
28043731423862,-30.0375,-32.49375,-26.025002,3
28043741423862,-29.531252,-32.737503,-25.81875,3
28043751423862,-27.6,-31.48125,-26.400002,3
28043761423862,-29.625002,-32.643753,-27.206251,3
28043771423862,-28.95,-32.04375,-25.9125,3
28043781423862,-30.000002,-33.1875,-28.218752,3
28043791423862,-26.081251,-31.275002,-28.743752,3
28043801423862,-29.268751,-32.5875,-28.312502,3
28043811423862,-26.962502,-31.9125,-28.612501,3
28043821423862,-26.1375,-30.7875,-29.212502,3
28043831423862,-29.6625,-30.88125,-26.79375,3
28043841423862,-29.400002,-31.725,-29.400002,3
28043851423862,-28.125002,-30.675001,-29.8875,3
28043861423862,-28.06875,-30.675001,-31.275002,3
28043871423862,-29.5125,-29.98125,-26.531252,3
28043881423862,-30.35625,-30.093752,-25.35,3
28043891423862,-32.287502,-30.862501,-26.94375,3
28043901423862,-31.706251,-31.650002,-25.44375,3
28043911423862,-31.612501,-30.13125,-25.35,3
28043921423862,-31.29375,-29.831251,-24.018751,3
28043931423862,-30.187502,-29.681252,-23.7,3
28043941423862,-34.725002,-31.556252,-22.95,3
28043951423862,-34.66875,-30.0375,-21.45,3
28043961423862,-34.800003,-29.925001,-21.900002,3
28043971423862,-35.8125,-30.187502,-20.85,3
28043981423862,-35.86875,-29.19375,-18.581251,3
28043991423862,-37.93125,-29.962502,-16.78125,3
28044001423862,-38.568752,-28.9125,-15.95625,3
28044011423862,-36.91875,-28.706251,-17.23125,3
28044021423862,-36.99375,-27.956251,-16.331251,3
28044031423862,-39.1875,-27.993752,-15.76875,3
28044041423862,-40.612503,-28.050001,-15.750001,3
28044051423862,-39.675003,-27.056252,-15.1125,3
28044061423862,-39.09375,-27.093752,-14.418751,3
28044071423862,-41.0625,-27.618752,-13.70625,3
28044081423862,-41.381252,-26.531252,-13.087501,3
28044091423862,-40.425003,-26.5125,-13.35,3
28044101423862,-40.818752,-25.81875,-12.4125,3
28044111423862,-41.8125,-26.081251,-11.6625,3
28044121423862,-40.66875,-26.175001,-8.887501,3
28044131423862,-43.612503,-27.825,-8.175,3
28044141423862,-42.037502,-25.968752,-9.0375,3
28044151423862,-40.050003,-26.456251,-10.481251,3
28044161423862,-41.2125,-30.393751,-8.85,3
28044171423862,-40.93125,-26.831251,-8.981251,3
28044181423862,-37.706253,-27.656252,-11.8125,3
28044191423862,-39.45,-28.893751,-12.7875,3
28044201423862,-39.881252,-28.706251,-12.431251,3
28044211423862,-39.73125,-28.425001,-11.231251,3
28044221423862,-37.8375,-26.79375,-13.200001,3
28044231423862,-38.0625,-28.968752,-12.337501,3
28044241423862,-37.875,-28.06875,-13.762501,3
28044251423862,-35.4,-27.35625,-14.55,3
28044261423862,-38.025,-27.581251,-16.21875,3
28044271423862,-36.693752,-30.4125,-14.306251,3
28044281423862,-37.725002,-28.556252,-15.76875,3
28044291423862,-36.037502,-28.706251,-15.806251,3
28044301423862,-37.96875,-30.712502,-14.75625,3
28044311423862,-35.8875,-30.300001,-14.400001,3
28044321423862,-36.65625,-30.4125,-15.075001,3
28044331423862,-36.956253,-30.825,-13.031251,3
28044341423862,-37.55625,-30.900002,-14.025001,3
28044351423862,-37.48125,-28.7625,-14.718751,3
28044361423862,-40.125,-30.50625,-14.512501,3
28044371423862,-40.3125,-30.150002,-16.331251,3
28044381423862,-40.3125,-30.150002,-16.331251,3
28044391423862,-37.068752,-28.837502,-18.6,3
28044401423862,-39.91875,-29.1,-18.09375,3
28044411423862,-39.0,-27.093752,-17.19375,3
28044421423862,-41.4375,-24.54375,-19.743752,3
28044431423862,-41.456253,-24.0375,-21.75,3
28044441423862,-43.29375,-23.6625,-20.775002,3
28044451423862,-44.831253,-22.612501,-20.475,3
28044461423862,-44.23125,-22.650002,-19.931252,3
28044471423862,-46.3875,-24.075,-18.243752,3
28044481423862,-43.95,-22.612501,-18.88125,3
28044491423862,-44.7,-23.34375,-18.768751,3
28044501423862,-43.0125,-21.6,-18.712502,3
28044511423862,-42.99375,-24.112501,-18.0375,3
28044521423862,-45.46875,-23.56875,-15.450001,3
28044531423862,-45.881252,-23.868752,-13.70625,3
28044541423862,-44.568752,-22.81875,-15.281251,3
28044551423862,-45.24375,-25.66875,-14.19375,3
28044561423862,-42.84375,-24.712502,-11.118751,3
28044571423862,-43.987503,-24.112501,-11.475,3
28044581423862,-43.537502,-22.1625,-10.35,3
28044591423862,-43.48125,-22.1625,-12.20625,3
28044601423862,-44.15625,-20.868752,-13.387501,3
28044611423862,-43.29375,-20.25,-13.200001,3
28044621423862,-43.125,-20.362501,-13.668751,3
28044631423862,-41.8125,-18.91875,-13.25625,3
28044641423862,-41.831253,-20.0625,-13.687501,3
28044651423862,-41.5875,-19.518751,-13.575001,3
28044661423862,-41.831253,-21.31875,-15.637501,3
28044671423862,-39.412502,-19.85625,-15.20625,3
28044681423862,-39.300003,-18.206251,-15.1125,3
28044691423862,-39.61875,-18.0,-14.00625,3
28044701423862,-41.15625,-16.575,-12.337501,3
28044711423862,-40.912502,-16.66875,-14.962501,3
28044721423862,-40.48125,-14.981251,-14.906251,3
28044731423862,-39.54375,-15.468751,-13.1625,3
28044741423862,-39.862503,-14.025001,-15.01875,3
28044751423862,-38.79375,-13.125001,-14.250001,3
28044761423862,-39.112503,-13.293751,-14.812501,3
28044771423862,-38.71875,-12.225,-12.13125,3
28044781423862,-38.53125,-11.700001,-15.093751,3
28044791423862,-36.600002,-12.562501,-12.075001,3
28044801423862,-39.825,-12.375001,-12.76875,3
28044811423862,-37.03125,-11.625,-13.275001,3
28044821423862,-35.8125,-11.83125,-13.25625,3
28044831423862,-36.6375,-11.8125,-12.243751,3
28044841423862,-37.518753,-13.06875,-15.01875,3
28044851423862,-37.0875,-11.137501,-13.743751,3
28044861423862,-34.631252,-11.0625,-17.1,3
28044871423862,-34.85625,-10.462501,-16.800001,3
28044881423862,-35.90625,-11.981251,-16.3125,3
28044891423862,-33.6375,-11.418751,-15.825001,3
28044901423862,-35.925003,-11.981251,-15.543751,3
28044911423862,-33.84375,-11.212501,-18.2625,3
28044921423862,-34.48125,-13.05,-17.53125,3
28044931423862,-34.2,-12.50625,-18.65625,3
28044941423862,-33.693752,-12.31875,-18.5625,3
28044951423862,-35.193752,-13.89375,-19.10625,3
28044961423862,-35.5875,-16.21875,-18.69375,3
28044971423862,-33.7125,-16.706251,-16.743752,3
28044981423862,-32.53125,-14.793751,-19.237501,3
28044991423862,-34.425003,-15.543751,-17.60625,3
28045001423862,-32.8875,-15.843751,-18.712502,3
28045011423862,-33.3375,-16.9125,-19.85625,3
28045021423862,-32.4375,-17.306252,-20.400002,3
28045031423862,-32.23125,-16.7625,-19.518751,3
28045041423862,-31.331251,-15.656251,-22.125,3
28045051423862,-29.156252,-16.743752,-23.118752,3
28045061423862,-28.275002,-15.731251,-20.79375,3
28045071423862,-25.987501,-15.431251,-22.9125,3
28045081423862,-26.79375,-16.800001,-24.31875,3
28045091423862,-28.3875,-16.63125,-22.143751,3
28045101423862,-25.63125,-16.3875,-24.16875,3
28045111423862,-24.993752,-16.44375,-24.69375,3
28045121423862,-25.593752,-16.3875,-25.237501,3
28045131423862,-24.862501,-17.2875,-24.075,3
28045141423862,-26.38125,-17.118752,-24.056252,3
28045151423862,-24.581251,-15.750001,-24.768751,3
28045161423862,-24.768751,-17.79375,-24.525002,3
28045171423862,-26.831251,-14.793751,-22.21875,3
28045181423862,-26.56875,-15.637501,-24.843752,3
28045191423862,-24.956251,-14.418751,-25.218752,3
28045201423862,-25.81875,-15.0375,-26.175001,3
28045211423862,-27.393751,-16.368752,-22.575,3
28045221423862,-25.518751,-14.7375,-24.075,3
28045231423862,-24.712502,-14.38125,-23.400002,3
28045241423862,-27.562502,-14.887501,-23.98125,3
28045251423862,-25.706251,-13.63125,-22.237501,3
28045261423862,-28.0125,-13.44375,-22.125,3
28045271423862,-27.581251,-13.89375,-23.38125,3
28045281423862,-26.1375,-12.69375,-23.1375,3
28045291423862,-28.63125,-12.656251,-22.837502,3
28045301423862,-26.737501,-13.406251,-22.893751,3
28045311423862,-27.54375,-12.50625,-22.2,3
