t_s,ax,ay,az,gx,gy,gz,x_m,y_m,lat,lon,speed_mps,bearing_deg,gnss_age_s,state
1.200000,-0.818982,8.892917,4.170563,0.002469,-0.009995,0.028383,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.210000,-0.782896,8.837074,4.114391,0.002353,-0.023423,0.032857,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.220000,-0.636140,8.760433,4.147236,-0.000326,-0.031149,0.031144,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.230000,-0.558420,8.758261,4.272413,-0.001078,-0.024213,0.024237,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.240000,-0.629684,8.801226,4.274690,0.001022,-0.006784,0.016897,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.250000,-0.874744,8.892524,4.215486,0.001420,0.002095,0.011320,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.260000,-1.154650,8.962238,4.215200,-0.000630,-0.009954,0.013113,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.270000,-1.220849,8.963244,4.294029,-0.002267,-0.033824,0.022318,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.280000,-1.085165,8.897022,4.435565,-0.000478,-0.049407,0.031591,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.290000,-0.892869,8.810433,4.446192,0.002431,-0.043800,0.034600,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.300000,-0.833834,8.787548,4.374696,0.004920,-0.020810,0.028028,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.310000,-0.994169,8.848036,4.210626,0.006703,-0.005424,0.021983,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.320000,-1.172060,8.906869,4.046421,0.001817,-0.016216,0.031996,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.330000,-1.102901,8.842104,4.265614,-0.002385,-0.034317,0.048550,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.340000,-0.843270,8.891073,4.380116,0.004954,-0.041084,0.050546,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.350000,-0.608325,8.960730,4.157508,0.002588,-0.040205,0.042866,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.360000,-0.471383,8.899542,4.392374,-0.000997,-0.028925,0.031561,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.370000,-0.550952,8.890523,4.468324,0.003439,-0.009581,0.016685,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.380000,-0.849195,8.859031,4.273155,0.007413,-0.002330,0.014986,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.390000,-1.059443,8.844308,4.031878,0.004363,-0.017076,0.026438,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.400000,-1.055107,8.856949,3.937003,-0.000206,-0.025331,0.032220,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.410000,-1.006862,8.847928,4.100821,-0.002826,-0.022096,0.031613,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.420000,-0.973386,8.845622,4.287512,-0.003596,-0.023430,0.034602,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.430000,-0.900418,8.809955,4.495613,-0.000472,-0.028337,0.042710,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.440000,-0.781118,8.766809,4.444391,0.003289,-0.028653,0.045666,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.450000,-0.749328,8.775121,4.268755,0.004768,-0.013338,0.036527,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.460000,-0.921331,8.855915,4.200874,0.002583,0.001446,0.030682,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.470000,-1.120281,9.017633,4.310298,0.002358,-0.004211,0.040075,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.480000,-1.047668,9.240668,3.973011,0.006149,-0.034184,0.055654,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.490000,-0.630860,8.962389,3.280951,-0.012512,-0.054854,0.059553,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.500000,-0.296587,8.695315,3.987313,-0.022866,-0.012188,0.034214,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.510000,-0.548015,8.805955,4.572761,-0.013649,0.036850,0.010529,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.520000,-1.102681,8.439278,4.465065,-0.007460,0.065716,0.013806,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.530000,-1.500752,8.962996,3.676275,-0.007643,0.034016,0.024598,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.540000,-1.317970,9.477681,4.045072,-0.034019,-0.088656,0.059938,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.550000,-0.160763,8.798455,6.014805,-0.011821,-0.137040,0.089512,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.560000,0.974597,8.787731,4.570774,0.018404,-0.061072,0.045278,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.570000,0.476876,8.750113,3.896896,0.005179,0.092806,-0.028589,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.580000,-1.228159,8.509769,4.986696,-0.000027,0.173680,-0.051684,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.590000,-2.788501,8.804385,5.087368,0.020789,0.139642,-0.016865,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,0.001468,CALIB
1.600000,-3.338762,9.297353,4.593503,0.024432,-0.005340,0.072481,0.187593,-0.474602,28.52155376,77.57159280,0.000000,,0.011468,CALIB
1.610000,-2.305773,8.975107,4.529894,0.022344,-0.160613,0.162428,0.189059,-0.471612,28.52155379,77.57159281,0.000000,,0.021468,CALIB
1.620000,-0.564193,8.491927,4.133928,0.018405,-0.148374,0.162875,0.190524,-0.468628,28.52155381,77.57159283,0.000000,,0.031468,CALIB
1.630000,0.266941,8.523834,3.512562,0.019730,-0.032795,0.092205,0.191987,-0.465650,28.52155384,77.57159284,0.000000,,0.041468,CALIB
1.640000,0.085031,8.785019,3.427062,0.013203,-0.009186,0.046302,0.193447,-0.462679,28.52155387,77.57159286,0.000000,,0.051468,CALIB
1.650000,0.147675,8.980930,3.391434,-0.000395,-0.109702,0.061519,0.194904,-0.459716,28.52155389,77.57159287,0.000000,,0.061468,CALIB
1.660000,1.162198,9.037169,3.603879,-0.010769,-0.185589,0.078184,0.196358,-0.456759,28.52155392,77.57159289,0.000000,,0.071468,CALIB
1.670000,2.094847,9.082127,3.785673,-0.013561,-0.098851,0.029654,0.197809,-0.453809,28.52155395,77.57159290,0.000000,,0.081468,CALIB
1.680000,1.244363,8.919047,3.892610,-0.016624,0.086404,-0.056986,0.199255,-0.450866,28.52155397,77.57159292,0.000000,,0.091468,CALIB
1.690000,-0.937406,8.652246,4.461180,-0.018470,0.163324,-0.088872,0.200698,-0.447930,28.52155400,77.57159293,0.000000,,0.101468,CALIB
1.700000,-2.443864,8.745970,5.207964,-0.013847,0.034697,-0.025732,0.202136,-0.445002,28.52155403,77.57159295,0.000000,,0.111468,CALIB
1.710000,-2.275996,8.799774,5.670220,0.000391,-0.114621,0.055111,0.203570,-0.442081,28.52155405,77.57159296,0.000000,,0.121468,CALIB
1.720000,-1.197170,8.724139,5.256318,0.017558,-0.135022,0.072177,0.204998,-0.439168,28.52155408,77.57159298,0.000000,,0.131468,CALIB
1.730000,-0.413654,8.829032,4.157471,0.024059,-0.058281,0.037842,0.206421,-0.436262,28.52155411,77.57159299,0.000000,,0.141468,CALIB
1.740000,-0.623712,9.102981,3.580473,0.017167,0.074257,-0.020381,0.207838,-0.433364,28.52155413,77.57159300,0.000000,,0.151468,CALIB
1.750000,-1.756120,9.249817,3.750497,0.007079,0.107098,-0.027746,0.209249,-0.430474,28.52155416,77.57159302,0.000000,,0.161468,CALIB
1.760000,-2.265398,9.096871,4.058443,0.000858,-0.011834,0.041867,0.210654,-0.427591,28.52155418,77.57159303,0.000000,,0.171468,CALIB
1.770000,-1.381386,8.828342,4.037226,-0.002499,-0.109050,0.095266,0.212052,-0.424717,28.52155421,77.57159305,0.000000,,0.181468,CALIB
1.780000,-0.212303,8.694122,3.962770,-0.005323,-0.083733,0.088447,0.213443,-0.421850,28.52155423,77.57159306,0.000000,,0.191468,CALIB
1.790000,0.252002,8.682148,4.201790,-0.006503,0.011021,0.051388,0.214826,-0.418992,28.52155426,77.57159308,0.000000,,0.201468,CALIB
1.800000,-0.313024,8.613426,4.539784,-0.000957,0.092754,0.013061,0.216202,-0.416142,28.52155429,77.57159309,0.000000,,0.211468,CALIB
1.810000,-1.265251,8.683775,4.490652,0.005377,0.054265,0.024567,0.217570,-0.413300,28.52155431,77.57159310,0.000000,,0.221468,CALIB
1.820000,-1.305166,8.872980,4.267098,0.005605,-0.071643,0.075734,0.218929,-0.410467,28.52155434,77.57159312,0.000000,,0.231468,CALIB
1.830000,-0.308331,8.903617,4.201341,0.003254,-0.139982,0.096022,0.220280,-0.407643,28.52155436,77.57159313,0.000000,,0.241468,CALIB
1.840000,0.704820,8.807866,4.337453,0.003212,-0.090192,0.065524,0.221622,-0.404826,28.52155439,77.57159315,0.000000,,0.251468,CALIB
1.850000,0.685829,8.730022,4.400936,0.008297,0.029308,0.010015,0.222954,-0.402019,28.52155441,77.57159316,0.000000,,0.261468,CALIB
1.860000,-0.459609,8.786696,4.285084,0.011752,0.085162,-0.013750,0.224277,-0.399221,28.52155444,77.57159317,0.000000,,0.271468,CALIB
1.870000,-1.311349,9.023897,4.098126,0.008905,0.008012,0.025450,0.225590,-0.396431,28.52155446,77.57159319,0.000000,,0.281468,CALIB
1.880000,-1.025324,9.177930,4.059750,0.003808,-0.057982,0.055011,0.226892,-0.393650,28.52155449,77.57159320,0.000000,,0.291468,CALIB
