t_ns,qx,qy,qz,qw
32582225651351,0.37535673,0.41236782,0.5753529,0.5983553
32582230409060,0.375718,0.41195765,0.5754865,0.59828275
32582235166716,0.37612733,0.41156423,0.57570684,0.5980842
32582239924424,0.37642503,0.41120976,0.576003,0.5978556
32582244682080,0.37654856,0.4110238,0.57628965,0.5976293
32582249439789,0.37649664,0.4110931,0.5764704,0.5974401
32582254197445,0.37623233,0.4113483,0.57653713,0.5973665
32582258955153,0.37579766,0.4117145,0.576487,0.59743625
32582263712810,0.37533572,0.41213843,0.5763116,0.5976035
32582268470518,0.37494615,0.41253242,0.5760562,0.5978224
32582273228174,0.37466842,0.41276243,0.5758135,0.59807163
32582277985830,0.3745708,0.4128036,0.5756289,0.5982819
32582282743539,0.37468374,0.41270846,0.5755181,0.5983835
32582287501247,0.3749391,0.41247052,0.5755231,0.5983828
32582292258903,0.37524986,0.412141,0.57564914,0.5982936
32582297016560,0.37555775,0.4118378,0.57584614,0.5981198
32582301774268,0.37579298,0.4116561,0.57605124,0.5978995
32582306531924,0.37587672,0.41161376,0.57622844,0.59770525
32582311289632,0.37578118,0.41171852,0.5763335,0.5975919
32582316047289,0.3755614,0.4119781,0.5763253,0.5975591
32582320804997,0.3752711,0.41230005,0.57622385,0.5976172
32582325562653,0.374961,0.4126009,0.57606155,0.5977607
32582330320362,0.37472945,0.41284,0.5758635,0.59793156
32582335078018,0.37462777,0.41297874,0.57567537,0.59808064
32582339835726,0.37465453,0.4129754,0.57555217,0.59818476
32582344593382,0.37479085,0.41286147,0.575506,0.59822243
32582349351091,0.37501216,0.41268876,0.5755301,0.59817964
32582354108747,0.37525484,0.4125054,0.5756185,0.5980689
32582358866455,0.37544245,0.41235936,0.57574433,0.5979308
32582363624112,0.37554178,0.41230375,0.57586396,0.5977915
32582368381820,0.3755242,0.41236645,0.5759378,0.5976881
32582373139476,0.3753804,0.41253257,0.5759441,0.59765774
32582377897185,0.37515572,0.41274655,0.57589287,0.59770054
32582382654841,0.3749085,0.41298798,0.5757816,0.597796
32582387412549,0.37469384,0.4131867,0.5756384,0.59793115
32582392170205,0.3745373,0.413312,0.57550794,0.59806824
32582396927914,0.37447536,0.41334307,0.5754138,0.5981761
32582401685570,0.37449867,0.41329417,0.5753662,0.5982411
32582406443278,0.37458417,0.41318175,0.5753756,0.5982562
32582411200935,0.3746957,0.41303638,0.5754405,0.59822434
32582415958643,0.3747968,0.41290948,0.5755338,0.5981588
32582420716299,0.37485206,0.41283625,0.57562697,0.59808505
32582425473955,0.3748402,0.4128182,0.57570344,0.59803134
32582430231664,0.37477055,0.41285318,0.5757433,0.5980125
32582434989216,0.37466425,0.4129242,0.5757401,0.59803313
32582439747028,0.37457177,0.41298175,0.57569665,0.59809315
32582444504685,0.37450683,0.41301703,0.5756487,0.5981556
32582449262393,0.37450996,0.41300744,0.5756057,0.59820175
32582454020049,0.3745912,0.41293898,0.5755849,0.5982181
32582458777757,0.3747433,0.41280973,0.5756016,0.59819597
32582463535414,0.3749343,0.41265497,0.57565534,0.59813136
32582468293122,0.3751459,0.41250774,0.57573235,0.59802604
32582473050778,0.37532386,0.41239533,0.5758169,0.59791046
32582477808487,0.375444,0.41234472,0.5758838,0.59780556
32582482566143,0.37550923,0.4123505,0.575918,0.5977276
32582487323851,0.37552047,0.4124019,0.57591414,0.59768885
32582492081507,0.37550563,0.41245982,0.57587564,0.5976953
32582496839216,0.37549564,0.41251254,0.57581794,0.5977208
32582501596872,0.37549868,0.4125345,0.57575285,0.59776646
32582506354580,0.3755396,0.4124973,0.5757023,0.597815
32582511112237,0.37564114,0.41239145,0.5756821,0.59784377
32582515869945,0.37579626,0.41224197,0.575689,0.5978427
32582520627601,0.37599635,0.41207108,0.5757339,0.59779143
32582525385310,0.3761786,0.41190365,0.57580966,0.59771925
32582530142966,0.37629685,0.41177645,0.5758997,0.59764564
32582534900674,0.37634578,0.41172424,0.5759657,0.5975873
32582539658330,0.3763062,0.411746,0.5759997,0.59756434
32582544416039,0.37616265,0.41182533,0.57599473,0.5976049
32582549173695,0.37595734,0.41193458,0.5759568,0.59769523
32582553931351,0.3757433,0.41203633,0.5758769,0.59783673
32582558689060,0.37553322,0.41210774,0.57580274,0.597991
32582563446716,0.37537175,0.4121177,0.57573867,0.5981472
32582568204424,0.3752873,0.41205156,0.5756982,0.59828466
32582572962080,0.37527874,0.4118878,0.5757112,0.59839034
32582577719789,0.37534428,0.4116481,0.5757848,0.5984433
32582582477445,0.37546548,0.41138983,0.5758959,0.59843796
32582587235153,0.37559435,0.41112825,0.5760439,0.5983944
32582591992810,0.37568238,0.41089386,0.57620096,0.59834886
32582596750518,0.37573352,0.41072404,0.576346,0.5982938
32582601508174,0.37573594,0.41063195,0.576457,0.59824836
32582606265882,0.37569836,0.41060013,0.576525,0.59822845
32582611023539,0.37563702,0.41062966,0.5765414,0.59823084
32582615781247,0.37558427,0.41066664,0.5765141,0.5982648
32582620538903,0.37553987,0.41070366,0.5764875,0.59829307
32582625296612,0.3755493,0.4107283,0.5764431,0.5983129
32582630054268,0.37560964,0.41073847,0.5764008,0.59830874
32582634811976,0.37569976,0.41072387,0.5763797,0.5982826
32582639569632,0.37580708,0.41069743,0.5763816,0.59823143
32582644327341,0.37591705,0.41070002,0.5763871,0.5981553
32582649084997,0.37601665,0.41071764,0.5763822,0.5980853
32582653842705,0.3760721,0.41075966,0.576385,0.5980189
32582658600362,0.37610406,0.41083464,0.57636905,0.5979627
32582663358070,0.376116,0.41091567,0.57634145,0.597926
32582668115726,0.3761132,0.4109819,0.5762986,0.59792364
32582672873435,0.3761021,0.41102827,0.5762679,0.59792835
32582677631091,0.37609163,0.4110645,0.5762439,0.59793323
32582682388799,0.37610018,0.41106474,0.5762333,0.59793776
32582687146455,0.37612304,0.4110219,0.5762494,0.59793735
32582691904112,0.37616566,0.41096327,0.5762831,0.5979184
32582696661820,0.37621263,0.41090602,0.57632315,0.5978896
32582701419476,0.3762464,0.4108448,0.5763648,0.59787023
32582706177185,0.3762452,0.41079557,0.5764192,0.59785247
32582710934841,0.37622875,0.41077015,0.57645965,0.5978412
32582715692549,0.37621063,0.41075304,0.5764695,0.59785485
32582720450205,0.37618163,0.41073686,0.57647806,0.59787595
32582725207914,0.3761573,0.41071182,0.57649267,0.59789443
32582729965570,0.3761588,0.4106858,0.57650954,0.5978951
