t_ns,ax,ay,az
20612064920452,-0.45783406,-0.7577505,1.8902979
20612069678525,-0.7130716,0.3291254,1.070888
20612074436598,-0.46939176,-0.22542286,-2.4013395
20612079194619,-0.18171582,-0.65198994,-1.6379743
20612083952692,-0.12223178,-1.5595865,0.12827492
20612088710765,-0.21290478,-1.0392351,-0.6386428
20612093468838,-0.5781065,-0.2945938,-1.5702496
20612098226911,-0.66134655,2.189659,0.17621708
20612102984984,-0.0054787695,2.7761316,-1.2018008
20612107743004,1.4211764,0.5951977,-1.0427396
20612112501077,2.4450781,0.733428,1.9876628
20612117259150,2.985068,0.9178829,0.1160264
20612122017223,2.4364367,-0.798933,-0.5940516
20612126775296,1.2129638,0.55605316,2.1024637
20612131533369,0.25471634,-0.13131523,-0.08518505
20612136291390,-0.3008087,-0.34369087,-0.8074746
20612141049463,-0.023225278,0.58499813,1.1911926
20612145807536,1.0874945,-0.091015816,-1.4872303
20612150565609,1.6671307,-0.84033775,-3.3208392
20612155323681,2.1368032,0.26984406,0.95296717
20612160081754,2.4297962,-0.33191586,1.919982
20612164839775,2.7077963,-0.40059757,-1.3595853
20612169597848,2.5422614,-0.84397507,-1.2565911
20612174355921,1.6548069,0.014957428,0.38909864
20612179113994,1.8171397,-0.34640598,0.030961514
20612183872067,1.3628815,-0.34021282,-0.7668822
20612188630140,0.7740714,1.1739607,-2.0344586
20612193388161,-0.06311996,-0.6449528,1.1536031
20612198146234,-0.6740719,-0.31100464,4.9426174
20612202904306,-0.23254389,0.10691357,2.1102839
20612207662379,0.46084967,-0.8453131,0.12818766
20612212420452,0.85390747,-1.3917732,3.2257109
20612217178473,0.453921,-0.5814657,2.5892253
20612221936546,-0.16605835,-1.150125,-1.3773215
20612226694619,-0.9893562,-1.4104023,2.4674683
20612231452640,-1.8572257,-0.048080444,5.571966
20612236210765,-1.62196,-0.26349545,1.5483117
20612240968838,-1.3795981,-0.88365936,0.5527525
20612245726859,-1.4608791,-0.39090538,2.8188462
20612250484931,-1.6177568,-0.27610302,1.716744
20612255243004,-1.9628096,-0.68711567,1.2371168
20612260001077,-2.0123951,-0.5195856,1.3918571
20612264759150,-1.767815,0.7456398,1.5754766
20612269517223,-1.0711572,-0.61317825,2.637587
20612274275244,-0.5895316,-0.22855186,2.43267
20612279033317,-0.48222327,-0.5792093,0.8226681
20612283791911,-0.07647352,-0.7142134,1.7596016
20612288549463,0.22107835,-1.7699285,2.0779705
20612293307536,0.70649534,-0.5086889,1.416399
20612298065556,0.9630458,1.0975952,1.0065074
20612302823629,0.53860444,-0.02905941,0.022378445
20612307581702,-0.2722888,-0.20835018,1.2604575
20612312339775,-0.83430624,0.80449104,1.5900478
20612317097796,-1.246307,0.26793766,0.52736425
20612321855869,-1.4701134,-0.55053043,0.83649874
20612326613942,-1.4768105,-0.52470493,0.25927448
20612331372015,-1.5184934,0.40524292,-1.0238361
20612336130088,-1.5338563,0.1287632,-0.90092754
20612340888161,-1.2431722,-1.4395204,1.8418741
20612345646234,-0.33937198,-0.399642,0.893518
20612350404254,0.574689,-0.9047537,-3.3636968
20612355162327,1.248034,-1.3293943,-0.7920568
20612359920400,1.3623302,-1.993607,3.2363353
20612364678473,0.9201434,-0.805037,-0.62163734
20612369436546,0.66294986,0.57064915,-4.684519
20612374194567,0.20473072,-1.1767297,1.0540314
20612378952640,-0.034749687,-0.6420288,5.9463687
20612383710661,0.11207807,-0.21717358,-0.8814678
20612388468786,0.37503454,0.5781622,-3.6843867
20612393226859,0.40259057,-1.6571217,4.50552
20612397984931,0.6980253,-0.52367115,5.009192
20612402742952,0.9032577,1.235631,-2.588968
20612407501025,0.58337593,-0.32090282,-1.1172938
20612412259098,-0.7025911,-1.5168672,7.6983724
20612417017171,-0.99624956,-2.956592,3.6413732
20612421775192,-0.8693529,-1.7383051,-3.8921323
20612426533265,-0.62066585,-2.7829018,1.1841044
20612431291338,-0.5123675,-2.2928963,5.5482783
20612436049411,-0.19814268,1.6035528,-2.0834038
20612440807484,-0.4075294,1.5424566,-5.903323
20612445565556,-0.29519874,-0.47096062,1.9507499
20612450323525,0.11735642,0.61412525,4.70455
20612455081650,1.0656508,1.0405836,-1.0549726
20612459839723,1.4303613,0.784647,0.15359545
20612464597796,0.7309198,0.019477844,4.7981596
20612469355869,0.22812055,1.923686,3.4643407
20612474113890,-0.14598541,1.4072475,-1.732485
20612478871963,-0.7599475,0.10638523,0.32805824
20612483630036,-1.3066257,0.6409397,5.9044857
20612488388109,-1.4100469,0.049390793,1.5343294
20612493146181,-1.5537219,-0.39474106,-2.6144962
20612497904254,-2.4442668,-2.9033775,0.44988728
20612502662275,-2.347381,-1.7634673,3.407905
20612507420348,-1.2671664,-2.2597675,0.98765755
20612512178421,0.2171893,-0.65279865,-0.5945544
20612516936494,1.5804081,-1.3045897,1.007699
20612521694567,2.1063607,0.6808977,2.0550208
20612526452588,2.034362,0.9531307,-1.2991621
20612531210661,1.2964869,0.68806744,-2.5712392
20612535968734,0.2431757,-0.73996925,3.0160065
20612540726806,-0.6166177,0.39587784,4.6477633
20612545484775,-1.133009,0.1651125,-0.114085674
20612550242900,-2.0545082,0.099271774,-0.2596445
20612555000973,-2.196319,-2.4845295,3.3591566
20612559759046,-1.1907686,-1.416812,4.205242
20612564517119,0.7741751,-2.456788,1.1711192
20612569275140,2.9657278,-1.996047,2.046432
20612574033213,4.373262,-3.4441843,2.7130804
20612578791286,4.7102485,-0.72798157,1.6572347
20612583549359,3.9834373,0.31821918,-1.5292497
20612588307431,2.133878,0.78314877,-0.33254337
20612593065452,0.21198048,-0.52028465,2.1301208
20612597823525,-0.6262281,-0.8135705,0.9259558
20612602581598,-1.3078307,0.34997272,0.98778486
20612607339671,-1.8876715,0.27735138,3.7648215
20612612097744,-2.115297,-0.12148762,3.5126047
20612616855817,-1.4330922,0.6114569,1.1197639
20612621613838,-0.25024736,0.32327366,0.7773886
20612626371806,1.280669,0.3292141,1.6140361
20612631129984,3.0393672,-1.5290098,0.11770582
20612635888056,3.9186523,-1.9136362,-1.1331086
20612640646077,3.0705955,-1.2869921,0.25655746
20612645404150,1.8676002,-0.1204443,1.1273098
20612650162223,0.44464093,0.8396902,-1.7654629
20612654920296,-1.0518358,0.67225075,-2.9490147
20612659678369,-2.5458634,0.2578411,0.27263594
20612664436442,-3.373444,0.114785194,1.1316223
20612669194463,-3.046198,-0.23945904,-0.8120794
20612673952536,-2.2110674,-0.9568987,0.764843
20612678710609,-1.001138,-1.9538507,0.9167328
20612683468681,1.2412672,-1.0608606,-0.29012156
20612688226754,2.9125605,-0.6426449,-0.63114405
20612692984775,2.7960956,0.2518673,-1.2367544
20612697742848,3.2239695,-0.09523678,-0.13925648
20612702500921,1.7536926,-0.62148285,0.16191101
20612707258994,0.57186365,4.377365E-4,0.29689884
20612712017015,-0.2740143,0.49204445,1.1614046
20612716775088,-0.5146792,-0.33201694,1.3639121
20612721533161,-0.77722085,0.5796881,0.16604137
20612726291234,-0.43994924,-0.11010647,-1.6989236
20612731049306,0.026726037,0.6093006,-0.8410971
20612735807327,0.7493421,-0.60840607,0.25559092
20612740565400,1.5636809,-0.95228004,0.325778
20612745323473,1.7302715,-0.8149452,-0.075478554
20612750081546,1.6384757,0.07477474,0.4038911
20612754839619,1.2492228,0.1973753,0.11840963
20612759597640,0.050973386,-0.67244434,2.0735927
20612764355713,-0.59716594,-0.49201965,3.211204
20612769113786,-1.386595,1.0921574,0.23434258
20612773871859,-1.4863495,1.0433474,0.19785452
20612778629931,-1.367238,-0.48095798,2.4573417
20612783387952,-0.7817493,-1.3013935,1.9691777
20612788146025,0.15244907,-0.82430077,0.33695412
20612792904098,0.83415437,-1.2937112,0.59162235
20612797662171,1.4796559,-1.1799316,1.7314916
20612802420192,1.4382517,-1.9333482,0.9406619
20612807178265,1.4208312,-1.9403176,0.9973006
20612811936338,0.80678916,-0.90981436,1.1107755
20612816694411,0.18337467,-0.5564728,0.88383436
20612821452484,-0.35215282,0.96064186,1.9396839
20612826210504,-0.6636683,-0.048653603,2.4054627
20612830968577,-0.9766754,0.9596615,2.0494256
20612835726650,-0.92006177,0.79183006,-0.3303547
20612840484723,0.14659682,-0.6005621,-1.3595932
20612845242796,1.4623253,-1.3601484,0.17666245
20612850000817,2.5630653,-2.4146,1.4258704
20612854758890,3.052974,-0.5517578,-0.33555126
20612859516963,3.1827707,0.713109,-1.2206011
20612864275036,2.2283976,0.9270849,1.9994893
20612869033056,0.8432298,0.8875284,4.1065025
20612873791129,-0.10453153,0.32731152,0.8067975
20612878549202,-0.5982941,0.5221472,-1.0651674
20612883307275,-1.1430855,0.7228327,1.5839324
20612888065348,-1.7004817,0.7439642,2.0617194
20612892823369,-1.5702138,0.8877735,-1.3609114
20612897581442,-1.233306,0.75004864,-1.5164039
20612902339515,-0.6527165,-0.13480377,0.4484315
20612907097588,0.3372155,0.097400665,-0.3304925
20612911855609,1.8768827,0.35770607,-1.2103484
20612916613681,3.094204,-0.6338444,1.8006148
20612921371754,3.3417714,-2.6102934,4.137326
20612926129827,3.2873008,-3.042451,1.8799524
