t_s,type,text
94.180,ALIGN,"psi=89.98 (sway) pitch=1.53 roll=67.87 blocks=5 moved_at=NaN sway_ratio=11.7"
95.010,ALIGN,"psi=89.98 (sway) pitch=1.54 roll=67.74 blocks=6 moved_at=NaN sway_ratio=11.7"
104.180,ALIGN,"psi=90.14 (sway) pitch=1.54 roll=67.74 blocks=6 moved_at=NaN sway_ratio=11.7"
105.010,ALIGN,"psi=90.14 (sway) pitch=1.63 roll=67.70 blocks=7 moved_at=NaN sway_ratio=11.7"
114.180,ALIGN,"psi=90.09 (sway) pitch=1.63 roll=67.70 blocks=7 moved_at=NaN sway_ratio=11.6"
115.010,ALIGN,"psi=90.09 (sway) pitch=1.65 roll=67.67 blocks=8 moved_at=NaN sway_ratio=11.6"
124.180,ALIGN,"psi=90.64 (sway) pitch=1.65 roll=67.67 blocks=8 moved_at=NaN sway_ratio=12.0"
125.010,ALIGN,"psi=90.64 (sway) pitch=1.68 roll=67.56 blocks=9 moved_at=NaN sway_ratio=12.0"
134.180,ALIGN,"psi=91.43 (sway) pitch=1.68 roll=67.56 blocks=9 moved_at=NaN sway_ratio=10.1"
135.010,ALIGN,"psi=91.43 (sway) pitch=1.77 roll=67.46 blocks=10 moved_at=NaN sway_ratio=10.1"
144.180,ALIGN,"psi=91.52 (sway) pitch=1.77 roll=67.46 blocks=10 moved_at=NaN sway_ratio=10.7"
145.010,ALIGN,"psi=91.52 (sway) pitch=1.73 roll=67.44 blocks=11 moved_at=NaN sway_ratio=10.7"
154.180,ALIGN,"psi=91.21 (sway) pitch=1.73 roll=67.44 blocks=11 moved_at=NaN sway_ratio=11.6"
155.010,ALIGN,"psi=91.21 (sway) pitch=1.68 roll=67.43 blocks=12 moved_at=NaN sway_ratio=11.6"
164.180,ALIGN,"psi=91.14 (sway) pitch=1.68 roll=67.43 blocks=12 moved_at=NaN sway_ratio=11.6"
165.010,ALIGN,"psi=91.14 (sway) pitch=1.62 roll=67.40 blocks=13 moved_at=NaN sway_ratio=11.6"
174.180,ALIGN,"psi=91.11 (sway) pitch=1.62 roll=67.40 blocks=13 moved_at=NaN sway_ratio=11.3"
175.010,ALIGN,"psi=91.11 (sway) pitch=1.53 roll=67.49 blocks=14 moved_at=NaN sway_ratio=11.3"
184.180,ALIGN,"psi=91.10 (sway) pitch=1.53 roll=67.49 blocks=14 moved_at=NaN sway_ratio=11.9"
185.010,ALIGN,"psi=91.10 (sway) pitch=1.61 roll=67.45 blocks=15 moved_at=NaN sway_ratio=11.9"
194.180,ALIGN,"psi=91.19 (sway) pitch=1.61 roll=67.45 blocks=15 moved_at=NaN sway_ratio=12.8"
195.010,ALIGN,"psi=91.19 (sway) pitch=1.63 roll=67.45 blocks=16 moved_at=NaN sway_ratio=12.8"
204.180,ALIGN,"psi=91.19 (sway) pitch=1.63 roll=67.45 blocks=16 moved_at=NaN sway_ratio=12.8"
205.010,ALIGN,"psi=91.19 (sway) pitch=1.42 roll=67.43 blocks=17 moved_at=NaN sway_ratio=12.8"
214.180,ALIGN,"psi=91.16 (sway) pitch=1.42 roll=67.43 blocks=17 moved_at=NaN sway_ratio=12.6"
215.010,ALIGN,"psi=91.16 (sway) pitch=1.39 roll=67.42 blocks=18 moved_at=NaN sway_ratio=12.6"
224.180,ALIGN,"psi=91.18 (sway) pitch=1.39 roll=67.42 blocks=18 moved_at=NaN sway_ratio=13.0"
225.010,ALIGN,"psi=91.18 (sway) pitch=1.44 roll=67.40 blocks=19 moved_at=NaN sway_ratio=13.0"
227.186,REVEAL,"off_by_m=13.6 distance_m=570 duration_s=148 max_err_m=13.6 sim=true armed=true"
227.200,MODE,"INERTIAL->RECOVERING"
227.200,BAND_EXIT,""
230.200,MODE,"RECOVERING->GNSS_INS"
232.200,ARMED,""
234.180,ALIGN,"psi=91.15 (sway) pitch=1.44 roll=67.40 blocks=19 moved_at=NaN sway_ratio=13.3"
235.010,ALIGN,"psi=91.15 (sway) pitch=1.44 roll=67.39 blocks=20 moved_at=NaN sway_ratio=13.3"
244.180,ALIGN,"psi=91.14 (sway) pitch=1.44 roll=67.39 blocks=20 moved_at=NaN sway_ratio=13.5"
245.010,ALIGN,"psi=91.14 (sway) pitch=1.46 roll=67.46 blocks=21 moved_at=NaN sway_ratio=13.5"
254.180,ALIGN,"psi=91.12 (sway) pitch=1.46 roll=67.46 blocks=21 moved_at=NaN sway_ratio=13.8"
255.010,ALIGN,"psi=91.12 (sway) pitch=1.46 roll=67.39 blocks=22 moved_at=NaN sway_ratio=13.8"
264.180,ALIGN,"psi=91.09 (sway) pitch=1.46 roll=67.39 blocks=22 moved_at=NaN sway_ratio=14.0"
265.010,ALIGN,"psi=91.09 (sway) pitch=1.45 roll=67.04 blocks=23 moved_at=NaN sway_ratio=14.0"
281.379,PHASE,"STOP_STAND"
296.380,PHASE,"DONE"
