t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
4.9900,CALIB,-0.0864,-0.4866,0.0000,1.1313,314.6817,-46.4496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0864,-0.4866,0.0000,-0.0864,-0.4866,0.0000,-0.0864,-0.4866,0.0000,0.0000
5.0900,CALIB,-0.0831,-0.4644,0.0000,1.1313,314.7029,-46.4284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0831,-0.4644,0.0000,-0.0831,-0.4644,0.0000,-0.0831,-0.4644,0.0000,0.0000
5.1900,CALIB,-0.0796,-0.4419,0.0000,1.1313,314.7120,-46.4194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0796,-0.4419,0.0000,-0.0796,-0.4419,0.0000,-0.0796,-0.4419,0.0000,0.0000
5.2900,CALIB,-0.0763,-0.4190,0.0000,1.1313,314.7104,-46.4209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0763,-0.4190,0.0000,-0.0763,-0.4190,0.0000,-0.0763,-0.4190,0.0000,0.0000
5.3900,CALIB,-0.0732,-0.3964,0.0000,1.1313,314.7046,-46.4267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0732,-0.3964,0.0000,-0.0732,-0.3964,0.0000,-0.0732,-0.3964,0.0000,0.0000
5.4900,CALIB,-0.0704,-0.3740,0.0000,1.1313,314.6957,-46.4356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0704,-0.3740,0.0000,-0.0704,-0.3740,0.0000,-0.0704,-0.3740,0.0000,0.0000
5.5900,CALIB,-0.0677,-0.3518,0.0000,1.1313,314.6899,-46.4415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0677,-0.3518,0.0000,-0.0677,-0.3518,0.0000,-0.0677,-0.3518,0.0000,0.0000
5.6900,CALIB,-0.0651,-0.3298,0.0000,1.1313,314.6944,-46.4369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0651,-0.3298,0.0000,-0.0651,-0.3298,0.0000,-0.0651,-0.3298,0.0000,0.0000
5.7900,CALIB,-0.0625,-0.3079,0.0000,1.1313,314.6982,-46.4332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0625,-0.3079,0.0000,-0.0625,-0.3079,0.0000,-0.0625,-0.3079,0.0000,0.0000
5.8900,CALIB,-0.0598,-0.2862,0.0000,1.1313,314.7072,-46.4241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0598,-0.2862,0.0000,-0.0598,-0.2862,0.0000,-0.0598,-0.2862,0.0000,0.0000
5.9900,CALIB,-0.0569,-0.2646,0.0000,1.1313,314.7071,-46.4242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0569,-0.2646,0.0000,-0.0569,-0.2646,0.0000,-0.0569,-0.2646,0.0000,0.0000
