t_ns,mx,my,mz,accuracy
28491550162699,32.41875,-16.5375,-8.962501,3
28491560162699,32.9625,-16.48125,-10.40625,3
28491570162699,31.462502,-16.425001,-12.39375,3
28491580162699,34.4625,-13.89375,-10.35,3
28491590162699,32.90625,-13.837501,-9.712501,3
28491600162699,34.78125,-13.837501,-10.40625,3
28491610162699,34.425003,-14.26875,-10.650001,3
28491620162699,34.0125,-14.962501,-11.493751,3
28491630162699,33.54375,-15.900001,-11.418751,3
28491640162699,35.15625,-16.181252,-9.6,3
28491650162699,33.956253,-14.325001,-10.89375,3
28491660162699,36.0,-14.437501,-12.375001,3
28491670162699,33.2625,-16.425001,-10.14375,3
28491680162699,33.693752,-13.9875,-10.875,3
28491690162699,34.55625,-15.13125,-9.5625,3
28491700162699,32.79375,-15.993751,-12.39375,3
28491710162699,32.756252,-15.750001,-9.9375,3
28491720162699,33.43125,-16.5375,-11.08125,3
28491730162699,33.6375,-15.000001,-9.3,3
28491740162699,34.3125,-15.168751,-12.0,3
28491750162699,34.537502,-15.637501,-12.0,3
28491760162699,33.300003,-15.431251,-10.63125,3
28491770162699,32.550003,-16.275002,-11.4375,3
28491780162699,33.99375,-17.587502,-10.05,3
28491790162699,35.15625,-15.431251,-10.856251,3
28491800162699,32.79375,-15.750001,-11.325001,3
28491810162699,33.112503,-16.575,-11.043751,3
28491820162699,33.1875,-15.937501,-9.993751,3
28491830162699,33.43125,-15.525001,-10.5,3
28491840162699,34.4625,-17.025002,-11.493751,3
28491850162699,33.84375,-15.8625,-10.6875,3
28491860162699,34.256252,-16.181252,-10.725,3
28491870162699,32.475002,-17.2875,-9.4125,3
28491880162699,34.631252,-15.750001,-10.1625,3
28491890162699,32.625,-16.3875,-9.450001,3
28491900162699,33.3375,-15.431251,-12.01875,3
28491910162699,34.256252,-15.7875,-8.587501,3
28491920162699,33.075,-17.081251,-7.4812503,3
28491930162699,33.300003,-17.175001,-10.275001,3
28491940162699,34.143753,-18.075,-12.356251,3
28491950162699,34.18125,-16.6875,-11.15625,3
28491960162699,34.29375,-15.7875,-10.125,3
28491970162699,33.881252,-15.6,-10.387501,3
28491980162699,32.287502,-16.95,-11.231251,3
28491990162699,33.225002,-16.6875,-10.125,3
28492000162699,32.5125,-16.275002,-10.368751,3
28492010162699,33.46875,-17.2875,-11.212501,3
28492020162699,32.15625,-16.575,-10.6125,3
28492030162699,34.85625,-15.6,-11.7375,3
28492040162699,32.23125,-16.95,-9.84375,3
28492050162699,33.2625,-15.431251,-9.5625,3
28492060162699,32.831253,-18.13125,-10.200001,3
28492070162699,31.518751,-15.7875,-10.575001,3
28492080162699,33.225002,-15.431251,-8.94375,3
28492090162699,34.21875,-15.431251,-10.275001,3
28492100162699,30.88125,-16.875,-11.08125,3
28492110162699,33.300003,-17.175001,-10.275001,3
28492120162699,33.84375,-15.8625,-10.6875,3
28492130162699,32.643753,-15.39375,-9.637501,3
28492140162699,31.875002,-17.38125,-10.40625,3
28492150162699,33.28125,-15.431251,-10.33125,3
28492160162699,30.956251,-16.987501,-9.075001,3
28492170162699,30.281252,-16.575,-10.087501,3
28492180162699,34.331253,-16.5375,-9.806251,3
28492190162699,32.193752,-15.937501,-8.493751,3
28492200162699,33.5625,-15.900001,-11.71875,3
28492210162699,33.393753,-14.775001,-10.668751,3
28492220162699,32.90625,-15.1125,-11.3625,3
28492230162699,33.956253,-14.962501,-9.65625,3
28492240162699,33.825,-15.8625,-10.387501,3
28492250162699,33.393753,-15.543751,-9.4125,3
28492260162699,33.206253,-18.337502,-12.993751,3
28492270162699,34.612503,-15.13125,-11.418751,3
28492280162699,34.068752,-16.331251,-10.2375,3
28492290162699,31.987501,-15.468751,-9.243751,3
28492300162699,34.4625,-15.281251,-12.618751,3
28492310162699,34.068752,-14.437501,-10.44375,3
28492320162699,35.7,-14.231251,-11.418751,3
28492330162699,31.10625,-15.093751,-9.0,3
28492340162699,31.650002,-15.900001,-10.425,3
28492350162699,32.8125,-13.725,-11.400001,3
28492360162699,32.5125,-16.5375,-11.4375,3
