t_ns,gx,gy,gz
30121500354112,-0.23362032,9.041271,3.7909405
30121505111924,-0.23104112,9.041652,3.7901893
30121509869789,-0.23083812,9.04201,3.7893474
30121514627653,-0.2327655,9.042428,3.7882316
30121519385518,-0.2358634,9.042672,3.7874594
30121524143330,-0.23908249,9.042659,3.787288
30121528901195,-0.24102432,9.042623,3.7872524
30121533659059,-0.2409573,9.042619,3.787263
30121538416872,-0.23850027,9.0426235,3.7874105
30121543174737,-0.2341104,9.042631,3.7876642
30121547932601,-0.22885689,9.042633,3.7879796
30121552690466,-0.22349893,9.042442,3.788754
30121557448278,-0.21936049,9.042138,3.7897246
30121562206143,-0.21725789,9.041864,3.7904983
30121566964007,-0.21721143,9.041545,3.7912636
30121571721820,-0.21908632,9.041265,3.7918224
30121576479684,-0.22208379,9.04113,3.7919693
30121581237549,-0.22489996,9.041194,3.791652
30121585995414,-0.22658089,9.041236,3.7914505
30121590753226,-0.22620614,9.041326,3.7912595
30121595511091,-0.2236484,9.041569,3.790832
30121600268955,-0.21928225,9.041909,3.7902756
30121605026768,-0.21413271,9.042134,3.7900324
30121609784632,-0.2093204,9.042452,3.7895424
30121614542497,-0.20592047,9.0427475,3.7890246
30121619300362,-0.20430042,9.042828,3.7889202
30121624058174,-0.20490552,9.042867,3.7887928
30121628816039,-0.20674703,9.042946,3.7885063
30121633573903,-0.2085793,9.04285,3.7886367
30121638331768,-0.20923297,9.042744,3.7888496
30121643089580,-0.20653288,9.042829,3.788795
30121647847445,-0.1996622,9.04291,3.788974
30121652605309,-0.1902244,9.042803,3.7897134
30121657363122,-0.17987157,9.0427685,3.7902997
30121662120987,-0.17095532,9.042816,3.7905982
30121666878851,-0.16444919,9.042791,3.7909455
30121671636664,-0.16050832,9.042707,3.7913146
30121676394528,-0.15842058,9.042788,3.791209
30121681152393,-0.15698358,9.042963,3.7908533
30121685910257,-0.15546323,9.042905,3.7910552
30121690668070,-0.15317762,9.0427685,3.791472
30121695425934,-0.14955889,9.0428295,3.7914736
30121700183799,-0.1450126,9.042873,3.7915432
30121704941612,-0.13953306,9.042799,3.7919266
30121709699476,-0.13314345,9.042887,3.7919457
30121714457341,-0.12654014,9.042973,3.7919683
30121719215153,-0.12034495,9.042969,3.7921767
30121723973018,-0.11556199,9.042834,3.7926483
30121728730882,-0.1127024,9.042659,3.7931514
30121733488747,-0.11175455,9.042619,3.7932773
30121738246612,-0.11225283,9.042609,3.7932837
30121743004424,-0.113283426,9.042446,3.793642
30121747762289,-0.113742635,9.042493,3.7935152
30121752520153,-0.11321238,9.042599,3.7932794
30121757277966,-0.111214615,9.042726,3.7930377
30121762035830,-0.10801266,9.042829,3.7928846
30121766793695,-0.1044813,9.043164,3.7921844
30121771551507,-0.10100159,9.043523,3.791424
30121776309372,-0.09770775,9.043785,3.7908845
30121781067237,-0.09480725,9.044053,3.7903187
30121785825049,-0.09233522,9.04428,3.7898378
30121790582914,-0.090288095,9.044318,3.7897959
30121795340778,-0.0888971,9.044175,3.7901676
30121800098643,-0.08769811,9.044012,3.790587
30121804856455,-0.0867586,9.043814,3.7910836
30121809614320,-0.08574183,9.04335,3.7922084
30121814372184,-0.08410683,9.042941,3.7932222
30121819130049,-0.08217439,9.042609,3.7940516
30121823887862,-0.07987689,9.042013,3.7955222
30121828645726,-0.07748256,9.041393,3.79705
30121833403591,-0.07560781,9.041103,3.797778
30121838161403,-0.07434744,9.041049,3.7979352
30121842919268,-0.074058905,9.040999,3.798057
30121847677132,-0.074093506,9.041117,3.7977774
30121852434945,-0.07407159,9.04166,3.796485
30121857192809,-0.07383465,9.042262,3.795055
30121861950674,-0.07367196,9.042825,3.793716
30121866708539,-0.07304669,9.043412,3.7923265
30121871466351,-0.07195679,9.043954,3.7910547
30121876224216,-0.06989103,9.044164,3.7905955
30121880982080,-0.06629435,9.0457735,3.7868147
30121885739893,-0.061027937,9.048911,3.7794003
30121890497757,-0.055437475,9.048148,3.7813125
