run,dir,n_win,n_moving,mae_raw,mae,bias,rmse,nll,cov68,sig_mean,mae_slow,false_stops,stop_latency_s,c10_drift_pct,c10_end_m,c10_after_stop_m,c10_rmse_m,c30_drift_pct,c30_end_m,c30_after_stop_m,c30_rmse_m,c60_drift_pct,c60_end_m,c60_after_stop_m,c60_rmse_m,turn_drift_pct,turn_end_m,turn_after_stop_m,turn_rmse_m,fold,cfg,model,rate,win,split,aug,seed,params,epochs,val_nll
2,BA,1011,936,0.10358135402202606,0.11785231530666351,0.021273795515298843,0.17501495778560638,-1.3720366954803467,0.6805555555555556,0.12221787869930267,0.6017025709152222,0,0.7000000000000028,2.5314645698504767,7.11395381879613,7.240276562631571,3.445099547550778,3.275095993267944,6.871207910160698,7.0986548379028305,2.1195828773767404,5.008119640059338,5.1783270372764285,5.40510374065246,1.3505366760084359,5.056062514448106,5.063986199048463,5.2905220836536095,1.3046577124910497,0,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-1.3957
12,AB,754,680,0.2084956169128418,0.2794838547706604,-0.0038165708538144827,0.37255483865737915,-0.6955986022949219,0.5808823529411765,0.23856127262115479,0.7960256934165955,0,0.10000000000000853,3.498103326114212,9.781483941494967,10.596394372654501,3.0302074414859272,4.046742393981078,7.732928363129632,8.543391211688787,4.432619391687458,,,,,3.2503131445028797,7.362449010251918,8.216786264308663,3.5729240244914378,0,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-1.3957
13,BA,767,646,0.2383907288312912,0.3564920425415039,-0.12343449890613556,0.49394914507865906,-0.9261348247528076,0.6300309597523219,0.2724423110485077,0.7154736518859863,0,2.0999999999999943,3.3356605011383835,8.8275387715065,8.941690275756198,7.969028445412318,6.902663803792717,9.861116146343482,9.941885881832725,5.0964976380382145,,,,,10.189914390522972,10.334821708318763,10.386901746585071,4.566360942103227,0,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-1.3957
3,AB,1087,939,0.13721297681331635,0.14823977649211884,-0.048177462071180344,0.2199145257472992,-1.2325773239135742,0.6858359957401491,0.15207871794700623,0.31881004571914673,0,0.5999999999999943,0.5888407487663527,1.6810495501044722,1.5348219520031354,2.327166388587682,1.9684218771112447,4.3063434726350005,4.1430982226580575,1.8539088514763034,2.898314823273454,3.059824507017501,2.9220074914453913,1.713524835174622,2.00150915292397,4.404644612697079,4.241467941276325,1.893362754818719,1,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-0.6742
4,BA,932,832,0.09409407526254654,0.11398030817508698,-0.06281700730323792,0.1790141463279724,-1.640163540840149,0.7848557692307693,0.14418813586235046,0.4497849941253662,0,0.7999999999999972,2.2161142313431745,6.094704300744348,6.056314946634434,4.753223497700883,1.4642617048420066,2.8292151245510055,2.7579451838101803,1.303225002322729,4.027645629473106,3.242008892910321,3.186881943677622,1.1511460163398952,3.7451011169118997,3.6549122417242073,3.5950946148825267,1.2832648656502328,1,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-0.6742
14,AB,757,684,0.19043493270874023,0.22378410398960114,-0.16208615899085999,0.32581305503845215,-0.9733660817146301,0.6900584795321637,0.24269656836986542,0.4800073206424713,0,0.10000000000000853,8.384237258083878,22.74850924661956,23.448282306409446,11.506368778938318,3.0154793633676573,5.167261490787,6.1650707128094435,1.58221875324134,,,,,2.2055389436609514,4.9388510410076165,5.9895946120753125,2.3287121482826456,1,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-0.6742
15,BA,834,733,0.17869238555431366,0.21294818818569183,-0.11294683814048767,0.2850273847579956,-0.9280264973640442,0.6725784447476125,0.21754008531570435,0.3276211619377136,0,0.10000000000000853,0.9441836387654116,2.531994303740651,2.7824795369944266,2.4899784189785583,1.954023896427619,3.2894414565250236,3.4620550775072907,2.887265347859085,9.627466330151313,3.9684909773771353,4.454931556218095,1.9549286915773905,4.88295385019187,4.802657501274092,5.141383318531173,2.9671333555123214,1,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,18,-0.6742
5,AB,1014,914,0.09684804081916809,0.12672685086727142,-0.005617755465209484,0.19943808019161224,-1.5971715450286865,0.7013129102844639,0.1230829507112503,0.6355490684509277,0,0.3999999999999915,2.214141543231438,6.245054795109006,5.990403014360279,1.3461498706162442,2.597348591622566,5.514592380070872,5.235209166364745,2.1394875031896854,6.141999016159012,6.400965915044351,6.1581289714901395,2.028145927577669,2.514946620417236,5.607831343733622,5.325417779077322,1.9796406791361156,2,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,27,-1.4493
6,BA,946,854,0.09719155728816986,0.1346943974494934,-0.051030680537223816,0.19816045463085175,-1.6464591026306152,0.6569086651053864,0.11746477335691452,0.7337051033973694,0,0.19999999999998863,0.6763670957918536,1.9214550677346771,2.0203214624041657,3.73863041341382,2.5337672469450303,5.160139068371906,5.249571065643652,4.7054525836496195,5.216330296286125,4.728069139958539,4.789653079080545,1.9058138494216414,3.723388045665256,3.816486055286284,3.9260421435646125,1.5053627148494166,2,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,27,-1.4493
16,AB,960,877,0.1389409601688385,0.16818857192993164,-0.018393896520137787,0.258455753326416,-1.159061074256897,0.5940706955530216,0.12694750726222992,0.7330302596092224,0,0.20000000000000284,6.007360551593417,16.681599617056072,16.83777796726305,7.127419209327669,6.5029116713480315,12.851210416113052,12.96329838661565,5.093096977216211,11.211707192265951,9.484344983046531,9.634252170283006,4.057743313249541,5.884263122183213,13.556630476914663,13.667929993639623,5.3594518750590145,2,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,27,-1.4493
