t_ns,mx,my,mz,bx,by,bz
31151937063047,-26.41875,3.2812502,20.23125,3.36,13.62,8.16
31151947063047,-23.7,5.53125,19.6875,3.36,13.62,8.16
31151957063047,-23.90625,5.3812504,20.34375,3.36,13.62,8.16
31151967063047,-24.900002,4.8562503,19.85625,3.36,13.62,8.16
31151977063047,-25.7625,4.36875,19.66875,3.36,13.62,8.16
31151987063047,-23.6625,5.53125,18.618752,3.36,13.62,8.16
31151997063047,-23.081251,6.3562503,19.44375,3.36,13.62,8.16
31152007063047,-25.050001,6.6000004,18.75,3.36,13.62,8.16
31152017063047,-23.79375,4.6312504,18.0375,3.36,13.62,8.16
31152027063047,-21.956251,6.5062504,19.3125,3.36,13.62,8.16
31152037063047,-24.50625,5.4187503,20.25,3.36,13.62,8.16
31152047063047,-23.456251,5.0625,19.6875,3.36,13.62,8.16
31152057063047,-25.06875,4.70625,19.725,3.36,13.62,8.16
31152067063047,-25.312502,5.30625,20.6625,3.36,13.62,8.16
31152077063047,-23.362501,4.9500003,20.90625,3.36,13.62,8.16
31152087063047,-23.775002,5.0062504,19.40625,3.36,13.62,8.16
31152097063047,-23.90625,4.1062503,18.675001,3.36,13.62,8.16
31152107063047,-25.125002,4.0687504,17.90625,3.36,13.62,8.16
31152117063047,-23.7,6.2812505,18.75,3.36,13.62,8.16
31152127063047,-24.862501,4.1062503,19.725,3.36,13.62,8.16
31152137063047,-24.525002,5.4187503,20.868752,3.36,13.62,8.16
31152147063047,-24.768751,3.3750002,17.737501,3.36,13.62,8.16
31152157063047,-25.9125,4.59375,20.90625,3.36,13.62,8.16
31152167063047,-25.44375,5.15625,18.993752,3.36,13.62,8.16
31152177063047,-25.800001,4.1062503,19.66875,3.36,13.62,8.16
31152187063047,-23.681252,5.53125,19.3875,3.36,13.62,8.16
31152197063047,-25.2,5.9437504,20.325,3.36,13.62,8.16
31152207063047,-23.737501,5.26875,19.40625,3.36,13.62,8.16
31152217063047,-24.525002,5.15625,19.181252,3.36,13.62,8.16
31152227063047,-24.581251,5.90625,19.931252,3.36,13.62,8.16
31152237063047,-24.91875,4.8562503,20.625,3.36,13.62,8.16
31152247063047,-22.087502,5.6062503,18.2625,3.36,13.62,8.16
31152257063047,-24.431252,5.4187503,17.625,3.36,13.62,8.16
31152267063047,-25.050001,4.96875,20.025002,3.36,13.62,8.16
31152277063047,-25.462502,4.40625,20.400002,3.36,13.62,8.16
31152287063047,-24.31875,4.55625,19.800001,3.36,13.62,8.16
31152297063047,-24.056252,5.8500004,18.0375,3.36,13.62,8.16
31152307063047,-24.525002,5.90625,18.54375,3.36,13.62,8.16
31152317063047,-24.375002,5.0625,18.862501,3.36,13.62,8.16
31152327063047,-25.143751,5.9625,18.46875,3.36,13.62,8.16
31152337063047,-24.525002,5.15625,19.181252,3.36,13.62,8.16
31152347063047,-25.218752,5.7000003,19.556252,3.36,13.62,8.16
31152357063047,-24.618752,4.51875,18.75,3.36,13.62,8.16
31152367063047,-25.35,5.55,17.8875,3.36,13.62,8.16
31152377063047,-24.54375,5.4187503,21.337502,3.36,13.62,8.16
31152387063047,-24.300001,5.7000003,19.9125,3.36,13.62,8.16
31152397063047,-24.956251,5.6062503,20.456251,3.36,13.62,8.16
31152407063047,-24.112501,5.8500004,19.725,3.36,13.62,8.16
31152417063047,-25.500002,4.9125004,19.462502,3.36,13.62,8.16
31152427063047,-25.800001,4.36875,20.737501,3.36,13.62,8.16
31152437063047,-26.587502,5.0062504,19.59375,3.36,13.62,8.16
31152447063047,-25.29375,5.0625,18.825,3.36,13.62,8.16
31152457063047,-25.275002,6.3187504,19.706251,3.36,13.62,8.16
31152467063047,-24.112501,5.8500004,19.725,3.36,13.62,8.16
31152477063047,-24.806252,6.1312504,18.581251,3.36,13.62,8.16
31152487063047,-24.2625,5.9437504,20.362501,3.36,13.62,8.16
31152497063047,-26.343752,6.5437503,20.1375,3.36,13.62,8.16
31152507063047,-26.19375,6.95625,22.087502,3.36,13.62,8.16
31152517063047,-25.44375,5.55,20.8125,3.36,13.62,8.16
31152527063047,-25.893751,5.6062503,20.71875,3.36,13.62,8.16
31152537063047,-25.687502,6.01875,21.150002,3.36,13.62,8.16
31152547063047,-26.025002,5.45625,19.050001,3.36,13.62,8.16
31152557063047,-24.843752,6.1312504,19.650002,3.36,13.62,8.16
31152567063047,-25.593752,6.2812505,19.44375,3.36,13.62,8.16
31152577063047,-26.79375,4.6125,19.48125,3.36,13.62,8.16
31152587063047,-27.2625,4.93125,20.75625,3.36,13.62,8.16
31152597063047,-25.612501,6.01875,18.675001,3.36,13.62,8.16
31152607063047,-25.612501,6.2812505,20.04375,3.36,13.62,8.16
31152617063047,-25.312502,7.0687504,19.5375,3.36,13.62,8.16
31152627063047,-25.800001,5.11875,19.800001,3.36,13.62,8.16
31152637063047,-23.56875,6.1687503,19.050001,3.36,13.62,8.16
31152647063047,-24.88125,6.1125,20.737501,3.36,13.62,8.16
31152657063047,-24.843752,4.36875,20.475,3.36,13.62,8.16
31152667063047,-24.862501,4.8562503,18.46875,3.36,13.62,8.16
31152677063047,-24.393751,4.2937503,20.268751,3.36,13.62,8.16
31152687063047,-24.0,6.7500005,20.775002,3.36,13.62,8.16
31152697063047,-25.85625,5.6062503,19.331251,3.36,13.62,8.16
31152707063047,-23.6625,6.9187503,20.868752,3.36,13.62,8.16
31152717063047,-25.837502,4.1062503,20.75625,3.36,13.62,8.16
31152727063047,-26.400002,5.55,21.54375,3.36,13.62,8.16
31152737063047,-26.175001,6.6937504,20.71875,3.36,13.62,8.16
31152747063047,-24.73125,5.0062504,19.987501,3.36,13.62,8.16
31152757063047,-23.53125,6.43125,19.03125,3.36,13.62,8.16
31152767063047,-26.5125,6.39375,19.6875,3.36,13.62,8.16
31152777063047,-24.825,5.625,16.44375,3.36,13.62,8.16
31152787063047,-23.362501,6.3187504,18.393751,3.36,13.62,8.16
31152797063047,-26.868752,5.9812503,18.975,3.36,13.62,8.16
31152807063047,-25.10625,7.2187505,18.88125,3.36,13.62,8.16
31152817063047,-25.237501,5.9437504,21.393751,3.36,13.62,8.16
31152827063047,-25.1625,6.20625,20.625,3.36,13.62,8.16
31152837063047,-25.575,6.2812505,18.975,3.36,13.62,8.16
