t_ns,mx,my,mz,accuracy
15976969804474,24.0375,7.2187505,-15.562501,3
15976979804474,26.587502,7.8187504,-14.493751,3
15976989804474,24.54375,7.8,-13.781251,3
15976999804474,25.781252,7.4625,-15.468751,3
15977009804474,25.10625,7.8750005,-16.3125,3
15977019804474,23.19375,7.1250005,-14.38125,3
15977029804474,24.69375,8.325001,-15.825001,3
15977039804474,24.50625,7.1625004,-16.21875,3
15977049804474,24.150002,7.1250005,-14.793751,3
15977059804474,25.0125,6.4687505,-16.10625,3
15977069804474,24.975,7.4812503,-14.437501,3
15977079804474,24.975,7.2187505,-15.825001,3
15977089804474,24.900002,6.9750004,-14.887501,3
15977099804474,24.825,6.3187504,-15.468751,3
15977109804474,23.306252,6.7500005,-14.681251,3
15977119804474,24.16875,7.36875,-14.343751,3
15977129804474,24.468752,6.4125004,-14.19375,3
15977139804474,24.50625,8.175,-15.637501,3
15977149804474,24.768751,7.9500003,-15.356251,3
15977159804474,23.4375,7.275,-16.10625,3
15977169804474,26.456251,8.925,-19.275002,3
15977179804474,26.437502,7.425,-16.7625,3
15977189804474,26.60625,8.325001,-17.118752,3
15977199804474,25.612501,7.5750003,-14.531251,3
15977209804474,24.7875,8.962501,-15.225,3
15977219804474,26.475,8.4375,-17.41875,3
15977229804474,25.800001,7.4625,-15.76875,3
15977239804474,25.312502,8.025001,-17.268751,3
15977249804474,25.35,8.53125,-15.750001,3
15977259804474,25.368752,7.5375004,-16.95,3
15977269804474,24.562502,7.425,-16.237501,3
15977279804474,24.6,6.675,-16.6875,3
15977289804474,26.2875,6.525,-16.725,3
15977299804474,25.518751,6.675,-16.331251,3
15977309804474,24.35625,7.51875,-14.531251,3
15977319804474,25.44375,6.4125004,-15.243751,3
15977329804474,24.750002,8.700001,-15.843751,3
15977339804474,23.1375,6.4687505,-15.431251,3
15977349804474,25.612501,7.3125005,-15.6,3
15977359804474,24.225,7.36875,-15.731251,3
15977369804474,24.2625,7.0125003,-14.19375,3
15977379804474,23.493752,7.65,-15.656251,3
15977389804474,24.656252,7.3125005,-15.01875,3
15977399804474,24.206251,7.36875,-15.431251,3
15977409804474,25.06875,7.1250005,-14.2875,3
15977419804474,25.050001,6.1125,-14.1,3
15977429804474,24.337502,6.525,-14.343751,3
15977439804474,22.837502,6.05625,-13.5375,3
15977449804474,23.962502,6.9750004,-14.925,3
15977459804474,25.29375,8.775001,-17.4375,3
15977469804474,26.456251,8.925,-18.956251,3
15977479804474,24.2625,6.61875,-16.03125,3
15977489804474,26.306252,6.76875,-15.975,3
15977499804474,25.1625,7.36875,-16.1625,3
15977509804474,24.431252,5.775,-16.0125,3
15977519804474,25.35,6.525,-16.7625,3
15977529804474,24.54375,6.4125004,-16.368752,3
15977539804474,26.493752,6.675,-17.362501,3
15977549804474,25.556252,7.6875005,-16.81875,3
15977559804474,25.237501,7.0125003,-15.225,3
15977569804474,27.243752,7.7812505,-15.4875,3
15977579804474,25.050001,7.4812503,-16.9125,3
15977589804474,25.7625,8.962501,-16.575,3
15977599804474,26.325,6.01875,-15.4875,3
15977609804474,25.087502,6.1125,-15.4875,3
15977619804474,25.368752,7.275,-18.018751,3
15977629804474,27.656252,7.70625,-14.306251,3
15977639804474,24.468752,7.9125004,-16.087502,3
15977649804474,25.556252,7.05,-15.58125,3
15977659804474,25.050001,5.3625,-13.481251,3
15977669804474,25.29375,6.525,-14.606251,3
15977679804474,24.91875,5.83125,-16.087502,3
15977689804474,24.91875,5.83125,-16.087502,3
15977699804474,24.69375,7.3125005,-16.40625,3
15977709804474,25.331251,6.525,-16.143751,3
15977719804474,27.243752,6.76875,-15.918751,3
15977729804474,25.087502,7.8750005,-15.843751,3
15977739804474,23.5125,7.1625004,-14.418751,3
15977749804474,24.225,8.38125,-15.3,3
15977759804474,23.41875,6.9,-12.712501,3
15977769804474,27.093752,7.6312504,-16.706251,3
15977779804474,24.825,7.9500003,-17.212502,3
15977789804474,22.087502,7.7250004,-15.4875,3
15977799804474,25.5375,8.8125,-15.618751,3
15977809804474,24.056252,7.2187505,-16.0125,3
15977819804474,22.9125,7.0687504,-15.1125,3
15977829804474,24.2625,7.7625003,-14.83125,3
15977839804474,24.150002,7.36875,-13.725,3
15977849804474,24.150002,6.3750005,-14.156251,3
