t_ns,ax,ay,az,bx,by,bz
21040872046906,-0.6221339,8.915657,4.173083,0.0,0.0,0.0
21040874425916,-0.64606214,8.915657,4.1874394,0.0,0.0,0.0
21040876804927,-0.66999036,8.9013,4.2017965,0.0,0.0,0.0
21040879183989,-0.6891329,8.896515,4.211368,0.0,0.0,0.0
21040881562999,-0.70348984,8.882157,4.2017965,0.0,0.0,0.0
21040883942010,-0.72263247,8.863015,4.1874394,0.0,0.0,0.0
21040886321020,-0.6939186,8.886943,4.206582,0.0,0.0,0.0
21040888700031,-0.6843473,8.863015,4.211368,0.0,0.0,0.0
21040891079093,-0.6652047,8.863015,4.197011,0.0,0.0,0.0
21040893458104,-0.64606214,8.848659,4.206582,0.0,0.0,0.0
21040895837062,-0.6029913,8.853444,4.1922255,0.0,0.0,0.0
21040898216124,-0.5886344,8.85823,4.206582,0.0,0.0,0.0
21040900595135,-0.5694918,8.848659,4.197011,0.0,0.0,0.0
21040902974145,-0.5599205,8.877372,4.206582,0.0,0.0,0.0
21040905353156,-0.57906306,8.9013,4.197011,0.0,0.0,0.0
21040907732218,-0.61734825,8.925228,4.2017965,0.0,0.0,0.0
21040910111177,-0.64606214,8.9108715,4.1874394,0.0,0.0,0.0
21040912490239,-0.70348984,8.9348,4.1874394,0.0,0.0,0.0
21040914869249,-0.76570326,8.949157,4.2017965,0.0,0.0,0.0
21040917248260,-0.80877405,8.953942,4.220939,0.0,0.0,0.0
21040919627322,-0.8327023,8.958728,4.249653,0.0,0.0,0.0
21040922006333,-0.8997013,8.939586,4.2687955,0.0,0.0,0.0
21040924385343,-0.9762716,8.9348,4.278367,0.0,0.0,0.0
21040926764354,-1.0193424,8.920443,4.278367,0.0,0.0,0.0
21040929143364,-1.0336994,8.930014,4.273581,0.0,0.0,0.0
21040931522374,-1.0336994,8.920443,4.2831526,0.0,0.0,0.0
21040933901437,-1.038485,8.915657,4.3070807,0.0,0.0,0.0
21040936280447,-1.0289137,8.906086,4.2927237,0.0,0.0,0.0
21040938659458,-0.98584294,8.896515,4.2831526,0.0,0.0,0.0
21040941038468,-0.91405827,8.9013,4.2927237,0.0,0.0,0.0
21040943417479,-0.82313097,8.896515,4.273581,0.0,0.0,0.0
21040945796489,-0.7704889,8.882157,4.273581,0.0,0.0,0.0
21040948175552,-0.65084773,8.85823,4.2687955,0.0,0.0,0.0
21040950554562,-0.53599226,8.843872,4.2592244,0.0,0.0,0.0
21040952933572,-0.41635114,8.848659,4.249653,0.0,0.0,0.0
21040955312583,-0.31106696,8.867801,4.2448673,0.0,0.0,0.0
21040957691541,-0.24885355,8.886943,4.2352962,0.0,0.0,0.0
21040960070604,-0.19142582,8.896515,4.2448673,0.0,0.0,0.0
21040962449666,-0.15314065,8.882157,4.2161536,0.0,0.0,0.0
21040964828677,-0.15314065,8.877372,4.197011,0.0,0.0,0.0
21040967207687,-0.19621146,8.9013,4.1922255,0.0,0.0,0.0
21040969586697,-0.25842485,8.920443,4.173083,0.0,0.0,0.0
21040971965708,-0.32542387,8.9348,4.168297,0.0,0.0,0.0
21040974344770,-0.40677986,8.9348,4.1587257,0.0,0.0,0.0
21040976723781,-0.4833502,8.930014,4.15394,0.0,0.0,0.0
21040979102791,-0.5838487,8.906086,4.168297,0.0,0.0,0.0
21040981481802,-0.66041905,8.886943,4.182654,0.0,0.0,0.0
21040983860812,-0.7178468,8.9013,4.206582,0.0,0.0,0.0
21040986239822,-0.8039884,8.9013,4.2257247,0.0,0.0,0.0
21040988618885,-0.8422736,8.891729,4.249653,0.0,0.0,0.0
21040990997895,-0.8470592,8.906086,4.2448673,0.0,0.0,0.0
21040993376906,-0.8566305,8.9108715,4.2352962,0.0,0.0,0.0
21040995755916,-0.83748794,8.9108715,4.2352962,0.0,0.0,0.0
21040998134927,-0.80877405,8.906086,4.2592244,0.0,0.0,0.0
21041000513937,-0.75613195,8.877372,4.302295,0.0,0.0,0.0
21041002892999,-0.6652047,8.882157,4.316652,0.0,0.0,0.0
21041005272010,-0.57427746,8.867801,4.316652,0.0,0.0,0.0
21041007651020,-0.4977071,8.853444,4.3070807,0.0,0.0,0.0
21041010030031,-0.43070808,8.853444,4.302295,0.0,0.0,0.0
21041012409041,-0.38285163,8.843872,4.2975097,0.0,0.0,0.0
21041014788104,-0.33020952,8.834301,4.331009,0.0,0.0,0.0
21041017167114,-0.27756742,8.834301,4.3357944,0.0,0.0,0.0
21041019546124,-0.27756742,8.796016,4.331009,0.0,0.0,0.0
21041021925135,-0.28235307,8.810373,4.321438,0.0,0.0,0.0
21041024304145,-0.32063824,8.853444,4.287938,0.0,0.0,0.0
21041026683156,-0.3493521,8.872586,4.240082,0.0,0.0,0.0
21041029062218,-0.37806597,8.896515,4.249653,0.0,0.0,0.0
21041031441229,-0.41156548,8.915657,4.2448673,0.0,0.0,0.0
21041033820239,-0.4642076,8.949157,4.249653,0.0,0.0,0.0
21041036199249,-0.5168497,8.953942,4.240082,0.0,0.0,0.0
21041038578260,-0.5886344,8.958728,4.240082,0.0,0.0,0.0
21041040957270,-0.6221339,8.949157,4.206582,0.0,0.0,0.0
21041043336333,-0.6221339,8.949157,4.1874394,0.0,0.0,0.0
21041045715343,-0.6269195,8.944371,4.1778684,0.0,0.0,0.0
21041048094354,-0.6269195,8.925228,4.182654,0.0,0.0,0.0
21041050473364,-0.6125626,8.9013,4.1922255,0.0,0.0,0.0
21041052852374,-0.57427746,8.877372,4.1874394,0.0,0.0,0.0
21041055231385,-0.53599226,8.9013,4.1922255,0.0,0.0,0.0
21041057610447,-0.5024927,8.896515,4.139583,0.0,0.0,0.0
21041059989458,-0.45942193,8.872586,4.101298,0.0,0.0,0.0
21041062368468,-0.41635114,8.853444,4.0677986,0.0,0.0,0.0
21041064747479,-0.4019942,8.867801,4.0534415,0.0,0.0,0.0
21041067126489,-0.38285163,8.882157,4.0869412,0.0,0.0,0.0
21041069505552,-0.4019942,8.867801,4.0869412,0.0,0.0,0.0
21041071884562,-0.43070808,8.886943,4.0965123,0.0,0.0,0.0
21041074263572,-0.4977071,8.9108715,4.115655,0.0,0.0,0.0
21041076642583,-0.5838487,8.9108715,4.115655,0.0,0.0,0.0
21041079021593,-0.6652047,8.944371,4.125226,0.0,0.0,0.0
21041081400604,-0.7369894,8.953942,4.182654,0.0,0.0,0.0
21041083779666,-0.8327023,8.958728,4.2161536,0.0,0.0,0.0
21041086158677,-0.9236295,8.958728,4.2448673,0.0,0.0,0.0
21041088537687,-0.971486,8.958728,4.26401,0.0,0.0,0.0
21041090916697,-1.0336994,8.953942,4.254439,0.0,0.0,0.0
21041093295708,-1.0624132,8.949157,4.23051,0.0,0.0,0.0
21041095674770,-1.0624132,8.9108715,4.249653,0.0,0.0,0.0
21041098053781,-1.0576276,8.896515,4.26401,0.0,0.0,0.0
21041100432791,-1.0145568,8.886943,4.278367,0.0,0.0,0.0
21041102811802,-0.9667004,8.863015,4.287938,0.0,0.0,0.0
21041105190812,-0.8805587,8.863015,4.3070807,0.0,0.0,0.0
21041107569822,-0.75613195,8.85823,4.278367,0.0,0.0,0.0
21041109948885,-0.67477596,8.839087,4.26401,0.0,0.0,0.0
21041112327895,-0.59342,8.863015,4.249653,0.0,0.0,0.0
21041114706906,-0.5072784,8.867801,4.240082,0.0,0.0,0.0
21041117085916,-0.43070808,8.867801,4.254439,0.0,0.0,0.0
