t_ns,ax,ay,az
18939641653054,-1.4898201,0.032381058,-0.56972885
18939646411700,-0.16163492,-0.57683086,-2.1606798
18939651170294,0.046268225,-1.4614997,-1.6506708
18939655928940,-0.070170164,-0.10326195,-1.8100297
18939660687585,0.485731,0.5773201,-0.5383878
18939665446231,-0.5377444,-0.6913972,-0.98082495
18939670204877,-0.5253395,-0.2799492,-0.25143814
18939674963471,-0.8469579,-0.71735287,1.700407
18939679722117,-1.1744816,-0.3008995,-2.1382244
18939684480763,-0.78725505,1.3549929,-1.3390093
18939689239356,-1.0719801,0.22900486,-0.13752365
18939693998002,-1.3204829,-0.16506481,-1.1311288
18939698756648,-1.2765259,0.26384258,0.82984114
18939703515294,-0.4230671,0.2380085,-1.3530064
18939708273940,-1.093487,-0.32794666,-0.372797
18939713032533,0.28890324,-0.43171978,1.0264063
18939717791179,0.9918512,-0.49763393,-0.33277464
18939722549825,-0.11871171,0.4822731,-0.4770279
18939727308419,1.2383193,0.52180386,0.020952225
18939732067065,-1.2020929,-0.21887875,0.19046354
18939736825710,-0.5011467,-0.6407776,-0.8622143
18939741584356,-0.32703602,-0.9826088,-0.4568119
18939746343002,-1.5182767,-0.91210365,-1.0781608
18939751101596,-0.3369367,-0.28172493,-1.3696253
18939755860242,-2.1847577,0.4968624,-0.071162224
18939760618888,-1.1712968,0.33864594,0.10417223
18939765377533,-0.68786824,-0.0061244965,1.1047983
18939770136127,-1.3412635,0.3893633,0.9080939
18939774894773,0.03543496,1.5724449,-0.036610126
18939779653419,-1.0188284,1.3025246,0.8409076
18939784412065,-0.29557836,0.11021519,0.66523314
18939789170658,0.22995722,-0.06159115,0.28959608
18939793929304,0.9889675,0.35156822,-1.1699612
18939798687950,1.6536194,-0.12716961,-0.5846791
18939803446596,-0.75998104,0.22056389,1.277947
18939808205242,0.492347,-0.028428078,0.0068650246
18939812963835,-0.678357,-0.5771389,-0.7995057
18939817722742,-1.0376076,-1.5522118,0.45693445
18939822481127,-1.4432551,-1.7030249,1.8444014
18939827239773,-1.4836082,0.644537,-0.67995787
18939831998367,0.26110947,0.040468216,-1.0863771
18939836757013,-1.771621,-0.7919011,-0.27537823
18939841515658,-0.8632804,1.4427757,2.3302302
18939846274304,0.60813713,1.1859999,2.9006853
18939851032846,-0.6626142,0.5357876,-0.49869633
18939855791544,1.004961,1.2736759,1.174231
18939860550190,-0.009412885,0.93494034,2.3553839
18939865308835,-0.46058655,-0.12173939,0.94380903
18939870067481,0.3812424,0.27439022,0.42972326
18939874826075,-0.5879005,1.1082268,-0.9326985
18939879584721,-0.65419984,-0.96261644,-0.8229542
18939884343367,-1.5279114,-0.5201559,-0.21249342
18939889102013,-0.47814453,-0.54830074,-0.7091193
18939893860606,-0.9783131,-2.575316,-2.8315244
18939898619252,-1.6030777,-1.5701947,-2.257802
18939903377898,0.3635193,-2.45437,-0.41336107
18939908136544,-0.9798943,-3.8130994,-2.6247153
18939912895190,-0.21848404,-1.292808,-0.37535763
18939917653783,1.2958751,-1.3757029,1.6925077
18939922412429,-1.4874157,-0.09056854,0.07592058
18939927171075,1.3143997,0.8292446,2.0872636
18939931929721,0.62538636,1.2295713,1.3974109
18939936688263,-0.030096412,1.0213566,1.1668372
18939941446960,0.5437561,1.3689451,2.8435655
18939946205606,-1.0815727,1.5902109,1.3208475
18939950964252,0.3761394,1.2890291,-0.2723713
18939955722898,-0.39171374,1.7509184,0.59348345
18939960481492,-0.8107346,0.24319172,0.4311266
18939965240138,0.12277961,0.13896179,-0.80349374
18939969998783,0.14363551,0.65001774,-1.2189159
18939974757429,0.3885734,0.8978424,-0.8294394
18939979516023,0.30198503,0.18297768,0.5313206
18939984274669,0.38982403,0.801095,0.08163357
18939989033315,1.2367508,1.0127325,1.1220484
18939993791960,0.76247597,1.207695,1.4207368
18939998550606,1.2957135,0.42552662,-0.3886919
18940003309200,0.48065853,0.90422344,-1.5795224
18940008067846,0.69327164,0.47902775,-1.4107077
18940012826492,0.049001694,-0.5602293,-2.039254
18940017585138,-0.7788727,0.6556673,-1.3050709
18940022343731,-0.084207535,-0.28321362,-1.1810966
18940027102377,-1.534986,0.4620905,-2.524334
18940031861023,0.56574917,0.3161173,0.46430683
18940036619669,0.47598195,-1.1488314,0.15999126
18940041378315,-0.06296182,0.32263088,0.41782188
18940046136908,2.7052236,-0.6973524,0.42674732
18940050895554,1.1204298,0.0024929047,-3.295371
