t_ns,gx,gy,gz,bx,by,bz
18915545676359,0.04214967,0.14294235,-0.018936807,-0.011551892,6.854045E-4,0.006857684
18915548055577,0.06291907,0.1631009,-0.06963859,-0.011551892,6.854045E-4,0.006857684
18915550434796,0.05253437,0.17715079,-0.103236146,-0.011551892,6.854045E-4,0.006857684
18915552813963,0.064140804,0.1404989,-0.07941242,-0.011551892,6.854045E-4,0.006857684
18915555193129,0.08307761,0.07513637,0.022601997,-0.011551892,6.854045E-4,0.006857684
18915557572348,0.073303774,0.11728604,0.112399116,-0.011551892,6.854045E-4,0.006857684
18915559951567,0.018325943,0.12767074,0.07696896,-0.011551892,6.854045E-4,0.006857684
18915562330734,-0.0067195124,-0.010995566,-0.009162972,-0.011551892,6.854045E-4,0.006857684
18915564709952,0.02932151,-0.14172062,-0.040317077,-0.011551892,6.854045E-4,0.006857684
18915567089171,0.056199558,-0.21013749,0.04703659,-0.011551892,6.854045E-4,0.006857684
18915569468338,0.0012217296,-0.16737695,0.12339468,-0.011551892,6.854045E-4,0.006857684
18915571847504,-0.023823727,-0.0036651888,0.16737695,-0.011551892,6.854045E-4,0.006857684
18915574226723,-0.007941242,-0.0073303776,0.115453444,-0.011551892,6.854045E-4,0.006857684
18915576605942,0.058032155,-0.051923506,0.045814857,-0.011551892,6.854045E-4,0.006857684
18915578985109,0.068416856,-0.06352994,0.0024434591,-0.011551892,6.854045E-4,0.006857684
18915581364327,-0.03054324,-0.020769402,-0.06169734,-0.011551892,6.854045E-4,0.006857684
18915583743546,-0.10262528,0.032986697,-0.0140498895,-0.011551892,6.854045E-4,0.006857684
18915586122713,-0.07880156,0.14905101,0.07513637,-0.011551892,6.854045E-4,0.006857684
18915588501879,-0.01282816,0.1924224,0.1404989,-0.011551892,6.854045E-4,0.006857684
18915590881098,0.019547673,0.31826055,0.06291907,-0.011551892,6.854045E-4,0.006857684
18915593260317,-0.046425723,0.2547306,-0.115453444,-0.011551892,6.854045E-4,0.006857684
18915595639484,-0.10262528,0.20097451,-0.18997894,-0.011551892,6.854045E-4,0.006857684
18915598018702,-0.16371176,0.21074834,-0.13439025,-0.011551892,6.854045E-4,0.006857684
18915600397921,-0.22296564,0.2614501,-0.06658426,-0.011551892,6.854045E-4,0.006857684
18915602777088,-0.1753182,0.35857764,0.016493348,-0.011551892,6.854045E-4,0.006857684
18915605156254,-0.11300998,0.2828304,-0.011606431,-0.011551892,6.854045E-4,0.006857684
18915607535473,-0.034819294,0.18692462,-0.025045456,-0.011551892,6.854045E-4,0.006857684
18915609914692,-0.03176497,0.20036365,-0.046425723,-0.011551892,6.854045E-4,0.006857684
18915612293859,-0.118507765,0.16615522,-0.08918626,-0.011551892,6.854045E-4,0.006857684
18915614673077,-0.18448116,0.13927718,-0.08857539,-0.011551892,6.854045E-4,0.006857684
18915617052296,-0.24862197,-0.03848448,-0.08857539,-0.011551892,6.854045E-4,0.006857684
18915619431463,-0.23701553,-0.09468404,-0.013439025,-0.011551892,6.854045E-4,0.006857684
18915621810629,-0.15577053,0.0073303776,0.056199558,-0.011551892,6.854045E-4,0.006857684
18915624189848,-0.080634154,-0.034208428,0.07147118,-0.011551892,6.854045E-4,0.006857684
18915626569067,-0.019547673,-0.12156209,0.043982264,-0.011551892,6.854045E-4,0.006857684
18915628948234,-0.03848448,-0.25106543,0.053145237,-0.011551892,6.854045E-4,0.006857684
18915631327452,-0.09834923,-0.23090689,0.100181825,-0.011551892,6.854045E-4,0.006857684
18915633706671,-0.15149446,-0.19669846,0.10506874,-0.011551892,6.854045E-4,0.006857684
18915636085838,-0.1178969,-0.26755878,0.08857539,-0.011551892,6.854045E-4,0.006857684
