t_ns,gx,gy,gz
20923953573983,0.6526282,8.852321,4.1690383
20923958331900,0.65163785,8.852466,4.168884
20923963089816,0.64836496,8.853129,4.167988
20923967847785,0.6422888,8.854771,4.165439
20923972605702,0.634022,8.855547,4.1650567
20923977363618,0.6250361,8.856383,4.1646366
20923982121535,0.6174614,8.857035,4.16438
20923986879452,0.6144417,8.856736,4.1654634
20923991637421,0.6169063,8.855915,4.1668434
20923996395337,0.62383664,8.854883,4.168005
20924001153254,0.6321666,8.854734,4.167066
20924005911171,0.6388582,8.854725,4.1660647
20924010669087,0.6408399,8.855216,4.164714
20924015427056,0.63738143,8.856504,4.1625066
20924020184973,0.62945986,8.857211,4.162208
20924024942889,0.6193121,8.857443,4.163238
20924029700806,0.6102551,8.857059,4.165392
20924034458723,0.60566837,8.856217,4.167849
20924039216691,0.6079701,8.855238,4.1695933
20924043974608,0.61698353,8.853981,4.170939
20924048732525,0.629777,8.853016,4.171075
20924053490441,0.6427891,8.851792,4.171689
20924058248358,0.65263844,8.85073,4.1724124
20924063006327,0.6569215,8.850334,4.1725783
20924067764243,0.65501696,8.849811,4.173991
20924072522160,0.64735687,8.849869,4.1750636
20924077280077,0.63639313,8.850021,4.176424
20924082037993,0.62534773,8.850323,4.1774526
20924086795962,0.61802256,8.850518,4.178127
20924091553879,0.6171625,8.850536,4.17822
20924096311796,0.6227922,8.85094,4.176528
20924101069712,0.631697,8.850599,4.175912
20924105827629,0.6405081,8.849861,4.176134
20924110585598,0.64632106,8.848839,4.1774044
20924115343514,0.6473649,8.849291,4.176285
20924120101431,0.6439248,8.85011,4.175081
20924124859348,0.63791066,8.84928,4.177763
20924129617316,0.63102573,8.8497715,4.177767
20924134375233,0.6254864,8.850889,4.1762314
20924139133150,0.6225242,8.851347,4.175704
20924143891066,0.624122,8.851309,4.175548
20924148648983,0.6295727,8.851478,4.174369
20924153406900,0.63707674,8.85167,4.1728244
20924158164868,0.64506125,8.850891,4.17325
20924162922785,0.6507544,8.850283,4.1736555
20924167680702,0.653685,8.850258,4.17325
20924172438618,0.6526606,8.849827,4.174323
20924177196535,0.6485072,8.849634,4.175379
20924181954504,0.6427548,8.850158,4.175161
20924186712421,0.6374547,8.850575,4.1750875
20924191470337,0.6354475,8.85094,4.1746216
20924196228254,0.63612884,8.851145,4.174083
20924200986171,0.6392545,8.851117,4.1736627
20924205744139,0.6435728,8.850768,4.173741
20924210502056,0.64709496,8.850061,4.1746936
20924215259973,0.6493245,8.849705,4.1751037
20924220017889,0.6490349,8.849588,4.175394
20924224775858,0.64729893,8.849794,4.1752295
20924229533775,0.6438016,8.850225,4.1748567
20924234291639,0.6397344,8.850367,4.175182
20924239049608,0.6368913,8.850475,4.1753864
20924243807525,0.63569486,8.850176,4.176202
20924248565493,0.63589454,8.849704,4.17717
20924253323410,0.6365417,8.849123,4.1783032
20924258081275,0.6368931,8.8489275,4.1786647
20924262839243,0.63647056,8.849253,4.1780405
20924267597160,0.6348685,8.849393,4.1779866
20924272355129,0.6332437,8.849408,4.1782007
20924277113046,0.631226,8.849564,4.1781764
20924281870962,0.629074,8.849578,4.178471
20924286628879,0.62707645,8.849351,4.179252
20924291386796,0.62534803,8.848978,4.1803017
20924296144764,0.62358004,8.848791,4.1809607
20924300902681,0.6218899,8.848833,4.1811233
20924305660598,0.62014836,8.848895,4.181253
20924310418514,0.6182951,8.849291,4.1806884
20924315176431,0.6160409,8.849741,4.1800675
20924319934400,0.6137673,8.850014,4.1798234
20924324692316,0.61127305,8.850303,4.179576
20924329450233,0.6086438,8.850505,4.179534
20924334208150,0.6060995,8.850381,4.1801653
20924338966066,0.6046742,8.850196,4.1807632
20924343724035,0.60493237,8.850301,4.1805067
20924348481952,0.6068532,8.8504715,4.179865
20924353239868,0.61009395,8.850387,4.1795735
20924357997889,0.6136194,8.850455,4.1789093
20924362755650,0.61640835,8.850562,4.1782765
20924367513671,0.61750734,8.850348,4.178565
20924372271587,0.61733544,8.850057,4.179207
20924377029504,0.6163744,8.85007,4.1793222
20924381787421,0.6160823,8.850053,4.179402
20924386545337,0.6173327,8.849889,4.179563
20924391303306,0.6204741,8.850005,4.1788516
20924396061223,0.62489825,8.850091,4.1780114
20924400819139,0.6296985,8.849913,4.177669
20924405577056,0.63357633,8.84974,4.1774487
20924410335025,0.63571733,8.8495455,4.177532
20924415092941,0.63611084,8.84922,4.178163
20924419850858,0.63567615,8.848727,4.179275
20924424608775,0.63526154,8.848444,4.179936
20924429366691,0.63540417,8.848295,4.1802287
20924434124660,0.6359983,8.84804,4.1806803
20924438882577,0.63688064,8.8480425,4.1805387
20924443640493,0.63756776,8.84831,4.1798677
20924448398410,0.6373447,8.848551,4.179393
20924453156327,0.63610184,8.848657,4.179357
20924457914296,0.633961,8.848769,4.1794453
20924462672212,0.6312548,8.848922,4.179533
20924467430129,0.6287273,8.849126,4.179482
20924472188046,0.62660545,8.84972,4.178539
20924476945962,0.6246294,8.850115,4.1780024
20924481703931,0.6221883,8.850371,4.1778235
20924486461848,0.61921704,8.850752,4.177458
20924491219764,0.6156234,8.851045,4.177369
20924495977681,0.6115734,8.851267,4.1774926
20924500735650,0.60764027,8.8512945,4.1780076
