t_ns,value
96594157745452,49.0
96594957739411,48.0
96595277756338,49.0
96596397741546,48.0
96596717747379,49.0
96597037743109,48.0
96597197743421,49.0
96598317815036,48.0
96598637742640,49.0
96600237742900,48.0
96600877741182,49.0
96601197742484,48.0
96601517739411,49.0
96604877801286,48.0
96605357739671,49.0
96609677744671,49.0
96612237745192,48.0
96612717941234,49.0
96613037746442,48.0
96613357744150,49.0
96615437741650,48.0
96615597742015,49.0
96616237742067,48.0
96616877740869,49.0
96617357761650,43.0
96617517740921,48.0
96617677742536,49.0
96618957742327,48.0
96619117742640,49.0
96619277755117,48.0
96619437741888,49.0
96619597749231,48.0
96620077742252,42.0
96620237741836,48.0
96622477740638,49.0
96622797741992,48.0
96623757739440,49.0
96624717742044,48.0
96624877745534,49.0
96625037741836,48.0
96626317740013,49.0
96626477746211,48.0
96626637741367,49.0
96626797742200,48.0
96630157742148,49.0
96630317740117,36.0
96630477761367,48.0
96631277744752,49.0
96631437742513,48.0
96632077744284,46.0
96632237739179,48.0
96634957739492,44.0
96635117741315,49.0
96635277741836,36.0
96635437739231,48.0
96636397744075,47.0
96636877738867,44.0
96637037776419,47.0
96637197741836,48.0
96637357742513,47.0
96637517742409,48.0
96639757741419,49.0
96639917742773,48.0
96640077739752,49.0
96640237743554,48.0
96640717739336,49.0
96642957744596,48.0
96643117743346,49.0
96643757742356,48.0
96643917743086,49.0
96645997739179,48.0
96646317742877,44.0
96646477742252,48.0
96646637740013,49.0
96646797743086,48.0
96647117743086,49.0
96648717740221,47.0
96648877741106,49.0
96650637739492,48.0
96650957742617,49.0
96652717916211,48.0
96653037741836,49.0
96657357743867,49.0
96661677739804,49.0
96665997742825,49.0
96669357743502,48.0
96669677741627,49.0
96670637789544,43.0
96670797740013,48.0
96670957739804,49.0
96674797739700,48.0
96675437742200,49.0
96676237741367,48.0
96677357739336,49.0
96681677742489,49.0
96684237745458,50.0
96684557739468,49.0
96684717740250,50.0
96684877742646,49.0
96685037746187,50.0
96685197741916,49.0
96685357739729,50.0
96685837742854,49.0
96685997739416,50.0
96686157746135,49.0
96686317742125,50.0
96687117745302,49.0
96687277740041,50.0
96687597744729,49.0
96688237742541,50.0
96688397745510,49.0
96688557739885,50.0
96688717918375,49.0
96689837739104,50.0
96689997744937,49.0
96690637743166,50.0
96690797741604,49.0
96692237750302,50.0
96692397744156,49.0
96692557740041,50.0
96692717743479,49.0
96692877743062,50.0
96693197740771,49.0
96693517746448,50.0
96693997742541,49.0
96694477740041,50.0
96695757739781,49.0
96695917887021,50.0
96697037743479,49.0
96697997744625,50.0
96698317739885,49.0
96698477744104,50.0
96698637739416,49.0
96698957740198,50.0
96699437747125,49.0
96699597739468,50.0
96700557744364,49.0
96700717744364,50.0
96701837779260,49.0
96706157740354,49.0
96710477744729,49.0
96714797740041,49.0
96719117743114,49.0
96723437743271,49.0
96727757740041,49.0
96732077744833,49.0
96736397740718,49.0
96737037739885,50.0
96737197741239,49.0
96737997740041,50.0
96738157743739,49.0
96738477743635,50.0
96738637743218,49.0
96738797745146,50.0
96738957740250,49.0
96739597739498,50.0
96739757796998,49.0
96740717740436,37.0
96741037919706,42.0
96741197742571,45.0
96741357742206,36.0
96741517739081,37.0
96742157740227,47.0
96742317741946,49.0
96743437738821,50.0
96743757743508,49.0
96744237739081,50.0
96744557741269,49.0
96746957879029,44.0
96747117742467,36.0
96747277741998,37.0
96747597944602,38.0
96747757742363,36.0
96747917742883,37.0
96748717739394,40.0
96748877745019,48.0
96749037742988,49.0
96750157739186,48.0
96754477741998,48.0
96758797740956,48.0
96759917739446,49.0
96763117739238,50.0
96763437744029,49.0
96765037744029,50.0
96765197739446,49.0
96765677742206,37.0
96765837739133,36.0
96766317741998,47.0
96766477739081,42.0
96766637747571,49.0
96766957742675,48.0
96767117739758,49.0
96767277822363,42.0
96767437741217,36.0
96767917898404,46.0
96768077741894,42.0
96768237796738,47.0
96768397740071,49.0
96769357741113,50.0
96769517742467,49.0
96770157741477,48.0
96770637741842,44.0
96770797742154,41.0
96770957740383,42.0
96771117744186,49.0
96771437746165,44.0
96771597742519,49.0
96773357742206,41.0
96773517745019,37.0
96773837800800,39.0
96774157742571,37.0
96774317739550,38.0
96774477837154,49.0
96777357743352,45.0
96777517739863,49.0
96781837742258,49.0
96786157739498,49.0
96786797739915,44.0
96786957742779,42.0
96787117742050,44.0
96787277739967,49.0
96788077738925,48.0
96788557742102,49.0
96790637741686,48.0
96792557738977,47.0
96792877741633,46.0
96793037767258,47.0
96793357739342,48.0
96793517741946,49.0
96796717807467,48.0
96798797741217,49.0
96798957742102,48.0
96799117739394,49.0
96799437741611,48.0
96799597774111,49.0
96799757739527,48.0
96800077742548,49.0
96804237742548,48.0
96805517739840,49.0
96806317739111,48.0
96806477914892,47.0
96806957741038,48.0
96807277739996,49.0
96811597745361,49.0
96812717741715,48.0
96813197743486,49.0
96813837741923,44.0
96813997745881,37.0
96814157739006,49.0
96816717739579,45.0
96816877738850,48.0
96817197754996,49.0
96817677740308,48.0
96820397741142,46.0
96820717738902,47.0
96820877860152,49.0
96821197741715,48.0
96821357739215,41.0
96821517873486,45.0
96821677742808,48.0
96825997738902,48.0
96828717809006,49.0
96829357815986,43.0
96829517741454,39.0
96829677742131,43.0
96829837738746,46.0
96829997909423,48.0
96830157742600,49.0
96830317741819,50.0
96830477739788,49.0
96831117739527,50.0
96831917741558,49.0
96834317743329,50.0
96834477739840,49.0
96838797742340,49.0
96843117743069,49.0
96843757747392,48.0
96843917744579,41.0
96844077744579,31.0
96844557743225,45.0
96844717744944,49.0
96849037744111,49.0
96852717739058,50.0
96852877797392,49.0
96853517837340,48.0
96853997739319,47.0
96854157870048,48.0
96854317742288,49.0
96857357739475,50.0
96857517745152,49.0
96859117739892,50.0
96859757742056,49.0
96859917739712,50.0
96860237743566,49.0
96860557739452,50.0
96861357822160,49.0
96861677742212,50.0
96861837739660,49.0
96861997898410,50.0
96862317742681,49.0
96862477739348,50.0
96864397739400,49.0
96864717742056,50.0
96865357740650,49.0
96865517741691,50.0
96865837739816,49.0
96865997741379,50.0
96866157742473,49.0
96867117739608,48.0
96867277742525,49.0
96867597801796,48.0
96867757740025,49.0
96867917788150,48.0
96868877741639,49.0
96869197827369,48.0
96869677739504,49.0
96873997744556,49.0
96874317739660,50.0
96874477752837,49.0
96874957739608,48.0
96877677739556,47.0
96877997761066,48.0
96878477742785,47.0
96878797740129,48.0
96880557744504,49.0
96881357743410,48.0
96881677871275,47.0
96881997746587,48.0
96882157739869,47.0
96882637825441,48.0
96883277742369,49.0
96885037744869,48.0
96885197744921,42.0
96885357743879,39.0
96885517739504,40.0
96885677746066,44.0
96885837743827,49.0
96886957803879,48.0
96887117744139,49.0
96887277742629,48.0
96887437739348,49.0
96888557744452,48.0
96889037744764,49.0
96889357740025,48.0
96890317742056,49.0
96894637739556,49.0
96896397744608,45.0
96896557743410,36.0
96896717740077,44.0
96896877763879,39.0
96897037741744,43.0
96897357740077,46.0
96897517857994,49.0
96897677741431,47.0
96897837744921,48.0
96898637740025,49.0
96898797743150,48.0
96899917739608,34.0
96900077739035,31.0
96900237744452,47.0
96900397745129,48.0
96900717739452,49.0
96903917739400,48.0
96904077742473,49.0
96904717740494,38.0
96904877741587,43.0
96905037745962,49.0
96908077874869,50.0
96908237742473,49.0
96909197738931,48.0
96909357744764,49.0
96909997741119,48.0
96910797742473,47.0
96910957744296,46.0
96911117739556,47.0
96911277739556,49.0
96915597744921,49.0
96918317744712,48.0
96918477739712,49.0
96920877742399,48.0
96921037745576,49.0
96925357741774,49.0
96929517740628,48.0
96929677739899,49.0
96930157741878,50.0
96930317743388,49.0
96930797740628,50.0
96930957739743,49.0
96932397735107,50.0
96933357742138,49.0
96933517744013,50.0
96937037740315,49.0
96937197742034,38.0
96937357741930,40.0
96937517765003,37.0
96937677739743,41.0
96937837740940,50.0
96938157745368,42.0
96938317739326,49.0
96938637740993,50.0
96940237739482,49.0
96940397742295,50.0
96943277745107,49.0
