run,dir,cut,mode,mm,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s
16,AB,turn,general,0,230.39,67.45,15.75,6.84,6.76,15.75,15.8,15.0
17,BA,c10,general,0,276.1,71.88,24.02,8.7,14.68,24.02,24.3,15.0
17,BA,c30,general,0,197.54,51.88,14.21,7.19,9.99,14.21,14.49,15.0
17,BA,c60,general,0,68.6,21.88,10.48,15.27,7.82,10.48,10.76,15.0
17,BA,turn,general,0,99.24,29.26,11.32,11.41,8.2,11.32,11.61,15.0
18,AB,c10,general,0,271.17,65.54,2.06,0.76,8.07,11.45,1.4,15.0
18,AB,c30,general,0,171.71,45.54,4.39,2.55,3.62,5.97,5.34,15.0
18,AB,c60,general,0,41.97,15.54,6.57,15.66,2.7,6.57,7.52,15.0
18,AB,turn,general,0,221.84,55.1,3.95,1.78,5.05,7.65,4.84,15.0
19,BA,c10,general,0,262.14,57.32,11.81,4.51,7.56,11.81,11.43,15.01
19,BA,c30,general,0,146.58,37.32,10.27,7.01,6.79,10.27,9.85,15.01
19,BA,turn,general,0,97.41,26.95,9.22,9.46,6.48,9.22,8.79,15.01
20,AB,c10,general,0,272.8,67.49,9.82,3.6,9.6,11.87,9.46,15.0
20,AB,c30,general,0,173.64,47.49,10.11,5.82,9.08,11.14,9.76,15.0
20,AB,c60,general,0,49.42,17.49,2.52,5.1,2.57,3.41,2.51,15.0
20,AB,turn,general,0,224.2,58.28,9.96,4.44,9.06,11.48,9.6,15.0
21,BA,c10,general,0,277.75,72.21,17.14,6.17,11.91,17.88,16.75,15.0
21,BA,c30,general,0,187.39,52.21,10.8,5.76,7.37,10.92,11.16,15.0
21,BA,c60,general,0,63.61,22.21,9.19,14.44,7.24,9.3,9.34,15.0
21,BA,turn,general,0,98.83,31.44,10.09,10.21,7.68,10.19,10.21,15.0
