t_ns,gx,gy,gz
19031828264854,-0.4106086,8.939557,4.0107493
19031833023240,-0.40982744,8.938806,4.012503
19031837781625,-0.40932292,8.938948,4.01224
19031842540011,-0.40919206,8.939419,4.011201
19031847298396,-0.4096081,8.937832,4.014692
19031852056834,-0.4115028,8.936145,4.0182543
19031856815219,-0.41407645,8.936164,4.0179477
19031861573604,-0.41743904,8.934744,4.0207586
19031866331990,-0.42087927,8.931255,4.0281434
19031871090375,-0.42311406,8.928898,4.0331306
19031875848761,-0.4236633,8.928584,4.0337667
19031880607198,-0.42238864,8.927519,4.0362573
19031885365584,-0.4189633,8.92598,4.040017
19031890123969,-0.41433215,8.926339,4.0397024
19031894882354,-0.4089571,8.927503,4.0376763
19031899640740,-0.40372002,8.927541,4.0381193
19031904399125,-0.39897582,8.928072,4.0374155
19031909157563,-0.3947779,8.930478,4.032504
19031913915948,-0.3912078,8.932626,4.0280943
19031918674334,-0.3880955,8.933521,4.0264096
19031923432719,-0.38479137,8.935199,4.0230007
19031928191104,-0.38164854,8.937173,4.018915
19031932949490,-0.37866318,8.937533,4.0183954
19031937707927,-0.37651497,8.937283,4.0191555
19031942466313,-0.37518322,8.938144,4.0173655
19031947224698,-0.37489417,8.939274,4.014878
19031951983084,-0.37470546,8.938951,4.015611
19031956741469,-0.37409055,8.938296,4.0171256
19031961499854,-0.37227264,8.938171,4.017572
19031966258240,-0.36881396,8.937491,4.0194044
19031971016677,-0.3641019,8.935935,4.0232906
19031975775063,-0.35863957,8.935188,4.02544
19031980533448,-0.35387585,8.935205,4.025826
19031985291834,-0.35087666,8.934556,4.02753
19031990050219,-0.3507585,8.933575,4.0297155
19031994808604,-0.35296923,8.933136,4.030495
19031999567042,-0.35669187,8.932559,4.031444
19032004325427,-0.36077806,8.931509,4.0334067
19032009083813,-0.36364523,8.930676,4.0349927
19032013842198,-0.36451417,8.930476,4.0353584
19032018600532,-0.36317173,8.930366,4.035723
19032023358969,-0.35995972,8.930056,4.0366974
19032028117407,-0.35565582,8.930177,4.03681
19032032875792,-0.3513472,8.930873,4.035648
19032037634177,-0.34797832,8.931517,4.0345135
19032042392563,-0.3462157,8.932112,4.033347
19032047150948,-0.34595358,8.933334,4.0306616
19032051909334,-0.34711802,8.934657,4.0276284
19032056667719,-0.34865826,8.93524,4.026205
19032061426157,-0.34930694,8.935754,4.0250072
19032066184542,-0.34866166,8.93667,4.023026
19032070942927,-0.34634754,8.937314,4.021796
19032075701313,-0.34310257,8.937213,4.022299
19032080459698,-0.3395751,8.937325,4.022352
19032085218084,-0.33614415,8.937562,4.0221124
19032089976521,-0.33343932,8.937465,4.022554
19032094734907,-0.33095932,8.937139,4.0234833
19032099493292,-0.32843283,8.937089,4.0237975
19032104251677,-0.32523698,8.937147,4.023929
19032109010063,-0.32114226,8.937118,4.024324
19032113768448,-0.31619674,8.937204,4.024523
19032118526834,-0.3108737,8.937318,4.024684
19032123285271,-0.3053686,8.937291,4.025166
19032128043657,-0.30050904,8.936739,4.0267577
19032132802042,-0.2965168,8.936098,4.0284777
19032137560427,-0.29372096,8.936575,4.0276237
19032142318813,-0.29186082,8.937212,4.0263443
19032147077198,-0.2903112,8.937001,4.026923
19032151835584,-0.2888236,8.93732,4.026323
19032156594021,-0.28679287,8.938473,4.0239086
19032161352407,-0.2838734,8.939034,4.0228686
19032166110740,-0.28050077,8.938858,4.0234957
19032170869177,-0.27694008,8.939594,4.022106
