t_ns,ax,ay,az,accuracy
19031213780584,-0.15792629,8.9826565,4.1204405,3
19031216159802,-0.15314065,8.977871,4.1108694,3
19031218538969,-0.13878371,8.9826565,4.0869412,3
19031220918188,-0.14356937,8.949157,4.0295134,3
19031223297407,-0.23449662,8.944371,4.0007997,3
19031225676573,-0.32542387,8.944371,4.0103707,3
19031228055792,-0.3924229,8.915657,4.0534415,3
19031230434959,-0.5024927,8.930014,4.106084,3
19031232814177,-0.5982057,8.877372,4.1108694,3
19031235193396,-0.67477596,8.863015,4.091727,3
19031237572563,-0.72741807,8.863015,4.063013,3
19031239951782,-0.76570326,8.863015,4.063013,3
19031242330948,-0.76570326,8.891729,4.0534415,3
19031244710167,-0.7513463,8.863015,4.063013,3
19031247089386,-0.7322037,8.877372,4.0773697,3
19031249468552,-0.65084773,8.920443,4.101298,3
19031251847771,-0.5694918,8.925228,4.1108694,3
19031254226938,-0.4977071,8.963513,4.0773697,3
19031256606157,-0.40677986,9.01137,4.063013,3
19031258985375,-0.36370903,9.059227,4.091727,3
19031261364542,-0.32542387,9.092726,4.0773697,3
19031263743761,-0.29671,9.15494,4.0773697,3
19031266122927,-0.26799613,9.178867,4.072584,3
19031268502146,-0.30149564,9.174082,4.0534415,3
19031270881313,-0.37328035,9.15494,4.0295134,3
19031273260532,-0.4881358,9.15494,4.024728,3
19031275639750,-0.5886344,9.135797,4.0151563,3
19031278018917,-0.7178468,9.097511,4.034299,3
19031280398136,-0.8327023,9.073584,4.0390844,3
19031282777354,-0.9092726,9.040084,4.0677986,3
19031285156521,-1.0145568,9.016156,4.0390844,3
19031287535740,-1.134198,8.997013,4.0103707,3
19031289914907,-1.2107682,8.977871,4.005585,3
19031292294125,-1.2777673,8.963513,3.9864426,3
19031294673344,-1.3304094,8.930014,3.9720855,3
19031297052511,-1.3351951,8.925228,4.005585,3
19031299431729,-1.3304094,8.920443,3.9960139,3
19031301810896,-1.3495519,8.925228,3.9864426,3
19031304190115,-1.2921243,8.9348,3.9816568,3
19031306569282,-1.1724831,8.953942,3.9960139,3
19031308948500,-1.0671989,8.968299,3.9960139,3
19031311327719,-0.9619147,8.987442,3.991228,3
19031313706886,-0.8327023,8.997013,4.024728,3
19031316086104,-0.6795616,8.997013,4.0295134,3
19031318465271,-0.5312066,9.001799,4.0390844,3
19031320844490,-0.4546363,9.001799,4.024728,3
19031323223657,-0.3493521,8.992228,4.024728,3
19031325602875,-0.25842485,8.997013,4.0295134,3
19031327982094,-0.17228323,9.001799,4.0151563,3
19031330361261,-0.148355,9.016156,4.0438704,3
19031332740479,-0.148355,8.977871,4.0534415,3
19031335119698,-0.15314065,8.987442,4.082155,3
19031337498865,-0.19142582,9.006584,4.0869412,3
19031339878084,-0.23928227,9.030513,4.0869412,3
19031342257250,-0.29192436,9.025727,4.063013,3
19031344636469,-0.34456646,9.040084,4.048656,3
19031347015636,-0.41156548,9.035298,4.0390844,3
19031349394854,-0.45942193,9.006584,4.0773697,3
19031351774073,-0.47856453,8.987442,4.091727,3
19031354153240,-0.4977071,8.958728,4.115655,3
19031356532459,-0.4881358,8.949157,4.125226,3
19031358911625,-0.4642076,8.949157,4.1108694,3
19031361290844,-0.41156548,8.949157,4.072584,3
19031363670063,-0.3589234,8.977871,4.0390844,3
19031366049229,-0.2727818,8.973084,4.024728,3
19031368428448,-0.2105684,8.973084,4.024728,3
19031370807615,-0.15792629,8.977871,4.0390844,3
19031373186834,-0.1052842,8.963513,4.058227,3
19031375566052,-0.05742774,8.987442,4.0677986,3
19031377945219,-0.019142581,9.001799,4.0773697,3
19031380324438,-0.014356935,9.001799,4.0677986,3
19031382703604,-0.014356935,9.016156,4.034299,3
19031385082823,-0.0047856453,9.059227,4.0295134,3
19031387462042,-0.023928227,9.083155,4.0438704,3
19031389841209,-0.07178468,9.083155,4.0677986,3
19031392220427,-0.09571291,9.097511,4.082155,3
19031394599594,-0.11485548,9.0544405,4.063013,3
19031396978813,-0.13399807,9.044869,4.058227,3
19031399357927,-0.15792629,9.01137,4.058227,3
19031401737198,-0.2009971,9.01137,4.048656,3
19031404116417,-0.22971097,8.987442,4.0151563,3
