t_ns,ax,ay,az,accuracy
18826861399350,-1.4069797,8.930014,4.019942,3
18826863778569,-1.3974084,8.920443,4.034299,3
18826866157840,-1.3830515,8.915657,4.034299,3
18826868537059,-1.3543376,8.953942,4.0295134,3
18826870916329,-1.3160524,8.925228,4.019942,3
18826873295548,-1.282553,8.886943,4.019942,3
18826875674819,-1.282553,8.9108715,4.005585,3
18826878054038,-1.282553,8.906086,4.0151563,3
18826880433309,-1.253839,8.896515,4.0295134,3
18826882812527,-1.2490535,8.906086,4.0438704,3
18826885191798,-1.2586247,8.906086,4.0677986,3
18826887571017,-1.2634103,8.886943,4.0677986,3
18826889950288,-1.2729816,8.867801,4.0677986,3
18826892329559,-1.2921243,8.872586,4.058227,3
18826894708777,-1.2729816,8.886943,4.048656,3
18826897088048,-1.3016955,8.872586,4.0773697,3
18826899467267,-1.3064811,8.872586,4.091727,3
18826901846538,-1.3064811,8.863015,4.0965123,3
18826904225756,-1.3064811,8.886943,4.106084,3
18826906605027,-1.2921243,8.85823,4.1204405,3
18826908984246,-1.2634103,8.85823,4.1108694,3
18826911363517,-1.253839,8.882157,4.130012,3
18826913742736,-1.2251252,8.882157,4.1347976,3
18826916122006,-1.1676974,8.843872,4.139583,3
18826918501225,-1.1294123,8.819944,4.15394,3
18826920880496,-1.0863415,8.839087,4.168297,3
18826923259715,-1.052842,8.796016,4.197011,3
18826925638986,-1.0145568,8.819944,4.1874394,3
18826928018204,-1.0049855,8.805588,4.1778684,3
18826930397475,-0.9810573,8.800801,4.182654,3
18826932776694,-0.971486,8.805588,4.1587257,3
18826935155965,-0.9762716,8.819944,4.1778684,3
18826937535236,-0.95712906,8.82473,4.182654,3
18826939914454,-0.971486,8.834301,4.168297,3
18826942293725,-0.9810573,8.853444,4.182654,3
18826944672944,-0.9954142,8.872586,4.2161536,3
18826947052215,-1.0241281,8.886943,4.2257247,3
18826949431434,-1.052842,8.896515,4.211368,3
18826951810704,-1.0671989,8.896515,4.211368,3
18826954189923,-1.0959128,8.906086,4.2161536,3
18826956569194,-1.1102697,8.939586,4.2448673,3
18826958948413,-1.1485549,8.963513,4.23051,3
18826961327684,-1.18684,8.963513,4.211368,3
18826963706902,-1.2346965,8.944371,4.211368,3
18826966086173,-1.2873386,8.920443,4.2161536,3
18826968465392,-1.2969099,8.977871,4.197011,3
18826970844663,-1.3016955,8.949157,4.1922255,3
18826973223881,-1.3447664,8.9348,4.182654,3
18826975603152,-1.3591232,8.930014,4.15394,3
18826977982423,-1.3686945,8.915657,4.1491547,3
18826980361642,-1.3639089,8.891729,4.139583,3
18826982740913,-1.3495519,8.896515,4.139583,3
18826985120131,-1.3543376,8.891729,4.125226,3
18826987499402,-1.3351951,8.891729,4.1204405,3
18826989878621,-1.3160524,8.896515,4.1204405,3
18826992257892,-1.3256238,8.891729,4.1204405,3
18826994637111,-1.2969099,8.877372,4.115655,3
18826997016381,-1.2969099,8.896515,4.1204405,3
18826999395600,-1.3016955,8.915657,4.1347976,3
18827001774871,-1.282553,8.925228,4.1347976,3
18827004154090,-1.2586247,8.925228,4.139583,3
18827006533361,-1.2346965,8.944371,4.1587257,3
18827008912579,-1.2203395,8.973084,4.182654,3
18827011291850,-1.18684,8.953942,4.1778684,3
18827013671069,-1.134198,8.963513,4.1778684,3
18827016050340,-1.119841,8.949157,4.168297,3
18827018429559,-1.1102697,8.920443,4.15394,3
18827020808829,-1.0719845,8.915657,4.1443686,3
18827023188100,-1.0624132,8.896515,4.130012,3
18827025567319,-1.0480564,8.891729,4.130012,3
18827027946590,-0.9906286,8.877372,4.1204405,3
18827030325809,-0.9523434,8.867801,4.125226,3
18827032705079,-0.94277215,8.872586,4.130012,3
18827035084298,-0.93320084,8.872586,4.1204405,3
18827037463569,-0.93320084,8.886943,4.106084,3
18827039842788,-0.9284152,8.877372,4.0773697,3
18827042222059,-0.9284152,8.867801,4.063013,3
18827044601277,-0.94277215,8.853444,4.0677986,3
18827046980548,-0.9667004,8.872586,4.063013,3
18827049359767,-0.9954142,8.863015,4.082155,3
18827051739038,-1.0576276,8.863015,4.101298,3
18827054118256,-1.1150553,8.848659,4.106084,3
18827056497527,-1.1724831,8.853444,4.1108694,3
18827058876746,-1.2586247,8.85823,4.0869412,3
18827061256017,-1.3112668,8.872586,4.082155,3
18827063635236,-1.3639089,8.863015,4.101298,3
18827066014506,-1.4356936,8.867801,4.130012,3
18827068393777,-1.4739788,8.848659,4.139583,3
18827070772996,-1.4835501,8.863015,4.15394,3
18827073152267,-1.4979069,8.85823,4.1587257,3
18827075531486,-1.4883357,8.839087,4.168297,3
18827077910756,-1.4739788,8.834301,4.168297,3
18827080289975,-1.4117653,8.834301,4.182654,3
18827082669246,-1.3495519,8.834301,4.197011,3
18827085048465,-1.2969099,8.829515,4.240082,3
18827087427736,-1.2442678,8.805588,4.254439,3
18827089806954,-1.1772687,8.805588,4.2687955,3
18827092186225,-1.0959128,8.786445,4.278367,3
18827094565444,-1.0624132,8.762517,4.302295,3
18827096944715,-1.0289137,8.743374,4.2975097,3
18827099323934,-1.0145568,8.7577305,4.316652,3
18827101703204,-0.98584294,8.743374,4.3357944,3
18827104082423,-0.9810573,8.729017,4.331009,3
18827106461694,-0.94755775,8.71466,4.331009,3
18827108840913,-0.94755775,8.719446,4.3501515,3
18827111220184,-0.971486,8.709874,4.3645086,3
18827113599454,-0.98584294,8.695518,4.354937,3
18827115978673,-1.0145568,8.685946,4.3788652,3
18827118357944,-1.052842,8.700303,4.3645086,3
18827120737163,-1.0719845,8.709874,4.354937,3
18827123116434,-1.0719845,8.719446,4.345366,3
18827125495652,-1.0911272,8.71466,4.331009,3
18827127874923,-1.0815558,8.719446,4.3501515,3
18827130254142,-1.0576276,8.738588,4.369294,3
18827132633413,-1.052842,8.772088,4.369294,3
18827135012631,-1.0480564,8.781659,4.3645086,3
18827137391902,-1.0336994,8.834301,4.354937,3
18827139771121,-0.9906286,8.853444,4.331009,3
18827142150392,-0.98584294,8.85823,4.3262234,3
18827144529611,-0.9667004,8.863015,4.302295,3
18827146908881,-0.9954142,8.882157,4.273581,3
18827149288100,-1.0576276,8.987442,4.345366,3
18827151667371,-1.0767702,9.016156,4.398008,3
18827154046590,-1.0959128,9.001799,4.2975097,3
18827156425861,-1.119841,9.040084,4.106084,3
18827158805079,-1.0815558,9.12144,3.9146578,3
18827161184350,-1.052842,9.140582,3.885944,3
18827163563569,-1.0576276,9.08794,3.9673,3
18827165942840,-1.1533405,9.068798,4.0390844,3
18827168322059,-1.2107682,9.073584,4.0677986,3
18827170701329,-1.1724831,9.08794,3.9625144,3
18827173080600,-1.1724831,9.097511,3.7423747,3
18827175459819,-1.2155539,9.135797,3.6083765,3
18827177839038,-1.253839,9.116654,3.6466618,3
18827180218309,-1.2442678,9.083155,3.7998023,3
18827182597579,-1.2346965,9.035298,3.9050865,3
18827184976798,-1.2011969,9.064013,3.9098723,3
18827187356069,-1.1294123,9.073584,3.8237305,3
18827189735288,-1.0671989,9.059227,3.7280176,3
18827192114559,-1.0241281,9.073584,3.7136607,3
18827194493777,-1.0097711,9.049655,3.7471602,3
18827196873048,-0.9906286,8.9826565,3.8237305,3
18827199252267,-0.9954142,8.992228,3.9050865,3
18827201631538,-1.0001999,8.977871,3.9338005,3
18827204010756,-1.0145568,8.973084,3.9481573,3
18827206390027,-1.0432707,8.963513,3.952943,3
18827208769246,-1.0863415,8.953942,3.9338005,3
18827211148517,-1.0767702,9.001799,3.9242291,3
18827213527684,-1.0863415,8.992228,3.9433718,3
18827215907006,-1.1294123,8.987442,3.9864426,3
18827218286225,-1.1676974,8.9826565,4.0390844,3
18827220665496,-1.18684,8.958728,4.0677986,3
18827223044715,-1.18684,8.958728,4.072584,3
18827225423986,-1.1964114,8.944371,4.0773697,3
18827227803204,-1.2251252,8.915657,4.048656,3
18827230182475,-1.2442678,8.915657,4.063013,3
18827232561746,-1.253839,8.906086,4.1108694,3
18827234940965,-1.3304094,8.882157,4.168297,3
18827237320236,-1.3447664,8.843872,4.211368,3
18827239699454,-1.3543376,8.786445,4.1874394,3
18827242078725,-1.3160524,8.662018,4.0438704,3
18827244457944,-1.3016955,8.52802,3.7567315,3
18827246837215,-1.3734802,8.690732,3.3403804,3
18827249216434,-1.3256238,9.006584,3.1202407,3
18827251595704,-1.2490535,9.044869,3.3882368,3
18827253974923,-1.3974084,8.863015,3.8620157,3
18827256354194,-1.579263,8.719446,4.168297,3
18827258733413,-1.6414764,8.872586,4.359723,3
18827261112684,-1.5266209,9.097511,4.436293,3
18827263491902,-1.5026926,9.212367,4.331009,3
18827265871173,-1.6271194,9.2793665,4.197011,3
18827268250392,-1.6941184,9.303294,4.354937,3
18827270629663,-1.6319051,9.19801,4.7377887,3
18827273008881,-1.5696917,9.126225,4.9340005,3
18827275388152,-1.5744773,9.140582,4.7377887,3
18827277767371,-1.3974084,9.111869,4.354937,3
18827280146642,-1.0671989,8.9826565,4.082155,3
18827282525861,-0.8135597,8.906086,3.9290147,3
18827284905131,-0.6652047,8.786445,3.9720855,3
18827287284350,-0.49292147,8.628518,4.23051,3
18827289663621,-0.28713873,8.489735,4.5224347,3
18827292042840,-0.10049855,8.456235,4.6229334,3
18827294422111,0.014356935,8.456235,4.469793,3
18827296801329,0.08135597,8.4705925,4.2352962,3
18827299180600,0.11006984,8.499306,4.048656,3
18827301559871,0.023928227,8.580662,4.0677986,3
18827303939090,-0.11964113,8.63809,4.2687955,3
18827306318309,-0.38763726,8.63809,4.4985065,3
18827308697579,-0.7082755,8.671589,4.6085763,3
18827311076850,-0.9667004,8.796016,4.5224347,3
18827313456069,-1.1246266,8.896515,4.3405805,3
18827315835340,-1.3351951,8.968299,4.139583,3
18827318214559,-1.5840486,8.9826565,3.9864426,3
18827320593829,-1.8281165,8.968299,3.9577286,3
18827322973048,-1.9764715,8.915657,4.091727,3
18827325352319,-2.0865414,8.863015,4.254439,3
18827327731538,-2.2301106,8.834301,4.249653,3
18827330110809,-2.2971098,8.829515,4.072584,3
18827332490027,-2.2492533,8.829515,3.8572302,3
18827334869298,-2.1008983,8.867801,3.737589,3
18827337248517,-1.9525433,8.9108715,3.7328033,3
18827339627788,-1.8281165,8.944371,3.842873,3
18827342007006,-1.6319051,8.9108715,4.019942,3
18827344386277,-1.3543376,8.973084,4.2017965,3
18827346765496,-1.052842,9.020942,4.2592244,3
18827349144767,-0.80877405,9.097511,4.1922255,3
18827351523986,-0.5694918,9.135797,4.0438704,3
18827353903256,-0.39720857,9.226724,4.0103707,3
18827356282475,-0.2440679,9.255438,4.1635113,3
18827358661746,-0.2105684,9.226724,4.345366,3
18827361040965,-0.27756742,9.164511,4.4410787,3
18827363420236,-0.36370903,9.145369,4.402794,3
18827365799454,-0.4546363,9.107083,4.2831526,3
18827368178725,-0.6221339,9.102298,4.101298,3
18827370557944,-0.8757731,9.044869,4.0007997,3
18827372937215,-1.1772687,8.925228,3.991228,3
18827375316434,-1.4356936,8.834301,4.072584,3
18827377695704,-1.6558332,8.786445,4.15394,3
18827380074923,-1.8376877,8.738588,4.130012,3
18827382454194,-1.9908284,8.685946,4.091727,3
18827384833413,-2.0865414,8.6141615,4.0295134,3
18827387212684,-2.105684,8.63809,4.0295134,3
18827389591902,-2.0051854,8.63809,4.1108694,3
18827391971173,-1.8951155,8.647661,4.1874394,3
18827394350392,-1.7419748,8.623733,4.206582,3
18827396729663,-1.5218352,8.647661,4.273581,3
18827399108881,-1.2442678,8.671589,4.316652,3
18827401488152,-1.0097711,8.700303,4.3788652,3
