t_ns,ax,ay,az,accuracy
30768373840683,-0.35413775,8.9348,3.9673,3
30768376219589,-0.3684947,8.939586,3.9816568,3
30768378598547,-0.38763726,8.9348,3.991228,3
30768380977454,-0.39720857,8.939586,3.991228,3
30768383356360,-0.40677986,8.953942,3.9768713,3
30768385735318,-0.41156548,8.953942,3.9960139,3
30768388114224,-0.41156548,8.968299,4.019942,3
30768390493131,-0.39720857,8.958728,4.024728,3
30768392872037,-0.38285163,8.939586,4.0438704,3
30768395250995,-0.3397808,8.9348,4.0677986,3
30768397629902,-0.33020952,8.973084,4.091727,3
30768400008808,-0.32063824,8.973084,4.082155,3
30768402387766,-0.30149564,8.968299,4.0773697,3
30768404766672,-0.31106696,8.9826565,4.082155,3
30768407145579,-0.31106696,8.987442,4.115655,3
30768409524485,-0.3493521,8.973084,4.125226,3
30768411903443,-0.36370903,8.977871,4.1587257,3
30768414282349,-0.44985065,8.997013,4.1874394,3
30768416661256,-0.46899325,8.939586,4.211368,3
30768419040214,-0.52163535,8.877372,4.211368,3
30768421419120,-0.53599226,8.872586,4.23051,3
30768423797974,-0.4546363,8.829515,4.273581,3
30768426176985,-0.36370903,8.7673025,4.3262234,3
30768428555891,-0.26799613,8.786445,4.359723,3
30768430934797,-0.15314065,8.772088,4.3645086,3
30768433313704,-0.02871387,8.733803,4.321438,3
30768435692662,0.06699903,8.7577305,4.302295,3
30768438071568,0.14356937,8.772088,4.273581,3
30768440450474,0.14356937,8.786445,4.254439,3
30768442829433,0.08135597,8.7673025,4.240082,3
30768445208339,0.009571291,8.786445,4.254439,3
30768447587245,-0.05742774,8.815159,4.2687955,3
30768449966204,-0.17228323,8.853444,4.2592244,3
30768452345110,-0.2727818,8.843872,4.26401,3
30768454724016,-0.36370903,8.829515,4.273581,3
30768457102922,-0.40677986,8.786445,4.3357944,3
30768459481881,-0.42592242,8.776874,4.369294,3
30768461860787,-0.4211368,8.729017,4.4075794,3
30768464239693,-0.44506502,8.71466,4.4315076,3
30768466618652,-0.44506502,8.681161,4.436293,3
30768468997558,-0.4546363,8.647661,4.4458647,3
30768471376464,-0.4354937,8.628518,4.4554358,3
30768473755422,-0.44506502,8.6141615,4.4315076,3
30768476134329,-0.43070808,8.63809,4.426722,3
30768478513235,-0.4546363,8.700303,4.4315076,3
30768480892141,-0.45942193,8.724232,4.412365,3
30768483271099,-0.47856453,8.79123,4.388437,3
30768485650006,-0.4977071,8.872586,4.3740797,3
30768488028912,-0.5168497,8.925228,4.3836513,3
30768490407870,-0.52163535,8.949157,4.421936,3
30768492786777,-0.526421,8.944371,4.436293,3
30768495165631,-0.52163535,8.992228,4.4315076,3
30768497544641,-0.4833502,8.968299,4.4602213,3
30768499923547,-0.49292147,8.930014,4.479364,3
30768502302454,-0.4977071,8.939586,4.5128636,3
30768504681360,-0.4642076,8.896515,4.5224347,3
30768507060318,-0.44506502,8.834301,4.517649,3
30768509439224,-0.39720857,8.839087,4.4889355,3
30768511818131,-0.41635114,8.9108715,4.5320063,3
30768514197089,-0.33020952,8.85823,4.4315076,3
30768516575995,-0.41156548,8.886943,4.345366,3
30768518954902,-0.4881358,8.944371,4.26401,3
30768521333860,-0.6364908,8.949157,4.2257247,3
30768523712766,-0.6795616,8.906086,4.2448673,3
30768526091672,-0.8135597,8.958728,4.3357944,3
30768528470579,-0.9092726,8.953942,4.388437,3
30768530849537,-0.9762716,8.872586,4.398008,3
30768533228443,-0.98584294,8.886943,4.3932223,3
30768535607349,-0.9284152,8.896515,4.3836513,3
30768537986308,-0.86141616,8.853444,4.369294,3
30768540365214,-0.79441714,8.839087,4.4458647,3
30768542744120,-0.6939186,8.82473,4.508078,3
30768545123027,-0.6364908,8.796016,4.5559344,3
30768547501985,-0.5982057,8.781659,4.551149,3
30768549880891,-0.59342,8.805588,4.4985065,3
30768552259797,-0.59342,8.819944,4.4315076,3
30768554638756,-0.66041905,8.853444,4.421936,3
30768557017662,-0.6939186,8.896515,4.4410787,3
30768559396568,-0.7369894,8.930014,4.4745784,3
30768561775527,-0.8039884,8.958728,4.5128636,3
30768564154433,-0.7896315,8.992228,4.546363,3
30768566533339,-0.7896315,9.049655,4.5415773,3
30768568912297,-0.76570326,9.030513,4.546363,3
30768571291204,-0.74177504,9.025727,4.570291,3
30768573670110,-0.75613195,8.987442,4.613362,3
30768576049068,-0.76570326,8.944371,4.699504,3
30768578427974,-0.7369894,8.867801,4.7425747,3
30768580806881,-0.7369894,8.805588,4.7952166,3
30768583185787,-0.7322037,8.762517,4.7856455,3
30768585564745,-0.72263247,8.709874,4.7712884,3
30768587943652,-0.6843473,8.666803,4.7377887,3
30768590322558,-0.6987042,8.618947,4.709075,3
30768592701516,-0.72263247,8.595019,4.666004,3
30768595080422,-0.7609176,8.566305,4.6707897,3
30768597459329,-0.82313097,8.52802,4.6372905,3
30768599838287,-0.9236295,8.52802,4.599005,3
30768602217193,-1.0097711,8.52802,4.536792,3
30768604596099,-1.1150553,8.547162,4.4841495,3
30768606975006,-1.2490535,8.571091,4.4745784,3
30768609353964,-1.3639089,8.571091,4.4841495,3
30768611732870,-1.4739788,8.551949,4.503292,3
30768614111777,-1.6175481,8.575876,4.5128636,3
30768616490735,-1.6654046,8.590233,4.508078,3
30768618869641,-1.7228323,8.642876,4.493721,3
30768621248547,-1.7563318,8.685946,4.4458647,3
30768623627506,-1.7371893,8.738588,4.412365,3
