t_ns,mx,my,mz,bx,by,bz
31769980010733,36.693752,16.7625,13.875001,3.24,13.62,8.76
31769990010733,38.550003,16.125,11.0625,3.24,13.62,8.76
31770000010733,37.3125,16.725,13.950001,3.24,13.62,8.76
31770010010733,37.8375,14.775001,11.962501,3.24,13.62,8.76
31770020010733,37.5,15.1125,14.137501,3.24,13.62,8.76
31770030010733,38.643753,14.887501,11.55,3.24,13.62,8.76
31770040010733,38.7,14.26875,11.400001,3.24,13.62,8.76
31770050010733,36.73125,14.38125,10.25625,3.24,13.62,8.76
31770060010733,36.600002,15.88125,12.375001,3.24,13.62,8.76
31770070010733,36.75,15.01875,12.843751,3.24,13.62,8.76
31770080010733,36.487503,15.4875,13.931251,3.24,13.62,8.76
31770090010733,35.49375,14.718751,11.775001,3.24,13.62,8.76
31770100010733,35.7,14.38125,13.14375,3.24,13.62,8.76
31770110010733,37.10625,14.437501,13.425,3.24,13.62,8.76
31770120010733,37.275,16.35,13.200001,3.24,13.62,8.76
31770130010733,37.74375,14.26875,12.281251,3.24,13.62,8.76
31770140010733,37.050003,17.0625,14.137501,3.24,13.62,8.76
31770150010733,37.068752,14.925,12.187501,3.24,13.62,8.76
31770160010733,36.412502,15.975,13.781251,3.24,13.62,8.76
31770170010733,37.18125,14.700001,12.337501,3.24,13.62,8.76
31770180010733,36.28125,16.087502,13.950001,3.24,13.62,8.76
31770190010733,39.3375,15.4875,12.675,3.24,13.62,8.76
31770200010733,36.037502,14.55,13.25625,3.24,13.62,8.76
31770210010733,37.162502,15.187501,11.1,3.24,13.62,8.76
31770220010733,39.3375,17.118752,10.931251,3.24,13.62,8.76
31770230010733,36.975002,14.043751,10.5375,3.24,13.62,8.76
31770240010733,36.73125,14.625001,11.775001,3.24,13.62,8.76
31770250010733,36.956253,14.2875,12.69375,3.24,13.62,8.76
31770260010733,36.46875,14.981251,12.1125,3.24,13.62,8.76
31770270010733,38.643753,15.281251,13.687501,3.24,13.62,8.76
31770280010733,37.237503,14.700001,10.950001,3.24,13.62,8.76
31770290010733,37.55625,15.88125,11.793751,3.24,13.62,8.76
31770300010733,37.331253,15.337501,10.931251,3.24,13.62,8.76
31770310010733,37.95,15.675,12.993751,3.24,13.62,8.76
31770320010733,39.1875,15.843751,9.3,3.24,13.62,8.76
31770330010733,37.95,15.675,12.993751,3.24,13.62,8.76
31770340010733,37.7625,15.281251,11.793751,3.24,13.62,8.76
31770350010733,36.600002,14.868751,12.262501,3.24,13.62,8.76
31770360010733,39.05625,15.31875,10.725,3.24,13.62,8.76
31770370010733,37.518753,16.875,13.012501,3.24,13.62,8.76
31770380010733,38.193752,14.08125,11.625,3.24,13.62,8.76
31770390010733,36.600002,15.13125,13.312501,3.24,13.62,8.76
31770400010733,37.818752,14.775001,12.731251,3.24,13.62,8.76
31770410010733,37.275,14.325001,12.656251,3.24,13.62,8.76
31770420010733,36.018753,14.2875,12.4875,3.24,13.62,8.76
31770430010733,36.525,15.4875,12.8625,3.24,13.62,8.76
31770440010733,36.018753,13.5375,13.44375,3.24,13.62,8.76
31770450010733,37.143753,14.700001,13.425,3.24,13.62,8.76
31770460010733,37.5,14.7375,12.3,3.24,13.62,8.76
31770470010733,37.7625,16.275002,12.225,3.24,13.62,8.76
31770480010733,39.318752,15.225,11.606251,3.24,13.62,8.76
31770490010733,37.78125,15.01875,9.95625,3.24,13.62,8.76
31770500010733,38.550003,15.375001,12.0,3.24,13.62,8.76
31770510010733,38.193752,16.59375,10.012501,3.24,13.62,8.76
31770520010733,37.818752,15.525001,11.475,3.24,13.62,8.76
31770530010733,38.475002,15.4875,10.481251,3.24,13.62,8.76
31770540010733,38.850002,15.431251,12.431251,3.24,13.62,8.76
31770550010733,36.525,14.475,12.281251,3.24,13.62,8.76
31770560010733,37.0875,13.425,13.781251,3.24,13.62,8.76
31770570010733,35.550003,16.237501,12.95625,3.24,13.62,8.76
31770580010733,36.506252,15.225,12.093751,3.24,13.62,8.76
31770590010733,37.143753,14.437501,12.356251,3.24,13.62,8.76
31770600010733,36.600002,14.118751,13.200001,3.24,13.62,8.76
31770610010733,35.287502,14.812501,14.1,3.24,13.62,8.76
31770620010733,36.09375,15.187501,15.075001,3.24,13.62,8.76
31770630010733,38.23125,14.587501,13.293751,3.24,13.62,8.76
31770640010733,37.7625,14.775001,14.118751,3.24,13.62,8.76
31770650010733,36.65625,15.375001,12.69375,3.24,13.62,8.76
31770660010733,37.40625,16.5,14.418751,3.24,13.62,8.76
31770670010733,36.862503,15.281251,10.9875,3.24,13.62,8.76
31770680010733,38.643753,15.637501,10.6125,3.24,13.62,8.76
31770690010733,36.112503,14.55,11.1,3.24,13.62,8.76
31770700010733,37.350002,16.237501,15.187501,3.24,13.62,8.76
31770710010733,36.46875,14.231251,12.750001,3.24,13.62,8.76
31770720010733,36.300003,14.325001,13.9875,3.24,13.62,8.76
31770730010733,37.6875,14.00625,12.3,3.24,13.62,8.76
31770740010733,37.256252,15.337501,13.387501,3.24,13.62,8.76
31770750010733,35.568752,14.475,12.993751,3.24,13.62,8.76
31770760010733,36.54375,14.868751,13.8,3.24,13.62,8.76
31770770010733,37.537502,15.13125,13.368751,3.24,13.62,8.76
31770780010733,35.7,14.38125,13.44375,3.24,13.62,8.76
31770790010733,37.443752,15.225,11.83125,3.24,13.62,8.76
31770800010733,35.362503,14.83125,11.94375,3.24,13.62,8.76
31770810010733,36.24375,14.83125,13.06875,3.24,13.62,8.76
31770820010733,36.28125,15.075001,13.35,3.24,13.62,8.76
31770830010733,38.100002,14.700001,12.843751,3.24,13.62,8.76
31770840010733,38.8125,15.168751,12.450001,3.24,13.62,8.76
31770850010733,38.662502,14.887501,10.78125,3.24,13.62,8.76
31770860010733,38.456253,16.5,10.9125,3.24,13.62,8.76
31770870010733,37.4625,14.231251,11.25,3.24,13.62,8.76
31770880010733,37.40625,16.48125,14.868751,3.24,13.62,8.76
31770890010733,37.8375,15.543751,11.00625,3.24,13.62,8.76
31770900010733,37.29375,16.35,12.900001,3.24,13.62,8.76
31770910010733,37.36875,15.6,11.212501,3.24,13.62,8.76
31770920010733,37.66875,16.0125,13.781251,3.24,13.62,8.76
31770930010733,37.912502,15.431251,12.69375,3.24,13.62,8.76
31770940010733,37.4625,16.237501,11.962501,3.24,13.62,8.76
31770950010733,36.206253,14.437501,12.31875,3.24,13.62,8.76
31770960010733,35.475002,13.968751,13.33125,3.24,13.62,8.76
31770970010733,36.2625,13.81875,12.468751,3.24,13.62,8.76
31770980010733,36.28125,14.83125,11.981251,3.24,13.62,8.76
31770990010733,37.03125,14.55,11.606251,3.24,13.62,8.76
31771000010733,36.73125,15.262501,14.981251,3.24,13.62,8.76
31771010010733,37.21875,14.700001,11.26875,3.24,13.62,8.76
31771020010733,35.175003,15.187501,14.250001,3.24,13.62,8.76
31771030010733,38.362503,15.225,12.187501,3.24,13.62,8.76
31771040010733,37.18125,14.700001,12.337501,3.24,13.62,8.76
31771050010733,36.7125,14.625001,12.093751,3.24,13.62,8.76
31771060010733,36.581253,16.63125,11.887501,3.24,13.62,8.76
31771070010733,36.881252,15.525001,11.7375,3.24,13.62,8.76
31771080010733,36.0,16.181252,13.368751,3.24,13.62,8.76
31771090010733,35.5125,12.95625,11.83125,3.24,13.62,8.76
31771100010733,35.7,14.38125,13.14375,3.24,13.62,8.76
31771110010733,37.050003,14.55,11.137501,3.24,13.62,8.76
31771120010733,37.2,14.325001,14.812501,3.24,13.62,8.76
31771130010733,36.43125,14.475,15.20625,3.24,13.62,8.76
31771140010733,36.506252,15.8625,15.3,3.24,13.62,8.76
31771150010733,37.443752,14.475,13.087501,3.24,13.62,8.76
31771160010733,36.9,16.1625,14.175,3.24,13.62,8.76
31771170010733,40.987503,15.825001,11.25,3.24,13.62,8.76
31771180010733,39.525,16.650002,12.31875,3.24,13.62,8.76
31771190010733,37.74375,14.26875,11.981251,3.24,13.62,8.76
31771200010733,36.46875,16.987501,12.825001,3.24,13.62,8.76
31771210010733,37.48125,15.4875,11.8125,3.24,13.62,8.76
31771220010733,37.3875,15.975,12.750001,3.24,13.62,8.76
31771230010733,35.49375,13.968751,12.562501,3.24,13.62,8.76
31771240010733,37.612503,15.637501,13.8,3.24,13.62,8.76
31771250010733,37.987503,15.431251,10.5375,3.24,13.62,8.76
31771260010733,37.4625,16.5,12.712501,3.24,13.62,8.76
31771270010733,38.8125,16.425001,14.250001,3.24,13.62,8.76
31771280010733,38.41875,15.4875,12.168751,3.24,13.62,8.76
31771290010733,37.5,14.7375,12.3,3.24,13.62,8.76
31771300010733,38.287502,15.6,12.0375,3.24,13.62,8.76
31771310010733,35.68125,14.38125,13.9125,3.24,13.62,8.76
31771320010733,37.537502,16.125,13.63125,3.24,13.62,8.76
