t_ns,gx,gy,gz,bx,by,bz
20481564325705,0.04886918,-0.035430156,-0.05131264,-0.011896228,5.4723304E-4,0.0060576526
20481566704716,-0.080634154,-0.02932151,-0.06597339,-0.011896228,5.4723304E-4,0.0060576526
20481569083726,-0.08429934,0.043982264,-0.09407318,-0.011896228,5.4723304E-4,0.0060576526
20481571462737,-0.040317077,-0.0036651888,-0.07086031,-0.011896228,5.4723304E-4,0.0060576526
20481573841747,0.0012217296,0.05986475,-0.091629714,-0.011896228,5.4723304E-4,0.0060576526
20481576220757,-0.035430156,0.008552107,-0.07208204,-0.011896228,5.4723304E-4,0.0060576526
20481578599716,-0.040317077,0.02565632,-0.073303774,-0.011896228,5.4723304E-4,0.0060576526
20481580978778,-0.042760536,-0.015882485,-0.043982264,-0.011896228,5.4723304E-4,0.0060576526
20481583357789,-0.100181825,0.035430156,-0.074525505,-0.011896228,5.4723304E-4,0.0060576526
20481585736799,-0.20525056,0.04886918,-0.10384701,-0.011896228,5.4723304E-4,0.0060576526
20481588115809,-0.1197295,0.08918626,-0.13194679,-0.011896228,5.4723304E-4,0.0060576526
20481590494820,-0.05497783,0.112399116,-0.15638138,-0.011896228,5.4723304E-4,0.0060576526
20481592873830,-0.073303774,0.10995566,-0.16737695,-0.011896228,5.4723304E-4,0.0060576526
20481595252841,-0.10506874,0.043982264,-0.14660755,-0.011896228,5.4723304E-4,0.0060576526
20481597631851,-0.106290475,0.012217295,-0.13561198,-0.011896228,5.4723304E-4,0.0060576526
20481600010862,-0.12583815,-0.037873615,-0.12095123,-0.011896228,5.4723304E-4,0.0060576526
20481602389820,-0.20158538,-0.05131264,-0.12828161,-0.011896228,5.4723304E-4,0.0060576526
20481604768830,-0.18203771,-0.1075122,-0.10995566,-0.011896228,5.4723304E-4,0.0060576526
20481607147841,-0.13316852,-0.09040799,-0.11728604,-0.011896228,5.4723304E-4,0.0060576526
20481609526851,-0.16004658,-0.13316852,-0.11484258,-0.011896228,5.4723304E-4,0.0060576526
20481611905862,-0.23823726,-0.13316852,-0.13194679,-0.011896228,5.4723304E-4,0.0060576526
20481614284872,-0.13561198,-0.16982041,-0.1075122,-0.011896228,5.4723304E-4,0.0060576526
20481616663882,-0.073303774,-0.18570289,-0.086742796,-0.011896228,5.4723304E-4,0.0060576526
20481619042893,-0.13194679,-0.19669846,-0.07941242,-0.011896228,5.4723304E-4,0.0060576526
