run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
12,BA,kfpsi,turn,128.4,0.013,0.017,0.013,148,-0.34,3.49,9.37,1.77,-1.13,0.63,153.51,-0.65,2.63,-1.41
12,BA,kfpsic,c10,10.0,0.013,0.017,0.013,266,-4.71,5.71,13.71,0.82,-4.53,-3.7,271.94,-4.88,5.42,0.73
12,BA,kfpsic,c30,30.0,0.013,0.017,0.013,246,0.24,3.25,10.46,1.65,-0.42,1.23,251.94,0.13,2.38,0.82
12,BA,kfpsic,c60,60.0,0.013,0.017,0.013,216,0.19,3.34,10.31,2.61,-1.53,1.07,221.94,0.02,2.45,0.01
12,BA,kfpsic,turn,128.4,0.013,0.017,0.013,148,-0.96,3.6,9.99,1.77,-1.75,0.02,153.51,-1.26,2.84,-1.41
12,BA,kfc,c10,10.0,0.013,0.017,0.013,266,-4.71,5.71,13.71,0.82,-4.53,-3.7,271.94,-4.88,5.42,0.73
12,BA,kfc,c30,30.0,-0.028,0.017,0.013,246,5.38,6.97,18.05,11.51,-0.21,11.3,251.94,5.27,6.43,10.68
12,BA,kfc,c60,60.0,-0.001,0.017,0.013,216,2.18,4.07,11.54,5.65,-1.05,4.59,221.94,2.02,3.24,3.05
12,BA,kfc,turn,128.4,0.027,0.017,0.013,148,-2.13,4.13,11.88,-0.24,-1.92,-2.15,153.51,-2.43,3.58,-3.41
12,BA,kfpsic2d,c10,10.0,0.013,0.017,0.013,266,-4.76,5.74,13.39,1.41,-4.54,-3.12,271.94,-4.92,5.45,1.33
12,BA,kfpsic2d,c30,30.0,0.013,0.017,0.013,246,0.21,3.25,10.1,2.24,-0.41,1.83,251.94,0.1,2.34,1.4
12,BA,kfpsic2d,c60,60.0,0.013,0.017,0.013,216,0.26,3.33,10.04,3.43,-1.66,1.77,221.94,0.1,2.4,0.84
12,BA,kfpsic2d,turn,128.4,0.013,0.017,0.013,148,-0.06,3.47,9.57,2.7,-1.4,1.3,153.51,-0.36,2.56,-0.47
12,BA,kfpsic_notilt,c10,10.0,0.013,0.017,0.013,266,-4.7,5.7,13.71,0.88,-4.52,-3.65,271.94,-4.87,5.42,0.79
12,BA,kfpsic_notilt,c30,30.0,0.013,0.017,0.013,246,0.25,3.25,10.45,1.71,-0.42,1.28,251.94,0.14,2.38,0.87
12,BA,kfpsic_notilt,c60,60.0,0.013,0.017,0.013,216,0.2,3.34,10.29,2.66,-1.53,1.13,221.94,0.03,2.45,0.07
12,BA,kfpsic_notilt,turn,128.4,0.013,0.017,0.013,148,-0.94,3.6,9.98,1.8,-1.71,0.08,153.51,-1.24,2.84,-1.38
2,AB,kfct,c10,10.0,-0.021,-0.038,-0.022,237,1.11,2.32,6.21,-0.69,1.66,0.97,243.51,1.58,3.2,-0.76
2,AB,kfct,c30,30.0,0.008,-0.038,-0.022,217,-4.38,5.41,11.99,-7.18,-0.27,-7.46,223.51,-3.8,5.07,-7.92
2,AB,kfct,c60,60.0,-0.005,-0.038,-0.022,187,-3.32,4.12,9.41,-3.65,-0.99,-4.64,193.51,-2.62,4.07,-4.43
2,AB,kfct,turn,123.3,-0.027,-0.038,-0.022,124,-0.83,2.16,6.26,3.91,-3.82,0.09,130.2,0.27,3.1,5.95
3,BA,kfct,c10,10.0,0.001,-0.027,0.001,202,-2.2,3.69,8.84,-8.32,1.64,-6.68,224.0,-1.37,3.89,-7.6
3,BA,kfct,c30,30.0,0.006,-0.027,0.001,182,-4.18,5.16,10.87,-9.43,0.73,-8.7,204.0,-3.29,5.07,-8.93
3,BA,kfct,c60,60.0,-0.009,-0.027,0.001,151,-2.99,3.69,7.86,-5.71,0.05,-5.66,174.0,-2.3,3.83,-7.87
3,BA,kfct,turn,82.7,-0.004,-0.027,0.001,129,-4.13,4.51,8.7,-4.51,-2.05,-6.55,151.28,-3.32,4.46,-10.39
