run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
15,BA,kfc,c10,10.0,0.001,-0.026,0.002,63,-1.12,3.21,14.88,-2.41,-1.16,-3.57,66.35,1.25,3.32,4.61
15,BA,kfc,c30,30.0,0.036,-0.026,0.002,43,-2.72,4.44,15.91,-5.23,-0.15,-5.38,46.35,-0.09,2.99,-0.37
15,BA,kfc,c60,60.0,-0.007,-0.026,0.002,13,-1.6,2.45,4.58,-2.95,0.02,-2.93,16.35,4.25,4.41,0.17
15,BA,kfc,turn,45.8,0.036,-0.026,0.002,27,-3.34,5.28,15.91,-2.16,-3.22,-5.38,30.54,-0.03,2.57,3.68
16,AB,kfpsic,c10,10.0,-0.036,-0.025,-0.036,76,2.57,4.39,13.66,3.51,0.81,4.33,79.42,2.55,3.24,3.65
16,AB,kfpsic,c30,30.0,-0.036,-0.025,-0.036,56,2.49,3.61,9.28,0.74,2.97,3.71,59.42,2.49,3.1,1.63
16,AB,kfpsic,c60,60.0,-0.036,-0.025,-0.036,26,3.5,4.19,7.13,1.18,2.71,3.89,29.42,3.61,3.81,0.4
16,AB,kfpsic,turn,22.0,-0.036,-0.025,-0.036,65,2.25,4.37,13.04,-0.91,4.62,3.71,67.45,2.22,2.99,2.69
16,AB,kfc,c10,10.0,-0.036,-0.025,-0.036,76,2.57,4.39,13.66,3.51,0.81,4.33,79.42,2.55,3.24,3.65
16,AB,kfc,c30,30.0,-0.029,-0.025,-0.036,56,2.18,3.39,9.13,0.39,2.84,3.22,59.42,2.18,2.83,1.28
16,AB,kfc,c60,60.0,-0.04,-0.025,-0.036,26,3.67,4.33,7.34,1.27,2.83,4.1,29.42,3.78,3.97,0.49
16,AB,kfc,turn,22.0,-0.029,-0.025,-0.036,65,1.97,4.21,12.96,-1.33,4.55,3.22,67.45,1.94,2.74,2.28
17,BA,kfpsic,c10,10.0,-0.041,0.022,-0.041,68,4.36,5.76,15.77,1.94,2.51,4.45,71.88,4.35,4.74,3.24
17,BA,kfpsic,c30,30.0,-0.041,0.022,-0.041,48,3.32,5.25,14.44,-0.54,3.61,3.08,51.88,3.26,3.76,1.48
17,BA,kfpsic,c60,60.0,-0.041,0.022,-0.041,18,3.54,4.04,8.38,0.46,2.62,3.08,21.88,4.39,4.64,1.14
17,BA,kfpsic,turn,52.6,-0.041,0.022,-0.041,26,3.22,6.23,14.44,3.24,-0.16,3.08,29.26,3.96,4.47,1.75
17,BA,kfc,c10,10.0,-0.033,0.022,-0.041,68,4.09,5.54,15.41,1.45,2.48,3.94,71.88,4.08,4.46,2.75
17,BA,kfc,c30,30.0,-0.003,0.022,-0.041,48,1.92,4.51,15.82,-2.13,3.02,0.89,51.88,1.86,2.5,-0.12
17,BA,kfc,c60,60.0,-0.003,0.022,-0.041,18,1.58,2.47,6.32,-0.01,0.9,0.89,21.88,2.42,2.83,0.67
17,BA,kfc,turn,52.6,-0.003,0.022,-0.041,26,1.4,5.47,15.82,2.47,-1.59,0.89,29.26,2.15,2.92,0.98
18,AB,kfpsic,c10,10.0,-0.004,-0.045,-0.004,64,-1.59,4.4,18.75,-0.25,-1.44,-1.69,65.54,-4.48,6.89,-5.45
18,AB,kfpsic,c30,30.0,-0.004,-0.045,-0.004,43,-1.2,2.7,6.3,1.38,-2.23,-0.85,45.54,-5.88,6.98,2.57
18,AB,kfpsic,c60,60.0,-0.004,-0.045,-0.004,14,1.23,1.94,3.49,-1.51,1.54,0.03,15.54,-2.62,4.02,-2.38
18,AB,kfpsic,turn,20.4,-0.004,-0.045,-0.004,53,-0.68,4.3,17.92,-3.58,2.72,-0.85,55.1,-4.46,6.91,-9.51
18,AB,kfc,c10,10.0,-0.007,-0.045,-0.004,64,-1.49,4.37,18.7,-0.09,-1.42,-1.51,65.54,-4.38,6.81,-5.29
18,AB,kfc,c30,30.0,-0.019,-0.045,-0.004,43,-0.6,2.6,5.89,1.96,-1.92,0.04,45.54,-5.28,6.55,3.15
18,AB,kfc,c60,60.0,-0.032,-0.045,-0.004,14,1.91,2.41,4.08,-1.27,2.11,0.84,15.54,-1.94,3.59,-2.15
18,AB,kfc,turn,20.4,-0.019,-0.045,-0.004,53,-0.16,4.26,17.76,-2.85,2.89,0.04,55.1,-3.93,6.57,-8.78
19,BA,kfpsic,c10,10.0,0.01,0.038,0.01,54,2.63,3.14,5.6,-1.05,2.64,1.6,57.32,5.16,7.77,-4.3
19,BA,kfpsic,c30,30.0,0.01,0.038,0.01,34,2.25,2.84,5.3,-0.27,1.87,1.6,37.32,3.3,7.0,-7.35
19,BA,kfpsic,turn,40.4,0.01,0.038,0.01,24,2.32,2.73,5.3,-2.12,3.71,1.6,26.95,2.11,6.55,-5.56
19,BA,kfc,c10,10.0,0.01,0.038,0.01,54,2.63,3.14,5.6,-1.05,2.64,1.6,57.32,5.16,7.77,-4.3
19,BA,kfc,c30,30.0,0.01,0.038,0.01,34,2.25,2.84,5.3,-0.27,1.87,1.6,37.32,3.3,7.0,-7.35
19,BA,kfc,turn,40.4,0.01,0.038,0.01,24,2.32,2.73,5.3,-2.12,3.71,1.6,26.95,2.11,6.55,-5.56
20,AB,kfpsic,c10,10.0,-0.005,-0.033,-0.005,64,-1.97,3.06,8.87,1.36,-2.48,-1.13,67.49,-3.22,6.98,-2.99
20,AB,kfpsic,c30,30.0,-0.005,-0.033,-0.005,44,-1.98,2.79,7.16,1.74,-2.87,-1.13,47.49,-4.54,6.18,0.13
20,AB,kfpsic,c60,60.0,-0.005,-0.033,-0.005,14,1.74,1.99,3.29,-0.43,1.73,1.3,17.49,0.52,3.1,-1.58
20,AB,kfpsic,turn,19.2,-0.005,-0.033,-0.005,55,-1.88,3.05,8.87,1.11,-2.24,-1.13,58.28,-3.88,7.3,1.54
20,AB,kfc,c10,10.0,-0.005,-0.033,-0.005,64,-1.97,3.06,8.87,1.36,-2.48,-1.13,67.49,-3.22,6.98,-2.99
20,AB,kfc,c30,30.0,-0.005,-0.033,-0.005,44,-1.98,2.79,7.16,1.74,-2.87,-1.13,47.49,-4.54,6.18,0.13
20,AB,kfc,c60,60.0,-0.013,-0.033,-0.005,14,1.98,2.2,3.57,-0.36,1.93,1.58,17.49,0.77,3.14,-1.51
20,AB,kfc,turn,19.2,-0.005,-0.033,-0.005,55,-1.88,3.05,8.87,1.11,-2.24,-1.13,58.28,-3.88,7.3,1.54
21,BA,kfpsic,c10,10.0,-0.014,-0.003,-0.014,70,-1.5,3.56,15.15,-2.51,-1.31,-3.82,72.21,-1.53,2.21,1.26
21,BA,kfpsic,c30,30.0,-0.014,-0.003,-0.014,50,-0.02,3.64,13.7,-3.08,0.72,-2.36,52.21,-0.03,1.67,0.05
21,BA,kfpsic,c60,60.0,-0.014,-0.003,-0.014,20,-2.17,3.12,6.54,-2.49,-1.22,-3.71,22.21,-0.89,1.69,-0.59
21,BA,kfpsic,turn,50.8,-0.014,-0.003,-0.014,29,-2.05,4.68,15.04,-0.98,-2.72,-3.71,31.44,-1.1,1.97,0.25
21,BA,kfc,c10,10.0,0.019,-0.003,-0.014,70,-2.69,4.31,16.58,-4.62,-1.43,-6.05,72.21,-2.72,3.19,-0.85
21,BA,kfc,c30,30.0,-0.056,-0.003,-0.014,50,1.17,3.74,12.61,-1.26,1.0,-0.26,52.21,1.17,2.17,1.88
21,BA,kfc,c60,60.0,-0.005,-0.003,-0.014,20,-1.93,2.98,6.23,-2.61,-0.92,-3.53,22.21,-0.66,1.58,-0.72
21,BA,kfc,turn,50.8,-0.005,-0.003,-0.014,29,-1.77,4.58,14.65,-1.19,-2.34,-3.53,31.44,-0.83,1.83,0.05
